symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DULAMIACOT,2025-05-13,74.7,69.8,74.7,69.5,5827,0.408,32,-1.2,552387000.0,2025-05-13 16:29:19.438,0,69.8,69.8,69.8
DULAMIACOT,2025-05-14,74.8,70.0,74.8,66.0,1546,0.108,18,-3.8,527451000.0,2025-05-14 11:47:27.362,0,70.1,69.9,69.70000000000002
DULAMIACOT,2025-05-15,71.9,70.0,71.9,69.9,501,0.035,7,,528962000.0,2025-05-15 09:13:25.938,0,70.12189514164974,69.93333333333334,69.74477152501693
DULAMIACOT,2025-05-17,70.5,70.1,70.5,70.1,828,0.058,11,0.1,528.962,2025-05-17 09:24:05.466,0,70.19294494717703,69.975,69.75705505282296
DULAMIACOT,2025-05-18,70.5,69.9,70.5,68.7,9299,0.65,36,-1.1,529.718,2025-05-18 10:58:49.018,0,70.1639607805437,69.96000000000001,69.75603921945631
DULAMIACOT,2025-05-19,68.2,68.1,69.8,67.2,2649,0.18,22,-1.8,528.206,2025-05-19 10:58:29.508,0,71.0488090172238,69.64999999999999,68.25119098277618
DULAMIACOT,2025-05-20,73.8,67.2,73.8,66.0,6421,0.43,115,-0.9,514.604,2025-05-20 10:58:21.029,0,71.44875379165292,69.3,67.15124620834708
DULAMIACOT,2025-05-21,70.9,70.9,70.9,70.9,2,,1,3.7,507.804,2025-05-21 11:10:42.967,0,71.7715633383201,69.5,67.2284366616799
DULAMIACOT,2025-05-22,71.9,66.8,71.9,65.7,7242,0.489,85,-4.1,535.763,2025-05-22 10:58:31.991,0,71.93252020425588,69.19999999999999,66.4674797957441
DULAMIACOT,2025-05-24,66.6,67.3,68.5,66.3,1290,0.087,17,1.6,504.781,2025-05-24 11:10:55.663,0,71.84188982836551,69.01,66.1781101716345
DULAMIACOT,2025-05-25,72.0,66.0,72.0,65.7,6596,0.438,62,0.6,508.559,2025-05-25 11:10:57.930,0,71.94348381414163,68.73636363636363,65.52924345858564
DULAMIACOT,2025-05-26,65.5,66.2,68.6,65.0,8550,0.562,73,0.2,498.736,2025-05-26 10:58:53.168,0,71.90052465057902,68.52499999999999,65.14947534942097
DULAMIACOT,2025-05-27,67.4,67.6,68.0,66.0,645,0.044,9,-0.2,500.247,2025-05-27 10:57:56.619,0,71.73419827811142,68.45384615384616,65.1734940295809
DULAMIACOT,2025-05-28,68.4,65.9,68.4,65.5,5060,0.333,60,-1.7,510.826,2025-05-28 11:10:23.491,0,71.69523478375892,68.27142857142857,64.84762235909822
DULAMIACOT,2025-05-29,65.9,66.7,67.0,65.9,3940,0.263,32,0.8,497.98,2025-05-29 11:10:18.030,0,71.56601300906186,68.16666666666667,64.76732032427148
DULAMIACOT,2025-06-01,66.8,67.2,68.8,66.1,4570,0.309,46,-0.4,504.025,2025-06-01 10:58:53.724,0,71.43075654233076,68.10625,64.78174345766925
DULAMIACOT,2025-06-02,67.2,67.9,68.4,67.2,575,0.039,11,1.2,507.804,2025-06-02 10:58:22.110,0,71.32082282379528,68.09411764705882,64.86741247032236
DULAMIACOT,2025-06-03,67.3,67.5,68.6,67.3,120,0.008,3,0.7,513.093,2025-06-03 10:58:21.100,0,71.20869493852814,68.0611111111111,64.91352728369407
