symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DUTCHBANGL,2025-05-13,43.5,43.2,43.5,43.0,32251,1.392,97,0.2,37789226000.0,2025-05-13 16:30:36.468,0,43.2,43.2,43.2
DUTCHBANGL,2025-05-14,43.2,43.0,43.3,42.9,33621,1.445,116,-0.2,37964990000.0,2025-05-14 11:48:33.706,0,43.300000000000004,43.1,42.9
DUTCHBANGL,2025-05-15,43.3,42.9,43.3,42.7,48305,2.072,153,-0.1,37789226000.0,2025-05-15 09:14:55.919,0,43.28277715911826,43.03333333333333,42.7838895075484
DUTCHBANGL,2025-05-17,42.7,42.7,43.0,42.6,43466,1.858,107,-0.2,37701.344,2025-05-17 09:32:13.257,0,43.3105551275464,42.95,42.589444872453605
DUTCHBANGL,2025-05-18,43.1,42.8,43.1,42.7,42361,1.816,132,0.1,37525.581,2025-05-18 11:00:30.522,0,43.264093010681705,42.92,42.5759069893183
DUTCHBANGL,2025-05-19,42.8,42.7,43.0,42.6,46697,1.995,144,,37613.463,2025-05-19 10:59:38.975,0,43.23767152709115,42.88333333333333,42.528995139575514
DUTCHBANGL,2025-05-20,42.8,42.7,42.8,42.4,84000,3.574,167,0.1,37525.581,2025-05-20 10:59:36.230,0,43.20939508588394,42.857142857142854,42.50489062840177
DUTCHBANGL,2025-05-21,43.0,42.6,43.2,42.4,96862,4.137,193,-0.1,37525.581,2025-05-21 11:19:41.390,0,43.19580992435478,42.825,42.45419007564522
DUTCHBANGL,2025-05-24,38.2,38.1,39.8,37.6,123868,4.726,351,-4.5,41181.469,2025-05-24 11:20:53.212,0,45.29035486560077,42.3,39.309645134399226
DUTCHBANGL,2025-05-25,38.0,38.1,38.3,37.9,110496,4.192,136,,36831.313,2025-05-25 11:20:39.648,0,45.67452236783498,41.88,38.08547763216502
DUTCHBANGL,2025-05-26,38.5,38.2,38.6,38.1,30352,1.165,114,0.1,36831.313,2025-05-26 11:00:37.649,0,45.73666928485117,41.54545454545455,37.354239806057926
DUTCHBANGL,2025-05-27,38.5,38.3,38.5,38.1,24110,0.922,85,0.1,36927.984,2025-05-27 10:59:19.117,0,45.67054698909399,41.275,36.879453010906005
DUTCHBANGL,2025-05-28,38.3,38.1,38.4,37.8,37167,1.416,124,-0.5,37024.654,2025-05-28 11:20:00.641,0,45.580247385381014,41.03076923076923,36.48129107615745
DUTCHBANGL,2025-05-29,38.0,38.0,38.3,37.9,121000,4.599,266,-0.1,36831.313,2025-05-29 11:19:51.301,0,45.46792155420832,40.81428571428571,36.1606498743631
DUTCHBANGL,2025-06-01,38.0,38.0,38.0,37.5,75616,2.857,193,,36734.643,2025-06-01 11:00:52.043,0,45.336637178487535,40.626666666666665,35.916696154845795
DUTCHBANGL,2025-06-02,38.0,38.2,38.4,38.0,36973,1.416,94,0.2,36734.643,2025-06-02 10:59:55.168,0,45.184299310937874,40.475,35.76570068906213
DUTCHBANGL,2025-06-03,38.4,38.8,38.8,38.0,43182,1.658,122,0.6,36927.984,2025-06-03 11:00:07.475,0,45.01266040912952,40.37647058823529,35.74028076734106
DUTCHBANGL,2025-06-04,38.1,39.1,39.3,38.1,31011,1.207,115,0.3,37508.004,2025-06-04 11:00:26.222,0,44.8489132088151,40.30555555555556,35.762197902296016
