symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EASTERNINS,2025-05-13,42.3,40.0,42.4,39.4,46083,1.894,163,-2.0,1810626000.0,2025-05-13 16:30:46.514,0,40.0,40.0,40.0
EASTERNINS,2025-05-14,40.0,41.0,41.1,40.0,39403,1.608,108,1.0,1724406000.0,2025-05-14 11:48:41.363,0,41.5,40.5,39.5
EASTERNINS,2025-05-15,41.1,39.9,41.1,39.9,22879,0.917,74,-0.9,1767516000.0,2025-05-15 09:15:04.700,0,41.29331096171676,40.300000000000004,39.306689038283245
EASTERNINS,2025-05-17,39.5,40.4,40.6,39.5,989,0.04,10,0.1,1720.095,2025-05-17 09:33:47.025,0,41.18958082328953,40.325,39.460419176710474
EASTERNINS,2025-05-18,41.4,40.2,41.9,40.0,49051,1.997,122,,1741.65,2025-05-18 11:00:48.769,0,41.07974354758471,40.3,39.52025645241528
EASTERNINS,2025-05-19,40.2,39.6,40.4,39.3,21537,0.857,75,-0.6,1733.028,2025-05-19 10:59:59.328,0,41.065880152991575,40.18333333333333,39.300786513675085
EASTERNINS,2025-05-20,40.0,39.2,40.0,39.0,15870,0.622,85,-0.4,1707.162,2025-05-20 10:59:54.588,0,41.11113823404799,40.042857142857144,38.9745760516663
EASTERNINS,2025-05-21,40.0,39.2,40.0,39.0,16233,0.638,77,,1689.918,2025-05-21 11:21:20.710,0,41.08177924913457,39.9375,38.79322075086543
EASTERNINS,2025-05-22,39.6,39.1,39.6,39.0,7825,0.306,63,-0.1,1689.918,2025-05-22 11:00:36.178,0,41.04485589653951,39.84444444444445,38.64403299234939
EASTERNINS,2025-05-24,38.5,39.2,40.1,38.1,6440,0.252,34,-0.1,1685.607,2025-05-24 11:20:32.441,0,40.982663710269826,39.78,38.57733628973018
EASTERNINS,2025-05-25,39.0,38.3,39.5,38.2,4242,0.163,37,-0.9,1689.918,2025-05-25 11:20:16.835,0,41.07339301207795,39.64545454545455,38.217516078831146
EASTERNINS,2025-05-26,38.9,39.1,39.4,38.3,17628,0.687,86,0.8,1651.119,2025-05-26 11:00:32.035,0,41.0,39.6,38.2
EASTERNINS,2025-05-28,36.0,36.6,38.4,36.0,8615,0.316,51,-2.5,1685.607,2025-05-28 11:20:52.706,0,41.45859521493722,39.36923076923077,37.27986632352432
EASTERNINS,2025-05-29,35.6,36.6,36.9,35.6,14007,0.512,67,,1577.831,2025-05-29 11:21:03.185,0,41.63884893798675,39.17142857142857,36.70400820487039
EASTERNINS,2025-06-01,36.5,36.8,37.5,36.4,9499,0.349,59,0.3,1577.831,2025-06-01 11:00:56.055,0,41.674527718483645,39.013333333333335,36.352138948183025
EASTERNINS,2025-06-02,37.0,36.9,37.1,36.4,4864,0.179,52,0.1,1586.453,2025-06-02 10:59:59.457,0,41.65363052041923,38.88125,36.108869479580775
EASTERNINS,2025-06-03,37.2,37.2,37.5,36.6,10070,0.374,51,0.3,1590.764,2025-06-03 11:00:11.280,0,41.58590975277272,38.78235294117647,35.97879612958022
EASTERNINS,2025-06-04,37.2,37.1,37.4,36.6,4107,0.152,35,0.2,1603.697,2025-06-04 11:00:35.549,0,41.52036976479416,38.68888888888889,35.85740801298362
