symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EASTLAND,2025-05-13,18.7,18.4,18.8,18.3,69927,1.297,92,,1551791000.0,2025-05-13 16:33:51.293,0,18.4,18.4,18.4
EASTLAND,2025-05-14,18.5,18.0,18.5,17.7,74762,1.359,100,-0.7,1543403000.0,2025-05-14 11:52:00.361,0,18.599999999999998,18.2,17.8
EASTLAND,2025-05-15,18.5,18.0,18.5,17.7,23152,0.414,45,0.2,1509850000.0,2025-05-15 09:18:04.212,0,18.510456949966155,18.133333333333333,17.75620971670051
EASTLAND,2025-05-17,18.9,17.9,18.9,17.5,1835,0.033,11,0.2,1509.85,2025-05-17 09:52:51.093,0,18.459057287393428,18.075,17.69094271260657
EASTLAND,2025-05-18,18.3,17.9,18.4,17.8,31003,0.559,39,,1501.462,2025-05-18 11:04:37.179,0,18.410944739819826,18.04,17.669055260180173
EASTLAND,2025-05-19,17.9,18.1,18.3,17.8,33240,0.599,51,0.3,1501.462,2025-05-19 11:02:59.594,0,18.39156502553199,18.05,17.708434974468013
EASTLAND,2025-05-20,18.1,17.9,18.2,17.8,7579,0.136,30,-0.2,1518.239,2025-05-20 11:03:42.324,0,18.361768679705445,18.02857142857143,17.69537417743741
EASTLAND,2025-05-21,17.8,17.9,18.3,17.8,43368,0.775,57,-0.1,1501.462,2025-05-21 11:41:21.118,0,18.335571199583,18.0125,17.689428800416998
EASTLAND,2025-05-22,18.3,17.8,18.3,17.7,6451,0.115,17,,1501.462,2025-05-22 11:04:06.339,0,18.32148065660213,17.98888888888889,17.65629712117565
EASTLAND,2025-05-24,17.8,17.6,17.9,17.5,34874,0.616,46,-0.2,1493.074,2025-05-24 11:41:36.704,0,18.34242833740697,17.95,17.557571662593027
EASTLAND,2025-05-25,18.5,17.5,18.5,17.4,19820,0.347,57,-0.2,1476.298,2025-05-25 11:41:02.422,0,18.363999854661703,17.90909090909091,17.454181963520117
EASTLAND,2025-05-26,17.8,17.4,17.8,17.4,29587,0.516,51,-0.1,1467.91,2025-05-26 11:04:00.052,0,18.385211639536802,17.866666666666667,17.348121693796532
EASTLAND,2025-05-27,17.4,17.4,17.5,17.3,11865,0.206,46,,1459.522,2025-05-27 11:02:42.871,0,18.387598802180115,17.830769230769228,17.27393965935834
EASTLAND,2025-05-28,17.4,17.1,17.4,17.0,11659,0.201,57,-0.3,1459.522,2025-05-28 11:40:51.405,0,18.434003985540254,17.77857142857143,17.123138871602603
EASTLAND,2025-05-29,17.2,17.1,17.3,17.0,40002,0.684,109,-0.1,1434.358,2025-05-29 11:40:17.089,0,18.451355307617934,17.733333333333334,17.015311359048734
EASTLAND,2025-06-01,17.2,17.2,17.4,17.1,137873,2.374,109,0.3,1434.358,2025-06-01 11:04:49.994,0,18.441619848709564,17.7,16.958380151290434
EASTLAND,2025-06-03,17.0,16.7,17.0,16.6,19861,0.333,55,-0.5,1442.746,2025-06-03 11:03:52.212,0,18.500885925009182,17.641176470588235,16.781467016167287
EASTLAND,2025-06-04,17.0,16.7,17.0,16.6,20760,0.348,79,,1400.806,2025-06-04 11:04:30.385,0,18.52907536894694,17.58888888888889,16.648702408830836
