symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EASTRNLUB,2025-05-13,2114.1,2185.0,2210.0,2104.0,12190,26.164,1065,70.9,3356379000.0,2025-05-13 16:26:54.123,0,2185.0,2185.0,2185.0
EASTRNLUB,2025-05-14,2197.5,2186.7,2224.0,2167.3,6687,14.669,801,1.7,3468941000.0,2025-05-14 11:45:18.410,0,2187.5499999999997,2185.85,2184.15
EASTRNLUB,2025-05-15,2155.0,2156.4,2190.0,2125.5,5409,11.66,719,-30.3,3471640000.0,2025-05-15 09:11:06.631,0,2203.833733010716,2176.0333333333333,2148.2329336559505
EASTRNLUB,2025-05-17,2160.0,2170.4,2184.0,2136.0,5716,12.404,480,14.0,3423.535,2025-05-17 09:10:32.399,0,2199.1901684301165,2174.625,2150.0598315698835
EASTRNLUB,2025-05-18,2173.1,2128.4,2178.0,2120.2,5270,11.288,625,-42.0,3445.762,2025-05-18 10:56:05.153,0,2208.3948625477287,2165.38,2122.3651374522715
EASTRNLUB,2025-05-19,2130.3,2109.3,2158.0,2105.3,3200,6.776,553,-19.1,3379.082,2025-05-19 10:55:55.122,0,2213.38402837901,2156.0333333333333,2098.6826382876566
EASTRNLUB,2025-05-20,2100.0,2076.9,2130.0,2022.0,4510,9.322,749,-16.4,3348.758,2025-05-20 10:55:54.112,0,2221.4512791333373,2144.7285714285713,2068.0058637238053
EASTRNLUB,2025-05-21,2119.0,2087.1,2119.0,2052.1,5370,11.179,589,28.0,3297.32,2025-05-21 10:56:46.571,0,2218.7871529372683,2137.525,2056.262847062732
EASTRNLUB,2025-05-22,2110.7,2068.2,2110.9,2060.3,3298,6.834,394,-18.9,3313.513,2025-05-22 10:55:35.617,0,2217.9610913261176,2129.8222222222225,2041.6833531183274
EASTRNLUB,2025-05-24,2087.9,2038.1,2087.9,2034.0,2994,6.123,474,-30.1,3283.507,2025-05-24 10:56:33.063,0,2220.7513586321384,2120.65,2020.5486413678618
EASTRNLUB,2025-05-25,2033.0,2140.0,2140.0,2033.0,10238,21.681,732,101.9,3235.72,2025-05-25 10:56:21.853,0,2218.4982334059678,2122.409090909091,2026.3199484122142
EASTRNLUB,2025-05-26,2240.0,2247.0,2247.0,2220.0,13755,30.9,366,107.0,3397.498,2025-05-26 10:56:36.081,0,2247.7125222828495,2132.7916666666665,2017.8708110504836
EASTRNLUB,2025-05-27,2320.0,2227.3,2347.5,2212.4,16331,37.391,1514,-19.7,3567.373,2025-05-27 10:55:38.328,0,2261.419458895563,2140.0615384615385,2018.703618027514
EASTRNLUB,2025-05-28,2222.0,2246.4,2295.0,2202.1,11487,25.775,1457,19.1,3536.097,2025-05-28 10:56:07.826,0,2276.791994062843,2147.657142857143,2018.5222916514424
EASTRNLUB,2025-05-29,2270.0,2251.6,2314.9,2230.0,10367,23.591,991,3.6,3566.421,2025-05-29 10:56:08.831,0,2289.6907523027257,2154.5866666666666,2019.4825810306077
EASTRNLUB,2025-06-01,2251.8,2336.8,2363.0,2238.1,22545,51.736,1559,85.2,3574.676,2025-06-01 10:55:56.399,0,2323.753143289874,2165.975,2008.1968567101258
EASTRNLUB,2025-06-02,2359.0,2313.9,2369.0,2295.0,7680,17.947,971,-22.9,3709.941,2025-06-02 10:55:50.731,0,2342.8293496199176,2174.676470588235,2006.5235915565527
EASTRNLUB,2025-06-03,2323.0,2272.3,2323.0,2235.0,10985,24.894,1168,-41.6,3673.585,2025-06-03 10:55:52.915,0,2349.5247128766446,2180.1000000000004,2010.675287123356
EASTRNLUB,2025-06-04,2271.0,2292.1,2310.0,2235.0,4174,9.475,599,19.8,3607.54,2025-06-04 10:56:21.637,0,2363.096161588817,2186.05,2009.0038384111836
