symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EBLNRBMF,2025-05-13,4.1,3.9,4.1,3.8,666555,2.588,89,-0.2,897045000.0,2025-05-13 16:38:02.182,0,3.9,3.9,3.9
EBLNRBMF,2025-05-14,3.9,3.8,4.0,3.8,721944,2.795,73,-0.1,874619000.0,2025-05-14 11:56:43.771,0,3.9499999999999993,3.8499999999999996,3.75
EBLNRBMF,2025-05-15,3.9,3.7,3.9,3.7,343503,1.283,66,-0.1,852193000.0,2025-05-15 09:23:00.653,0,3.963299316185545,3.8000000000000003,3.6367006838144555
EBLNRBMF,2025-05-17,3.8,3.8,3.9,3.7,387687,1.473,52,0.2,829.767,2025-05-17 10:21:55.401,0,3.941421356237309,3.8,3.6585786437626906
EBLNRBMF,2025-05-18,3.9,3.7,3.9,3.7,258749,0.967,44,-0.1,852.193,2025-05-18 11:09:40.342,0,3.929666295470957,3.78,3.6303337045290425
EBLNRBMF,2025-05-19,3.6,3.5,3.6,3.4,299462,1.053,53,-0.2,829.767,2025-05-19 11:08:21.676,0,3.982777159118262,3.733333333333333,3.4838895075484038
EBLNRBMF,2025-05-20,3.5,3.5,3.6,3.4,201600,0.709,34,,784.915,2025-05-20 11:09:10.349,0,3.9828427124746186,3.6999999999999997,3.417157287525381
EBLNRBMF,2025-05-21,3.7,3.8,3.8,3.7,716468,2.691,119,0.3,784.915,2025-05-21 12:09:59.653,0,3.9852178028658924,3.7125,3.4397821971341074
EBLNRBMF,2025-05-22,3.9,3.7,3.9,3.7,505860,1.892,63,-0.1,852.193,2025-05-22 11:11:22.780,0,3.9683519311731157,3.711111111111111,3.453870291049106
EBLNRBMF,2025-05-24,3.8,3.8,3.8,3.6,6804,0.026,11,-0.1,829.767,2025-05-24 12:10:09.772,0,3.969799919935936,3.72,3.4702000800640644
EBLNRBMF,2025-05-25,3.8,3.7,3.8,3.6,9005,0.034,7,,852.193,2025-05-25 12:07:46.065,0,3.9566341281564363,3.7181818181818183,3.4797295082072
EBLNRBMF,2025-05-26,3.8,3.7,3.8,3.7,10309,0.038,7,,829.767,2025-05-26 11:08:48.072,0,3.945188486680035,3.716666666666667,3.4881448466532987
EBLNRBMF,2025-05-27,3.7,3.7,3.8,3.7,316743,1.172,29,,829.767,2025-05-27 11:07:11.617,0,3.9351208747243946,3.715384615384615,3.4956483560448355
EBLNRBMF,2025-05-28,3.8,3.8,3.8,3.7,312755,1.167,41,,829.767,2025-05-28 12:06:48.358,0,3.9376106564345936,3.7214285714285715,3.5052464864225494
EBLNRBMF,2025-05-29,3.8,3.8,3.8,3.6,231467,0.869,38,,852.193,2025-05-29 12:06:41.666,0,3.939165032673456,3.7266666666666666,3.514168300659877
EBLNRBMF,2025-06-01,3.8,3.7,3.9,3.7,280496,1.054,41,-0.1,852.193,2025-06-01 11:09:43.538,0,3.931155281280883,3.725,3.518844718719117
EBLNRBMF,2025-06-02,3.8,3.7,3.8,3.7,132593,0.491,14,,829.767,2025-06-02 11:08:03.903,0,3.9238751337167805,3.7235294117647055,3.5231836898126305
EBLNRBMF,2025-06-03,3.8,3.7,3.8,3.7,40378,0.149,19,,829.767,2025-06-03 11:08:42.344,0,3.917221430830936,3.7222222222222223,3.5272230136135088
EBLNRBMF,2025-06-04,3.6,3.7,3.7,3.6,5407,0.02,9,,829.767,2025-06-04 11:08:51.893,0,3.8860890638669288,3.711111111111111,3.536133158355293
