symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EGEN,2025-05-13,19.1,18.7,19.2,18.6,128640,2.428,199,-0.2,1417500000.0,2025-05-13 16:33:47.866,0,18.7,18.7,18.7
EGEN,2025-05-14,18.4,18.4,19.0,18.3,142349,2.645,208,-0.2,1402500000.0,2025-05-14 11:51:48.494,0,18.849999999999994,18.549999999999997,18.25
EGEN,2025-05-15,18.6,17.9,18.7,17.6,309672,5.613,316,-0.5,1380000000.0,2025-05-15 09:18:10.510,0,18.993299662440776,18.333333333333332,17.673367004225888
EGEN,2025-05-17,18.3,18.1,18.3,17.5,186001,3.324,236,0.2,1342.5,2025-05-17 09:53:12.258,0,18.881217782649102,18.275,17.668782217350895
EGEN,2025-05-18,18.3,18.1,18.7,17.9,374237,6.88,409,,1357.5,2025-05-18 11:04:30.682,0,18.8,18.240000000000002,17.680000000000003
EGEN,2025-05-19,18.2,18.2,18.4,17.9,195653,3.552,245,0.1,1357.5,2025-05-19 11:02:57.510,0,18.745409716524573,18.233333333333334,17.721256950142095
EGEN,2025-05-20,18.3,18.5,18.7,18.1,187621,3.461,185,0.5,1365.0,2025-05-20 11:03:27.421,0,18.780930128575058,18.271428571428572,17.761927014282087
EGEN,2025-05-21,18.4,18.8,19.0,18.4,220371,4.127,259,0.3,1387.5,2025-05-21 11:39:41.048,0,18.928579520876845,18.3375,17.746420479123152
EGEN,2025-05-22,18.2,18.7,19.3,17.8,374731,7.077,349,-0.1,1410.0,2025-05-22 11:03:45.343,0,18.97983187485085,18.37777777777778,17.77572368070471
EGEN,2025-05-24,18.6,18.5,18.8,18.3,211375,3.937,241,-0.2,1402.5,2025-05-24 11:39:57.467,0,18.96584720195552,18.39,17.814152798044482
EGEN,2025-05-25,18.5,18.5,18.8,18.2,178681,3.29,180,,1387.5,2025-05-25 11:39:18.115,0,18.95267942376621,18.400000000000002,17.847320576233795
EGEN,2025-05-26,18.7,19.0,19.5,18.6,566889,10.718,416,0.5,1387.5,2025-05-26 11:03:30.257,0,19.07449979983984,18.45,17.82550020016016
EGEN,2025-05-27,19.7,18.8,19.8,18.8,311727,5.989,362,-0.2,1425.0,2025-05-27 11:02:11.731,0,19.105248549435757,18.476923076923075,17.848597604410394
EGEN,2025-05-28,19.0,18.5,19.2,18.1,351210,6.491,286,-0.3,1410.0,2025-05-28 11:37:09.909,0,19.084157668406473,18.478571428571428,17.872985188736383
EGEN,2025-05-29,18.4,18.7,18.8,18.1,343285,6.353,286,0.2,1387.5,2025-05-29 11:37:04.015,0,19.088723028313762,18.493333333333332,17.897943638352903
EGEN,2025-06-01,18.6,18.5,18.7,18.4,219018,4.059,245,-0.2,1402.5,2025-06-01 11:04:17.604,0,19.070242627880006,18.49375,17.91725737211999
EGEN,2025-06-02,18.5,18.5,18.8,18.3,161627,2.977,218,,1387.5,2025-06-02 11:03:10.438,0,19.053405379953162,18.49411764705882,17.93482991416448
EGEN,2025-06-03,18.4,18.4,18.6,18.2,115083,2.115,126,-0.1,1387.5,2025-06-03 11:03:00.850,0,19.034126406506015,18.48888888888889,17.943651371271766
EGEN,2025-06-04,18.3,18.5,18.5,18.2,57437,1.059,67,0.1,1380.0,2025-06-04 11:03:36.621,0,19.013420924141954,18.477777777777778,17.9421346314136
