symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EHL,2025-05-13,72.3,70.1,72.5,69.8,112726,7.97,442,-1.6,6692847000.0,2025-05-13 16:29:25.067,0,70.1,70.1,70.1
EHL,2025-05-14,69.8,69.3,71.1,69.0,101636,7.109,420,-0.8,6543495000.0,2025-05-14 11:47:23.797,0,70.49999999999997,69.69999999999999,68.9
EHL,2025-05-15,70.9,68.5,70.9,68.2,124088,8.506,426,-0.8,6468819000.0,2025-05-15 09:13:37.919,0,70.60639452948435,69.3,67.99360547051565
EHL,2025-05-17,69.0,70.8,71.2,68.5,129834,9.087,604,2.3,6394.143,2025-05-17 09:23:20.767,0,71.39764331769521,69.675,67.95235668230478
EHL,2025-05-18,71.1,69.5,71.7,69.2,130045,9.136,644,-1.3,6608.837,2025-05-18 10:58:46.284,0,71.18712636846509,69.64,68.09287363153491
EHL,2025-05-19,70.8,70.0,70.9,69.6,95721,6.713,428,0.5,6487.488,2025-05-19 10:58:16.922,0,71.13759057685652,69.7,68.26240942314348
EHL,2025-05-20,70.9,70.8,71.7,69.7,148105,10.434,438,0.8,6534.161,2025-05-20 10:58:09.018,0,71.39469989109413,69.85714285714286,68.31958582319159
EHL,2025-05-21,71.6,71.6,71.8,71.0,143268,10.239,465,0.8,6608.837,2025-05-21 11:10:20.102,0,71.91823085911668,70.075,68.23176914088333
EHL,2025-05-22,71.6,70.9,71.7,70.4,94644,6.73,329,-0.7,6683.513,2025-05-22 10:58:26.700,0,71.98019606783139,70.16666666666667,68.35313726550196
EHL,2025-05-24,71.0,69.8,71.0,69.7,48930,3.428,252,-1.1,6618.171,2025-05-24 11:10:24.984,0,71.8644739836619,70.13,68.3955260163381
EHL,2025-05-25,69.8,69.5,70.4,69.2,95194,6.629,242,-0.3,6515.492,2025-05-25 11:10:34.356,0,71.76568790501595,70.07272727272726,68.37976664043858
EHL,2025-05-26,69.6,69.7,70.3,69.6,37264,2.601,116,0.2,6487.488,2025-05-26 10:58:45.444,0,71.675595129673,70.04166666666667,68.40773820366034
EHL,2025-05-27,69.5,70.2,70.9,69.5,98570,6.92,351,0.5,6506.157,2025-05-27 10:57:52.672,0,71.62594007277747,70.05384615384615,68.48175223491484
EHL,2025-05-28,69.9,69.4,70.6,69.2,58350,4.062,221,-0.8,6552.83,2025-05-28 11:09:36.764,0,71.55903439553681,70.00714285714285,68.45525131874889
EHL,2025-05-29,69.5,70.0,70.5,69.1,56717,3.967,299,0.6,6478.154,2025-05-29 11:09:55.849,0,71.50594056499952,70.00666666666666,68.5073927683338
EHL,2025-06-01,70.5,71.3,72.1,70.0,67586,4.802,286,1.3,6534.161,2025-06-01 10:58:44.807,0,71.66844117537624,70.0875,68.50655882462377
EHL,2025-06-02,71.4,72.1,72.3,71.0,175584,12.639,622,0.8,6655.509,2025-06-02 10:58:15.774,0,72.00845644473362,70.20588235294117,68.40330826114872
EHL,2025-06-03,72.3,71.2,72.7,71.0,82874,5.935,368,-0.9,6730.186,2025-06-03 10:58:16.819,0,72.07113123240983,70.26111111111112,68.45109098981241
EHL,2025-06-04,71.0,71.8,72.1,71.0,63795,4.573,224,0.6,6646.175,2025-06-04 10:58:52.649,0,72.29488215371302,70.35555555555555,68.41622895739809
