symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EIL,2025-05-13,50.0,50.8,51.1,48.5,185530,9.409,717,0.8,3259873000.0,2025-05-13 16:29:56.306,0,50.8,50.8,50.8
EIL,2025-05-14,51.6,49.8,51.6,49.3,178480,8.962,964,-1.0,3312031000.0,2025-05-14 11:47:52.599,0,51.3,50.3,49.3
EIL,2025-05-15,49.9,49.7,50.2,49.0,167266,8.317,777,-0.1,3246834000.0,2025-05-15 09:14:06.332,0,51.09331096171675,50.1,49.10668903828325
EIL,2025-05-17,49.2,49.0,50.0,48.7,106681,5.261,575,-0.7,3240.314,2025-05-17 09:29:08.581,0,51.108549765299344,49.825,48.54145023470066
EIL,2025-05-18,50.0,50.9,51.4,49.8,142838,7.242,393,1.9,3194.676,2025-05-18 10:59:26.560,0,51.47443368616329,50.04,48.60556631383671
EIL,2025-05-19,51.2,51.5,52.0,51.1,141726,7.288,425,0.6,3318.551,2025-05-19 10:58:58.683,0,51.98594570521628,50.28333333333333,48.58072096145038
EIL,2025-05-20,51.4,53.1,53.4,51.4,157368,8.332,448,1.6,3357.669,2025-05-20 10:58:45.774,0,53.20972146575518,50.68571428571429,48.1617071056734
EIL,2025-05-21,53.5,53.2,53.8,52.7,127674,6.789,355,0.1,3461.985,2025-05-21 11:14:03.311,0,53.88790581563873,51.0,48.11209418436127
EIL,2025-05-22,52.5,52.2,53.3,50.9,110714,5.743,419,-1.0,3468.505,2025-05-22 10:59:12.747,0,53.95861601338895,51.13333333333333,48.30805065327772
EIL,2025-05-24,52.2,50.6,52.2,50.1,86673,4.406,325,-1.6,3403.308,2025-05-24 11:14:04.504,0,53.77933325100848,51.08,48.380666748991516
EIL,2025-05-26,50.7,49.5,52.0,49.0,108451,5.376,344,-1.6,3298.992,2025-05-26 10:59:31.941,0,53.6656961918334,50.93636363636363,48.20703108089386
EIL,2025-05-27,45.5,48.6,50.9,45.5,55276,2.685,240,-0.9,3227.274,2025-05-27 10:58:25.791,0,53.65652324785362,50.74166666666667,47.826810085479714
EIL,2025-05-28,48.6,48.3,50.8,47.2,110825,5.361,425,-0.3,3168.597,2025-05-28 11:13:38.466,0,53.641902933530794,50.55384615384616,47.465789374161524
EIL,2025-05-29,48.2,47.9,48.4,47.2,67374,3.227,406,-0.4,3149.038,2025-05-29 11:14:39.061,0,53.63895659664246,50.364285714285714,47.08961483192897
EIL,2025-06-01,47.7,49.5,50.9,47.7,58603,2.89,385,1.6,3122.959,2025-06-01 10:59:32.227,0,53.499547636713764,50.306666666666665,47.113785696619566
EIL,2025-06-02,49.1,50.4,51.0,49.1,83047,4.181,746,0.9,3227.274,2025-06-02 10:59:06.619,0,53.40432389537309,50.3125,47.22067610462691
EIL,2025-06-03,50.8,50.8,51.3,49.6,72319,3.66,546,0.4,3285.952,2025-06-03 10:58:59.756,0,53.34944650190438,50.34117647058823,47.33290643927208
EIL,2025-06-04,50.5,50.6,51.4,50.4,39503,2.012,432,-0.2,3312.031,2025-06-04 10:59:27.101,0,53.281472105001384,50.355555555555554,47.429639006109724
