symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EMERALDOIL,2025-05-13,21.9,21.3,21.9,21.2,85903,1.842,103,-0.5,1989730000.0,2025-05-13 16:33:10.791,0,21.3,21.3,21.3
EMERALDOIL,2025-05-14,21.3,21.5,22.0,21.3,82258,1.789,180,0.2,1944094000.0,2025-05-14 11:51:06.185,0,21.6,21.4,21.199999999999996
EMERALDOIL,2025-05-15,22.0,21.2,22.0,21.0,59395,1.28,192,-0.3,1962348000.0,2025-05-15 09:17:16.251,0,21.582777159118262,21.333333333333332,21.083889507548403
EMERALDOIL,2025-05-17,21.2,21.5,21.7,20.6,51436,1.102,96,0.3,1934.966,2025-05-17 09:47:57.721,0,21.63480762113533,21.375,21.11519237886467
EMERALDOIL,2025-05-18,21.3,21.3,21.9,21.2,61680,1.319,156,-0.1,1962.348,2025-05-18 11:03:34.314,0,21.599999999999998,21.36,21.12
EMERALDOIL,2025-05-19,21.1,21.3,21.8,21.1,17405,0.37,52,-0.1,1944.094,2025-05-19 11:02:12.552,0,21.573606797749978,21.349999999999998,21.126393202250018
EMERALDOIL,2025-05-20,21.7,21.6,21.8,21.4,73898,1.601,129,0.3,1944.094,2025-05-20 11:02:30.873,0,21.65676665658586,21.385714285714283,21.114661914842706
EMERALDOIL,2025-05-21,21.9,21.3,21.9,21.1,35410,0.759,129,,1971.475,2025-05-21 11:35:15.422,0,21.63480762113533,21.375,21.11519237886467
EMERALDOIL,2025-05-22,21.7,21.4,21.7,21.0,62616,1.338,148,0.1,1944.094,2025-05-22 11:02:56.211,0,21.623230244826384,21.37777777777778,21.132325310729176
EMERALDOIL,2025-05-24,21.4,20.6,21.4,20.4,57675,1.2,180,-0.8,1953.221,2025-05-24 11:36:20.230,0,21.82153619241621,21.3,20.77846380758379
EMERALDOIL,2025-05-25,21.3,20.7,21.3,20.6,40208,0.839,84,,1880.203,2025-05-25 11:35:24.633,0,21.8506660718943,21.245454545454546,20.640243019014793
EMERALDOIL,2025-05-26,21.2,20.4,21.2,20.3,50540,1.042,99,-0.3,1889.33,2025-05-26 11:03:09.844,0,21.91942371447091,21.175,20.430576285529092
EMERALDOIL,2025-05-27,20.9,20.2,20.9,19.7,45873,0.923,145,0.1,1861.949,2025-05-27 11:01:53.297,0,21.9840466399113,21.1,20.215953360088704
EMERALDOIL,2025-05-28,20.7,19.9,20.9,19.7,47003,0.937,99,-0.3,1843.694,2025-05-28 11:35:10.414,0,22.06678516893679,21.014285714285712,19.961786259634636
EMERALDOIL,2025-05-29,19.3,20.1,20.5,19.2,49432,0.979,87,0.2,1816.313,2025-05-29 11:35:35.950,0,22.067763930344896,20.953333333333333,19.83890273632177
EMERALDOIL,2025-06-01,21.0,20.1,21.0,19.7,53497,1.074,85,-0.1,1834.567,2025-06-01 11:04:01.477,0,22.05542200082913,20.9,19.74457799917087
EMERALDOIL,2025-06-02,20.4,20.2,20.5,19.9,62539,1.262,86,0.4,1834.567,2025-06-02 11:02:44.341,0,22.027148269782323,20.858823529411765,19.690498789041207
EMERALDOIL,2025-06-03,20.2,20.8,21.7,20.2,77279,1.624,163,0.6,1843.694,2025-06-03 11:02:24.534,0,21.991282874593832,20.855555555555554,19.719828236517277
EMERALDOIL,2025-06-04,21.4,22.0,22.1,20.4,248746,5.289,334,1.2,1898.458,2025-06-04 11:02:23.957,0,22.131775303318083,20.894444444444442,19.6571135855708
