symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ENVOYTEX,2025-05-13,41.5,41.3,41.9,40.9,10945,0.452,44,-0.1,6944219000.0,2025-05-13 16:30:43.765,0,41.3,41.3,41.3
ENVOYTEX,2025-05-14,41.0,40.7,41.3,40.5,20047,0.821,79,-0.6,6927446000.0,2025-05-14 11:48:43.733,0,41.599999999999994,41.0,40.400000000000006
ENVOYTEX,2025-05-15,41.5,40.7,41.5,40.6,19449,0.794,79,,6826805000.0,2025-05-15 09:15:02.843,0,41.46568542494923,40.9,40.33431457505077
ENVOYTEX,2025-05-17,41.4,41.8,42.0,40.5,18592,0.769,59,0.5,6826.805,2025-05-17 09:33:00.666,0,42.045597631976094,41.125,40.204402368023906
ENVOYTEX,2025-05-18,42.3,40.9,42.3,40.5,10642,0.433,50,-0.9,7011.313,2025-05-18 11:00:45.580,0,41.922852300228215,41.08,40.23714769977178
ENVOYTEX,2025-05-19,41.6,41.0,41.6,40.8,15406,0.633,49,0.1,6860.352,2025-05-19 10:59:49.851,0,41.83838912685268,41.06666666666667,40.29494420648066
ENVOYTEX,2025-05-20,41.1,40.9,41.6,40.7,31895,1.306,58,,6877.125,2025-05-20 10:59:46.846,0,41.76679196910399,41.042857142857144,40.3189223166103
ENVOYTEX,2025-05-21,40.9,41.0,41.8,40.8,44853,1.841,95,0.2,6860.352,2025-05-21 11:20:32.194,0,41.71527208558629,41.0375,40.35972791441371
ENVOYTEX,2025-05-24,40.9,41.3,41.7,40.9,21353,0.882,47,0.4,6927.446,2025-05-24 11:18:57.536,0,41.72663299577411,41.06666666666667,40.40670033755923
ENVOYTEX,2025-05-25,40.8,40.8,41.3,40.1,17726,0.722,52,-0.3,6927.446,2025-05-25 11:19:07.171,0,41.686219776856134,41.04,40.393780223143864
ENVOYTEX,2025-05-26,41.0,40.1,41.0,40.0,29810,1.199,57,-0.8,6843.578,2025-05-26 11:00:25.983,0,41.774140194151606,40.95454545454545,40.1349507149393
ENVOYTEX,2025-05-27,40.5,40.0,40.5,39.7,38766,1.551,87,-0.1,6726.164,2025-05-27 10:59:07.119,0,41.82060386350028,40.875,39.92939613649972
ENVOYTEX,2025-05-28,39.6,40.1,40.7,39.0,28536,1.14,113,0.1,6709.391,2025-05-28 11:18:44.163,0,41.813370753244726,40.815384615384616,39.817398477524506
ENVOYTEX,2025-05-29,39.2,40.1,40.3,39.2,37435,1.499,100,,6726.164,2025-05-29 11:18:40.314,0,41.794146017869636,40.76428571428572,39.7344254107018
ENVOYTEX,2025-06-01,40.0,40.1,40.4,39.9,39327,1.575,57,0.3,6726.164,2025-06-01 11:00:22.629,0,41.76868171211923,40.72,39.671318287880766
ENVOYTEX,2025-06-02,40.5,40.5,40.8,40.0,35952,1.446,66,0.4,6726.164,2025-06-02 10:59:45.887,0,41.72720237401163,40.70625,39.68529762598836
ENVOYTEX,2025-06-03,40.2,40.0,40.6,40.0,23829,0.954,54,-0.4,6793.258,2025-06-03 10:59:55.950,0,41.70944885996674,40.66470588235294,39.61996290473914
ENVOYTEX,2025-06-04,40.0,40.2,40.7,40.0,54512,2.184,73,0.2,6709.391,2025-06-04 11:00:18.390,0,41.67627639580526,40.638888888888886,39.60150138197251
