symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
EPGL,2025-05-13,16.8,15.7,16.9,15.5,624926,10.135,816,-1.0,3175726000.0,2025-05-13 16:34:21.832,0,15.7,15.7,15.7
EPGL,2025-05-14,15.8,15.0,15.8,14.8,450484,6.918,514,-0.7,2985562000.0,2025-05-14 11:52:41.891,0,16.049999999999997,15.35,14.65
EPGL,2025-05-15,15.4,14.3,15.4,14.1,708518,10.252,683,-0.7,2852448000.0,2025-05-15 09:19:03.852,0,16.143095213298814,15.0,13.856904786701184
EPGL,2025-05-17,14.7,15.1,15.3,14.2,415308,6.125,668,0.8,2719.334,2025-05-17 09:57:48.016,0,16.01873034571759,15.025,14.031269654282411
EPGL,2025-05-18,15.2,15.1,15.8,15.1,745379,11.501,758,,2871.465,2025-05-18 11:05:19.556,0,15.930842298052804,15.040000000000001,14.149157701947198
EPGL,2025-05-19,15.3,15.1,15.5,14.9,488818,7.41,525,,2871.465,2025-05-19 11:03:55.983,0,15.864452781524706,15.049999999999999,14.235547218475292
EPGL,2025-05-20,15.2,15.3,15.5,15.0,476849,7.278,480,0.2,2871.465,2025-05-20 11:04:17.897,0,15.859783839093945,15.085714285714285,14.311644732334626
EPGL,2025-05-21,15.5,15.8,16.2,15.2,842267,13.151,785,0.5,2909.497,2025-05-21 11:44:28.957,0,16.03958082328953,15.175,14.310419176710472
EPGL,2025-05-22,16.2,15.7,16.4,15.6,729345,11.676,709,-0.1,3004.579,2025-05-22 11:04:49.365,0,16.112727063884858,15.233333333333333,14.353939602781805
EPGL,2025-05-24,15.6,15.4,15.9,15.2,498162,7.725,427,-0.3,2985.562,2025-05-24 11:44:32.254,0,16.090238061504,15.25,14.409761938496
EPGL,2025-05-25,15.6,16.8,16.9,15.6,1907583,31.847,1431,1.5,2928.514,2025-05-25 11:41:53.083,0,16.58925505842066,15.390909090909092,14.192563123397523
EPGL,2025-05-26,17.0,16.3,17.0,16.2,636430,10.568,635,-0.5,3194.742,2025-05-26 11:04:18.641,0,16.71921961520373,15.466666666666667,14.214113718129605
EPGL,2025-05-27,16.3,15.9,16.3,15.9,706152,11.334,616,-0.4,3099.66,2025-05-27 11:03:02.888,0,16.725372784722452,15.5,14.274627215277546
EPGL,2025-05-28,15.9,15.6,16.2,15.3,495556,7.753,382,-0.3,3023.595,2025-05-28 11:42:46.996,0,16.689064502392746,15.507142857142856,14.325221211892968
EPGL,2025-05-29,15.5,15.8,16.0,15.4,289552,4.568,360,0.2,2966.546,2025-05-29 11:42:18.420,0,16.6778206770213,15.526666666666667,14.375512656312033
EPGL,2025-06-01,15.9,15.8,16.1,15.7,189248,3.0,258,,3004.579,2025-06-01 11:05:21.742,0,16.666177614592584,15.54375,14.421322385407414
EPGL,2025-06-02,15.9,15.6,15.9,15.5,222577,3.477,383,-0.2,3004.579,2025-06-02 11:04:03.596,0,16.636295246974374,15.547058823529412,14.457822400084451
EPGL,2025-06-03,16.0,15.3,16.0,15.3,182361,2.815,289,-0.3,2966.546,2025-06-03 11:04:17.523,0,16.59791462817809,15.533333333333335,14.468752038488581
EPGL,2025-06-04,15.3,15.5,15.6,15.2,98603,1.524,201,0.2,2909.497,2025-06-04 11:04:39.452,0,16.583784081110775,15.522222222222224,14.460660363333673
