symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ESQUIRENIT,2025-05-13,20.1,20.2,21.1,20.1,88865,1.815,109,-0.1,2778854000.0,2025-05-13 16:33:18.562,0,20.2,20.2,20.2
ESQUIRENIT,2025-05-14,21.1,20.4,21.1,20.3,53902,1.099,88,0.2,2724896000.0,2025-05-14 11:51:22.112,0,20.5,20.299999999999997,20.099999999999994
ESQUIRENIT,2025-05-15,20.8,20.3,20.8,20.2,34016,0.688,66,-0.1,2751875000.0,2025-05-15 09:17:33.702,0,20.463299316185548,20.3,20.136700683814453
ESQUIRENIT,2025-05-17,20.4,20.4,20.8,20.2,253105,5.164,122,0.3,2738.385,2025-05-17 09:50:14.500,0,20.49083123951777,20.325,20.159168760482228
ESQUIRENIT,2025-05-18,21.1,20.9,21.1,20.6,88136,1.835,126,0.4,2751.875,2025-05-18 11:03:46.973,0,20.92332183894378,20.439999999999998,19.956678161056214
ESQUIRENIT,2025-05-19,21.0,22.9,22.9,21.0,1098333,24.85,712,2.0,2819.323,2025-05-19 11:01:48.533,0,22.735912687975418,20.849999999999998,18.964087312024578
ESQUIRENIT,2025-05-20,23.6,23.0,25.0,22.8,622154,14.638,525,0.1,3089.115,2025-05-20 11:02:06.438,0,23.46206217486842,21.157142857142855,18.852223539417288
ESQUIRENIT,2025-05-21,23.1,22.9,24.4,22.5,998164,23.458,942,-0.1,3102.604,2025-05-21 11:32:54.858,0,23.819892635679533,21.375,18.930107364320467
ESQUIRENIT,2025-05-22,23.4,21.7,23.5,21.4,1133185,25.138,830,-1.2,3089.115,2025-05-22 11:02:53.244,0,23.725211741679082,21.41111111111111,19.09701048054314
ESQUIRENIT,2025-05-24,21.4,21.2,22.2,20.8,463065,9.952,506,-0.5,2927.24,2025-05-24 11:35:34.653,0,23.588999772623907,21.389999999999997,19.191000227376087
ESQUIRENIT,2025-05-25,21.6,22.0,22.3,21.3,629590,13.723,541,0.8,2859.792,2025-05-25 11:33:21.428,0,23.571250458627492,21.44545454545454,19.31965863228159
ESQUIRENIT,2025-05-26,22.2,21.5,22.3,21.4,433639,9.389,423,-0.5,2967.708,2025-05-26 11:02:51.904,0,23.48551795210294,21.45,19.41448204789706
ESQUIRENIT,2025-05-27,21.4,21.1,21.7,21.0,210804,4.475,295,-0.4,2900.26,2025-05-27 11:01:47.076,0,23.38761459999322,21.423076923076923,19.458539246160626
ESQUIRENIT,2025-05-28,21.1,20.1,21.4,19.5,659885,13.202,490,-1.0,2846.302,2025-05-28 11:34:44.137,0,23.34057621616666,21.32857142857143,19.3165666409762
ESQUIRENIT,2025-05-29,20.7,20.6,20.8,19.8,158992,3.252,241,0.7,2711.406,2025-05-29 11:34:05.181,0,23.25747313508932,21.279999999999998,19.302526864910675
ESQUIRENIT,2025-06-01,20.6,20.7,21.0,20.2,382096,7.889,371,0.1,2778.854,2025-06-01 11:03:54.829,0,23.178909877116098,21.24375,19.3085901228839
ESQUIRENIT,2025-06-02,20.8,21.1,21.5,20.8,366983,7.781,369,0.4,2792.344,2025-06-02 11:02:34.511,0,23.11389331601186,21.235294117647058,19.356694919282255
ESQUIRENIT,2025-06-03,21.0,20.4,21.0,20.2,285156,5.831,239,-0.7,2846.302,2025-06-03 11:02:31.020,0,23.054232335238513,21.188888888888886,19.32354544253926
ESQUIRENIT,2025-06-04,20.4,20.6,20.7,20.3,202404,4.156,200,0.2,2751.875,2025-06-04 11:03:04.482,0,23.037934570183523,21.211111111111112,19.3842876520387
