symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ETL,2025-05-13,9.0,8.8,9.1,8.8,491557,4.359,263,-0.2,1653696000.0,2025-05-13 16:36:03.084,0,8.8,8.8,8.8
ETL,2025-05-14,8.8,8.7,8.9,8.6,637990,5.562,253,-0.1,1616947000.0,2025-05-14 11:54:35.937,0,8.850000000000001,8.75,8.649999999999999
ETL,2025-05-15,8.8,8.6,8.8,8.5,348914,3.001,221,-0.1,1598573000.0,2025-05-15 09:20:44.384,0,8.863299316185547,8.700000000000001,8.536700683814455
ETL,2025-05-17,8.8,8.8,8.9,8.4,399969,3.48,218,0.2,1580.198,2025-05-17 10:09:02.677,0,8.890831239517771,8.725,8.559168760482228
ETL,2025-05-18,9.0,8.7,9.0,8.6,381862,3.349,200,-0.1,1616.947,2025-05-18 11:07:07.918,0,8.869666295470958,8.72,8.570333704529043
ETL,2025-05-19,8.8,8.9,9.1,8.6,1293337,11.59,517,0.3,1598.573,2025-05-19 11:05:34.651,0,8.941485421551269,8.75,8.558514578448731
ETL,2025-05-20,9.0,9.0,9.2,8.9,719955,6.49,304,0.1,1635.322,2025-05-20 11:06:25.058,0,9.034794225345182,8.785714285714286,8.53663434608339
ETL,2025-05-21,9.1,8.9,9.1,8.8,679643,6.066,312,-0.1,1653.696,2025-05-21 11:56:28.317,0,9.044948974278318,8.8,8.555051025721683
ETL,2025-05-22,9.0,8.8,9.0,8.8,438732,3.883,236,-0.1,1635.322,2025-05-22 11:09:03.046,0,9.030940107675852,8.8,8.56905989232415
ETL,2025-05-24,8.8,8.8,8.9,8.7,532468,4.686,215,,1616.947,2025-05-24 11:56:29.506,0,9.019089023002067,8.8,8.580910976997934
ETL,2025-05-25,8.9,9.0,9.1,8.8,993971,8.93,390,0.2,1616.947,2025-05-25 11:55:23.423,0,9.056634128156437,8.818181818181818,8.5797295082072
ETL,2025-05-26,9.0,8.9,9.1,8.8,823314,7.376,314,-0.1,1653.696,2025-05-26 11:06:15.500,0,9.057737334062818,8.825000000000001,8.592262665937184
ETL,2025-05-27,9.0,8.8,9.1,8.7,633451,5.62,224,-0.1,1635.322,2025-05-27 11:04:48.963,0,9.047080304285554,8.823076923076924,8.599073541868293
ETL,2025-05-28,8.8,8.6,8.9,8.5,812592,7.024,306,-0.2,1616.947,2025-05-28 11:54:19.728,0,9.051674896694625,8.807142857142857,8.56261081759109
ETL,2025-05-29,8.6,8.7,8.8,8.5,414154,3.583,194,0.1,1580.198,2025-05-29 11:53:50.327,0,9.0422120283278,8.8,8.557787971672202
ETL,2025-06-01,8.7,8.7,8.9,8.7,730992,6.388,162,,1598.573,2025-06-01 11:07:24.361,0,9.03321555075835,8.79375,8.55428444924165
ETL,2025-06-02,8.8,8.8,8.9,8.7,405953,3.572,164,0.1,1598.573,2025-06-02 11:05:50.939,0,9.026451972448607,8.794117647058824,8.561783321669042
ETL,2025-06-03,8.8,8.5,8.8,8.5,491094,4.244,201,-0.3,1616.947,2025-06-03 11:06:12.701,0,9.04071465702665,8.777777777777779,8.514840898528908
ETL,2025-06-04,8.7,8.7,8.8,8.5,226630,1.961,125,0.2,1561.824,2025-06-04 11:06:35.194,0,9.037263565375033,8.77222222222222,8.507180879069407
