symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FAMILYTEX,2025-05-13,2.5,2.4,2.5,2.3,88248,0.209,33,,849985000.0,2025-05-13 16:38:42.732,0,2.4,2.4,2.4
FAMILYTEX,2025-05-14,2.4,2.3,2.4,2.3,382790,0.881,55,-0.1,849985000.0,2025-05-14 11:57:26.044,0,2.4499999999999993,2.3499999999999996,2.25
FAMILYTEX,2025-05-15,2.4,2.3,2.4,2.2,612896,1.403,121,,814569000.0,2025-05-15 09:23:47.368,0,2.4276142374915395,2.3333333333333335,2.2390524291751275
FAMILYTEX,2025-05-17,2.3,2.3,2.4,2.2,359086,0.828,100,0.1,814.569,2025-05-17 10:26:15.868,0,2.4116025403784436,2.3249999999999997,2.238397459621556
FAMILYTEX,2025-05-18,2.4,2.3,2.4,2.3,231211,0.534,51,0.1,814.569,2025-05-18 11:10:16.827,0,2.3999999999999995,2.32,2.24
FAMILYTEX,2025-05-19,2.4,2.3,2.4,2.3,124689,0.287,28,0.1,814.569,2025-05-19 11:08:47.511,0,2.391202265916659,2.3166666666666664,2.2421310674166737
FAMILYTEX,2025-05-20,2.4,2.3,2.4,2.3,96274,0.222,41,,814.569,2025-05-20 11:09:36.283,0,2.3842711355080906,2.314285714285714,2.2443002930633376
FAMILYTEX,2025-05-21,2.4,2.3,2.4,2.3,72976,0.168,25,,814.569,2025-05-21 12:13:58.689,0,2.3786437827766145,2.3125,2.2463562172233855
FAMILYTEX,2025-05-22,2.4,2.3,2.4,2.3,104907,0.242,47,0.1,814.569,2025-05-22 11:12:00.617,0,2.373965047216582,2.311111111111111,2.24825717500564
FAMILYTEX,2025-05-24,2.4,2.2,2.4,2.2,188844,0.417,37,-0.1,814.569,2025-05-24 12:14:09.578,0,2.389442719099991,2.3,2.2105572809000087
FAMILYTEX,2025-05-25,2.3,2.2,2.3,2.2,62275,0.137,34,,779.153,2025-05-25 12:12:26.792,0,2.3937609863544065,2.290909090909091,2.1880571954637755
FAMILYTEX,2025-05-26,2.3,2.3,2.3,2.2,281755,0.627,61,0.1,779.153,2025-05-26 11:09:30.744,0,2.3902679963849933,2.2916666666666665,2.1930653369483397
FAMILYTEX,2025-05-27,2.3,2.2,2.3,2.2,343568,0.76,111,,814.569,2025-05-27 11:07:51.442,0,2.3912031266196228,2.2846153846153845,2.1780276426111462
FAMILYTEX,2025-05-28,2.3,2.3,2.4,2.2,1180968,2.719,124,0.1,779.153,2025-05-28 12:11:32.406,0,2.388730036441828,2.2857142857142856,2.182698534986743
FAMILYTEX,2025-05-29,2.3,2.3,2.3,2.2,73455,0.166,27,,814.569,2025-05-29 12:10:51.441,0,2.386444196980638,2.2866666666666666,2.186889136352695
FAMILYTEX,2025-06-01,2.3,2.3,2.4,2.3,339130,0.78,62,,814.569,2025-06-01 11:10:30.170,0,2.384324583655185,2.2875,2.190675416344815
FAMILYTEX,2025-06-02,2.4,2.3,2.4,2.3,412689,0.95,64,,814.569,2025-06-02 11:08:42.553,0,2.38235294117647,2.288235294117647,2.1941176470588237
FAMILYTEX,2025-06-03,2.4,2.3,2.4,2.3,300183,0.691,47,,814.569,2025-06-03 11:09:23.172,0,2.3805134583470586,2.2888888888888888,2.197264319430719
FAMILYTEX,2025-06-04,2.3,2.3,2.4,2.2,101626,0.234,40,,814.569,2025-06-04 11:09:41.419,0,2.357868932583326,2.283333333333333,2.2087977340833405
