symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FASFIN,2025-05-13,3.5,3.5,3.5,3.5,43152,0.151,19,-0.1,536679000.0,2025-05-13 16:38:18.864,0,3.5,3.5,3.5
FASFIN,2025-05-14,3.6,3.4,3.6,3.3,33794,0.114,26,-0.2,521770999.99999994,2025-05-14 11:57:04.034,0,3.5500000000000007,3.45,3.3499999999999996
FASFIN,2025-05-15,3.6,3.4,3.6,3.3,140067,0.471,44,,506863000.0,2025-05-15 09:23:21.147,0,3.5276142374915405,3.4333333333333336,3.3390524291751267
FASFIN,2025-05-17,3.5,3.4,3.5,3.3,33188,0.112,18,0.1,506.863,2025-05-17 10:23:29.826,0,3.511602540378444,3.425,3.3383974596215555
FASFIN,2025-05-18,3.5,3.6,3.7,3.5,512650,1.837,102,0.1,506.863,2025-05-18 11:09:52.440,0,3.62,3.46,3.3
FASFIN,2025-05-19,3.6,3.6,3.6,3.4,108573,0.386,44,,536.679,2025-05-19 11:08:12.104,0,3.662838826904483,3.483333333333333,3.303827839762183
FASFIN,2025-05-20,3.7,3.5,3.7,3.4,42963,0.15,29,,536.679,2025-05-20 11:08:45.145,0,3.6523129112812938,3.4857142857142853,3.319115660147277
FASFIN,2025-05-21,3.6,3.5,3.6,3.5,25259,0.089,24,,521.771,2025-05-21 12:11:31.818,0,3.6436249499599596,3.4875,3.33137505004004
FASFIN,2025-05-22,3.7,3.5,3.7,3.5,11018,0.039,14,0.1,521.771,2025-05-22 11:11:38.670,0,3.6362944351269064,3.488888888888889,3.3414833426508714
FASFIN,2025-05-24,3.7,3.4,3.7,3.4,52482,0.18,20,0.1,521.771,2025-05-24 12:09:46.123,0,3.629666295470957,3.4799999999999995,3.330333704529042
FASFIN,2025-05-25,3.6,3.4,3.6,3.4,23685,0.081,13,0.1,506.863,2025-05-25 12:08:54.138,0,3.622658386386097,3.472727272727273,3.3227961590684494
FASFIN,2025-05-26,3.6,3.4,3.6,3.4,112375,0.382,27,0.1,506.863,2025-05-26 11:08:52.894,0,3.6157378651666527,3.466666666666667,3.317595468166681
FASFIN,2025-05-27,3.5,3.4,3.6,3.4,42036,0.144,27,,506.863,2025-05-27 11:07:29.562,0,3.609102508409622,3.4615384615384617,3.3139744146673014
FASFIN,2025-05-28,3.4,3.1,3.4,3.1,609857,1.91,142,-0.3,506.863,2025-05-28 12:09:56.512,0,3.670017420955096,3.435714285714286,3.2014111504734757
FASFIN,2025-05-29,3.1,3.1,3.2,3.0,129727,0.395,40,0.1,462.14,2025-05-29 12:08:58.470,0,3.694916161092572,3.4133333333333336,3.1317505055740953
FASFIN,2025-06-01,3.2,3.1,3.2,3.0,9720,0.03,11,0.1,462.14,2025-06-01 11:10:06.591,0,3.705749599358717,3.39375,3.081750400641283
FASFIN,2025-06-02,3.2,3.1,3.2,3.1,1432,0.004,11,0.1,462.14,2025-06-02 11:08:22.243,0,3.7092267205583753,3.376470588235294,3.043714455912213
FASFIN,2025-06-03,3.2,3.2,3.3,3.2,106420,0.341,28,0.1,462.14,2025-06-03 11:09:03.063,0,3.7,3.3666666666666667,3.033333333333333
FASFIN,2025-06-04,3.3,3.3,3.4,3.2,34487,0.113,24,0.2,477.048,2025-06-04 11:09:15.991,0,3.6836627346718536,3.3555555555555556,3.0274483764392577
