symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FEDERALINS,2025-05-13,18.5,17.8,18.5,17.4,81848,1.464,153,-0.2,1285818000.0,2025-05-13 16:33:57.801,0,17.8,17.8,17.8
FEDERALINS,2025-05-14,17.8,17.3,17.9,17.1,79559,1.381,143,-0.5,1264506000.0,2025-05-14 11:52:20.186,0,18.05,17.55,17.05
FEDERALINS,2025-05-15,17.7,17.2,17.7,17.1,18556,0.319,56,-0.1,1228986000.0,2025-05-15 09:18:17.214,0,17.95826719160079,17.433333333333334,16.908399475065877
FEDERALINS,2025-05-17,17.4,17.3,17.4,17.1,117350,2.025,139,0.1,1221.882,2025-05-17 09:55:07.271,0,17.86904157598234,17.4,16.930958424017657
FEDERALINS,2025-05-18,17.3,17.6,17.8,17.3,118910,2.09,171,0.3,1228.986,2025-05-18 11:04:45.067,0,17.888998886412875,17.44,16.991001113587128
FEDERALINS,2025-05-19,17.4,17.4,17.7,17.4,38861,0.682,88,-0.1,1250.298,2025-05-19 11:03:13.619,0,17.8442942668646,17.433333333333334,17.022372399802066
FEDERALINS,2025-05-20,17.4,17.4,17.7,17.3,29056,0.506,50,,1236.09,2025-05-20 11:03:51.753,0,17.80976183040361,17.428571428571427,17.047381026739245
FEDERALINS,2025-05-21,17.6,17.5,17.6,17.4,9562,0.167,32,0.1,1236.09,2025-05-21 11:42:05.465,0,17.797187364248455,17.4375,17.077812635751545
FEDERALINS,2025-05-22,17.4,17.4,17.6,17.4,29731,0.519,73,-0.1,1243.194,2025-05-22 11:04:14.638,0,17.773267967572853,17.433333333333334,17.093398699093814
FEDERALINS,2025-05-24,17.4,17.3,17.5,17.2,11855,0.205,31,-0.1,1236.09,2025-05-24 11:42:26.992,0,17.752264954516722,17.419999999999998,17.087735045483274
FEDERALINS,2025-05-25,17.8,17.3,17.8,17.2,32355,0.559,40,,1228.986,2025-05-25 11:41:26.869,0,17.733319172729583,17.40909090909091,17.084862645452237
FEDERALINS,2025-05-26,17.2,17.4,17.5,17.2,24551,0.426,60,-0.1,1228.986,2025-05-26 11:04:04.798,0,17.71879893350329,17.408333333333335,17.09786773316338
FEDERALINS,2025-05-27,17.3,17.2,17.5,17.2,40648,0.703,40,-0.2,1236.09,2025-05-27 11:02:45.342,0,17.710587090239652,17.392307692307693,17.074028294375733
FEDERALINS,2025-05-28,17.2,17.2,17.3,17.0,51094,0.873,75,,1221.882,2025-05-28 11:39:36.842,0,17.7008718335051,17.37857142857143,17.05627102363776
FEDERALINS,2025-05-29,16.9,16.8,17.2,16.8,44864,0.76,96,-0.4,1221.882,2025-05-29 11:40:41.658,0,17.764578222082417,17.34,16.915421777917583
FEDERALINS,2025-06-01,16.1,17.6,17.7,16.1,235438,4.114,309,0.8,1193.466,2025-06-01 11:04:43.824,0,17.786184588047995,17.35625,16.926315411952004
FEDERALINS,2025-06-02,17.7,18.0,18.2,17.5,175547,3.154,212,0.4,1250.298,2025-06-02 11:03:21.902,0,17.9096212305931,17.394117647058824,16.878614063524548
FEDERALINS,2025-06-03,17.9,17.5,17.9,17.5,36956,0.65,45,-0.5,1278.714,2025-06-03 11:03:29.019,0,17.903322295684717,17.4,16.89667770431528
FEDERALINS,2025-06-04,17.5,17.9,17.9,17.5,19534,0.348,40,0.4,1243.194,2025-06-04 11:04:01.793,0,17.928250377170624,17.405555555555555,16.882860733940486
