symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FINEFOODS,2025-05-13,201.0,205.2,206.5,201.0,228436,46.574,1395,2.3,2835308000.0,2025-05-13 16:27:44.390,0,205.2,205.2,205.2
FINEFOODS,2025-05-14,207.7,210.6,211.3,205.3,343084,71.902,1923,5.4,2867448000.0,2025-05-14 11:45:51.441,0,213.3,207.89999999999998,202.49999999999994
FINEFOODS,2025-05-15,211.0,211.0,213.8,208.5,223041,46.996,1423,0.4,2942907000.0,2025-05-15 09:11:36.699,0,214.22315584663397,208.9333333333333,203.64351082003265
FINEFOODS,2025-05-17,210.9,210.6,212.4,208.2,387875,81.447,1520,-0.4,2948.497,2025-05-17 09:13:41.228,0,214.15312398340916,209.35,204.54687601659083
FINEFOODS,2025-05-18,210.0,212.2,213.5,209.0,130673,27.652,1080,1.6,2942.907,2025-05-18 10:56:48.989,0,214.78357892914264,209.92,205.05642107085734
FINEFOODS,2025-05-19,212.2,212.0,212.9,210.0,197203,41.791,1173,-0.2,2965.265,2025-05-19 10:56:30.386,0,214.96938455694627,210.26666666666665,205.56394877638704
FINEFOODS,2025-05-20,210.0,212.5,213.0,209.5,139446,29.489,700,0.5,2962.471,2025-05-20 10:56:23.576,0,215.2116394551771,210.58571428571426,205.95978911625141
FINEFOODS,2025-05-21,211.6,215.5,217.0,211.6,191773,41.137,1058,3.0,2969.458,2025-05-21 10:59:54.414,0,216.61202365109395,211.2,205.78797634890603
FINEFOODS,2025-05-22,215.0,215.3,216.3,211.0,160071,34.319,826,-0.2,3011.379,2025-05-22 10:56:22.003,0,217.37189557429807,211.65555555555557,205.93921553681307
FINEFOODS,2025-05-24,213.1,215.4,217.0,213.1,119498,25.762,714,0.1,3008.585,2025-05-24 10:59:21.591,0,217.89995741040775,212.03000000000003,206.1600425895923
FINEFOODS,2025-05-25,215.9,215.4,216.8,214.8,147001,31.677,963,,3009.982,2025-05-25 10:59:55.304,0,218.25906125716435,212.33636363636361,206.41366601556288
FINEFOODS,2025-05-26,215.1,215.7,216.6,212.3,191699,41.205,1062,0.3,3009.982,2025-05-26 10:57:06.169,0,218.58426435939217,212.61666666666667,206.64906897394118
FINEFOODS,2025-05-27,215.1,216.0,216.4,213.7,207744,44.739,1120,0.3,3014.174,2025-05-27 10:56:12.742,0,218.8872494963981,212.87692307692308,206.86659665744804
FINEFOODS,2025-05-28,217.2,216.2,220.0,214.5,181842,39.36,1022,0.2,3018.366,2025-05-28 10:59:20.873,0,219.15361261285275,213.1142857142857,207.07495881571865
FINEFOODS,2025-05-29,215.4,217.1,217.4,215.0,179937,39.006,937,0.9,3021.161,2025-05-29 10:59:40.477,0,219.54406792088906,213.38,207.21593207911093
FINEFOODS,2025-06-01,217.2,217.5,218.0,215.5,219009,47.45,1129,0.4,3033.738,2025-06-01 10:56:44.861,0,219.93030342931513,213.6375,207.34469657068485
FINEFOODS,2025-06-02,218.0,222.5,224.7,217.8,264929,58.651,1648,5.0,3039.327,2025-06-02 10:56:23.053,0,221.55232109337797,214.15882352941176,206.76532596544556
FINEFOODS,2025-06-03,222.8,227.0,228.0,222.8,457454,103.49,2465,4.5,3109.197,2025-06-03 10:56:24.854,0,224.15848580657223,214.8722222222222,205.58595863787218
FINEFOODS,2025-06-04,224.5,227.6,228.4,223.4,465221,105.815,2116,0.6,3172.079,2025-06-04 10:56:55.355,0,225.87627731463826,216.11666666666667,206.3570560186951
