symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FIRSTFIN,2025-05-13,3.4,3.4,3.5,3.4,14002,0.048,8,,403052000.0,2025-05-13 16:38:26.067,0,3.4,3.4,3.4
FIRSTFIN,2025-05-14,3.4,3.4,3.5,3.3,16107,0.055,9,0.1,403052000.0,2025-05-14 11:56:53.186,0,3.4,3.4,3.4
FIRSTFIN,2025-05-15,3.5,3.4,3.5,3.4,6025,0.02,4,,403052000.0,2025-05-15 09:23:16.896,0,3.4,3.4,3.4
FIRSTFIN,2025-05-17,3.4,3.4,3.4,3.4,25000,0.085,11,,403.052,2025-05-17 10:23:56.337,0,3.4,3.4,3.4
FIRSTFIN,2025-05-18,3.6,3.5,3.7,3.4,112008,0.395,64,,403.052,2025-05-18 11:09:59.097,0,3.5000000000000004,3.4200000000000004,3.3400000000000003
FIRSTFIN,2025-05-19,3.5,3.7,3.7,3.5,76816,0.283,31,0.2,414.906,2025-05-19 11:08:09.565,0,3.6877749860236935,3.466666666666667,3.24555834730964
FIRSTFIN,2025-05-20,3.8,3.8,3.8,3.5,34651,0.127,32,0.1,438.615,2025-05-20 11:08:39.648,0,3.824650871177149,3.5142857142857147,3.20392055739428
FIRSTFIN,2025-05-21,3.8,4.0,4.1,3.8,295466,1.187,154,0.2,450.47,2025-05-21 12:08:52.172,0,4.00801270189222,3.575,3.141987298107781
FIRSTFIN,2025-05-22,4.1,4.0,4.1,4.0,157741,0.634,76,,474.179,2025-05-22 11:11:20.156,0,4.11009996444667,3.6222222222222222,3.1343444799977744
FIRSTFIN,2025-05-24,4.1,4.0,4.2,4.0,283056,1.152,169,,474.179,2025-05-24 12:08:57.038,0,4.1753639490690055,3.66,3.144636050930995
FIRSTFIN,2025-05-25,4.2,3.9,4.2,3.9,12460,0.049,14,,474.179,2025-05-25 12:07:20.107,0,4.192206139913389,3.6818181818181817,3.1714302237229743
FIRSTFIN,2025-05-26,4.0,3.8,4.0,3.7,47010,0.178,19,-0.1,462.324,2025-05-26 11:08:36.728,0,4.184673315258301,3.6916666666666664,3.198660018075032
FIRSTFIN,2025-05-27,3.9,3.9,4.0,3.7,89796,0.342,66,0.1,450.47,2025-05-27 11:07:03.943,0,4.194196563102827,3.707692307692308,3.2211880522817884
FIRSTFIN,2025-05-28,3.8,3.7,3.8,3.6,63910,0.235,13,-0.3,462.324,2025-05-28 12:07:56.814,0,4.175966830897769,3.707142857142857,3.2383188833879446
FIRSTFIN,2025-05-29,3.5,3.5,3.6,3.4,53160,0.184,31,-0.3,438.615,2025-05-29 12:08:14.345,0,4.157900037071583,3.6933333333333334,3.2287666295950843
FIRSTFIN,2025-06-01,3.8,3.5,3.8,3.4,3219,0.011,23,-0.1,414.906,2025-06-01 11:09:57.972,0,4.140699398737228,3.68125,3.2218006012627725
FIRSTFIN,2025-06-02,3.8,3.2,3.8,3.2,117246,0.378,52,-0.3,414.906,2025-06-02 11:08:25.611,0,4.152906573197077,3.652941176470588,3.1529757797440996
FIRSTFIN,2025-06-03,3.2,3.2,3.2,3.2,5848,0.019,8,,379.343,2025-06-03 11:09:06.637,0,4.1561108190208325,3.6277777777777778,3.099444736534723
FIRSTFIN,2025-06-04,3.3,3.3,3.4,3.2,57141,0.188,13,0.2,379.343,2025-06-04 11:09:07.337,0,4.161998124510716,3.6222222222222222,3.0824463199337284
