symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FIRSTSBANK,2025-05-13,4.4,4.2,4.5,4.2,1307291,5.608,208,-0.2,5315813000.0,2025-05-13 16:37:51.641,0,4.2,4.2,4.2
FIRSTSBANK,2025-05-14,4.2,4.1,4.3,4.0,1114733,4.581,144,-0.1,5074185000.0,2025-05-14 11:56:39.046,0,4.250000000000002,4.15,4.049999999999999
FIRSTSBANK,2025-05-15,4.1,3.9,4.1,3.9,1807651,7.203,265,-0.2,4953371000.0,2025-05-15 09:22:57.309,0,4.316110492451596,4.066666666666666,3.817222840881737
FIRSTSBANK,2025-05-17,3.9,4.0,4.1,3.8,521377,2.073,109,0.1,4711.744,2025-05-17 10:21:30.605,0,4.273606797749979,4.05,3.8263932022500207
FIRSTSBANK,2025-05-18,4.1,3.9,4.1,3.9,768731,3.05,216,-0.1,4832.558,2025-05-18 11:09:26.438,0,4.253238075793812,4.02,3.7867619242061874
FIRSTSBANK,2025-05-19,3.9,3.9,4.0,3.8,669961,2.611,126,,4711.744,2025-05-19 11:07:53.585,0,4.23094010767585,4.0,3.7690598923241496
FIRSTSBANK,2025-05-20,3.9,3.9,4.0,3.9,65245,0.255,42,0.1,4711.744,2025-05-20 11:08:38.234,0,4.21068593925748,3.9857142857142853,3.7607426321710906
FIRSTSBANK,2025-05-21,4.0,4.0,4.0,3.9,315338,1.237,69,0.1,4711.744,2025-05-21 12:08:50.538,0,4.198153744329408,3.9875,3.776846255670591
FIRSTSBANK,2025-05-22,4.0,3.9,4.0,3.9,66573,0.261,61,,4832.558,2025-05-22 11:11:18.762,0,4.183858188788793,3.9777777777777774,3.771697366766762
FIRSTSBANK,2025-05-24,3.9,3.9,4.0,3.9,536535,2.093,84,,4711.744,2025-05-24 12:08:58.685,0,4.170997512422417,3.9699999999999998,3.7690024875775823
FIRSTSBANK,2025-05-25,3.9,3.9,4.0,3.8,221002,0.858,80,,4711.744,2025-05-25 12:07:43.738,0,4.159460538441254,3.963636363636364,3.767812188831473
FIRSTSBANK,2025-05-26,3.9,3.8,3.9,3.7,666170,2.532,229,-0.1,4711.744,2025-05-26 11:08:31.915,0,4.158166599946613,3.9499999999999997,3.7418334000533866
FIRSTSBANK,2025-05-27,3.8,4.1,4.1,3.5,2947897,11.474,334,0.3,4590.93,2025-05-27 11:06:55.023,0,4.176923076923077,3.9615384615384617,3.7461538461538466
FIRSTSBANK,2025-05-28,4.5,4.0,4.5,3.9,4232653,17.945,728,-0.1,4953.371,2025-05-28 12:06:23.196,0,4.172778850276091,3.9642857142857144,3.755792578295337
FIRSTSBANK,2025-05-29,4.0,3.8,4.0,3.7,2126831,8.128,409,-0.2,4832.558,2025-05-29 12:06:20.994,0,4.170793419070668,3.953333333333333,3.7358732475959986
FIRSTSBANK,2025-06-01,3.8,3.7,3.8,3.6,1256993,4.645,291,-0.1,4590.93,2025-06-01 11:09:35.158,0,4.181169858620224,3.9375,3.693830141379776
FIRSTSBANK,2025-06-02,3.8,3.9,4.0,3.8,2084185,8.118,337,0.2,4470.116,2025-06-02 11:07:48.678,0,4.172346372701292,3.935294117647058,3.698241862592824
FIRSTSBANK,2025-06-03,3.9,3.9,4.1,3.8,1089230,4.301,255,,4711.744,2025-06-03 11:08:29.312,0,4.1642734410091835,3.933333333333333,3.7023932256574827
FIRSTSBANK,2025-06-04,3.9,4.0,4.0,3.8,941703,3.691,186,0.1,4711.744,2025-06-04 11:08:46.637,0,4.117221430830935,3.922222222222222,3.7272230136135085
