symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FORTUNE,2025-05-13,15.2,14.9,15.3,14.8,116274,1.747,178,-0.3,2594066000.0,2025-05-13 16:34:34.191,0,14.9,14.9,14.9
FORTUNE,2025-05-14,15.0,14.8,15.1,14.7,209585,3.107,201,-0.1,2542868000.0,2025-05-14 11:52:46.646,0,14.950000000000003,14.850000000000001,14.75
FORTUNE,2025-05-15,15.0,14.3,15.0,14.1,125768,1.811,211,-0.4,2525801000.0,2025-05-15 09:19:02.514,0,15.19160052493412,14.666666666666666,14.141732808399212
FORTUNE,2025-05-17,14.8,14.5,14.8,14.0,91028,1.313,157,0.2,2440.47,2025-05-17 09:58:56.474,0,15.101969600708474,14.625,14.148030399291526
FORTUNE,2025-05-18,14.7,14.5,15.0,14.4,92915,1.366,149,,2474.603,2025-05-18 11:05:34.890,0,15.038178046004132,14.6,14.161821953995867
FORTUNE,2025-05-19,14.7,14.5,14.7,14.3,82958,1.198,157,,2474.603,2025-05-19 11:04:01.305,0,14.990218520524458,14.583333333333334,14.17644814614221
FORTUNE,2025-05-20,14.8,14.6,14.9,14.5,201213,2.946,183,0.3,2474.603,2025-05-20 11:04:31.760,0,14.962597313093513,14.585714285714285,14.208831258335058
FORTUNE,2025-05-21,14.9,14.6,14.9,14.5,104158,1.532,156,0.1,2491.669,2025-05-21 11:46:26.062,0,14.940168399491649,14.5875,14.234831600508352
FORTUNE,2025-05-22,14.8,14.6,14.9,14.5,143381,2.106,186,,2491.669,2025-05-22 11:07:07.834,0,14.92148065660213,14.58888888888889,14.25629712117565
FORTUNE,2025-05-24,14.8,14.4,14.8,14.3,132174,1.911,190,-0.2,2491.669,2025-05-24 11:46:29.652,0,14.905261092284803,14.569999999999999,14.234738907715194
FORTUNE,2025-05-25,14.7,14.2,14.7,14.1,122787,1.759,200,-0.2,2457.537,2025-05-25 11:45:40.660,0,14.92034021967169,14.536363636363637,14.152387053055584
FORTUNE,2025-05-26,14.5,15.0,15.3,14.4,506434,7.574,532,0.8,2423.404,2025-05-26 11:04:32.861,0,15.023144321991627,14.575000000000001,14.126855678008376
FORTUNE,2025-05-27,15.1,14.7,15.3,14.6,236668,3.544,355,-0.3,2559.934,2025-05-27 11:03:14.350,0,15.020301607954039,14.584615384615384,14.14892916127673
FORTUNE,2025-05-28,14.8,14.7,15.1,14.5,198992,2.937,177,,2508.735,2025-05-28 11:44:22.183,0,15.016880630847309,14.592857142857143,14.168833654866978
FORTUNE,2025-05-29,14.9,14.9,15.1,14.7,63285,0.943,117,0.1,2508.735,2025-05-29 11:43:24.552,0,15.050699185782847,14.613333333333333,14.17596748088382
FORTUNE,2025-06-01,14.9,14.8,15.1,14.8,59607,0.886,75,-0.1,2542.868,2025-06-01 11:05:33.564,0,15.058012701892219,14.625,14.191987298107781
FORTUNE,2025-06-02,15.0,14.8,15.1,14.8,110621,1.642,119,,2525.801,2025-06-02 11:04:18.700,0,15.06337424467436,14.63529411764706,14.20721399061976
FORTUNE,2025-06-03,14.8,14.7,15.1,14.6,52698,0.777,68,-0.2,2525.801,2025-06-03 11:04:32.855,0,15.055962763980522,14.63888888888889,14.221815013797256
FORTUNE,2025-06-04,14.8,15.0,15.0,14.8,117834,1.758,90,0.3,2508.735,2025-06-04 11:04:47.201,0,15.077635304213732,14.644444444444446,14.211253584675159
