symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GBBPOWER,2025-05-13,8.3,7.9,8.3,7.8,329556,2.652,126,-0.4,844969000.0,2025-05-13 16:36:28.094,0,7.9,7.9,7.9
GBBPOWER,2025-05-14,8.0,7.7,8.0,7.6,155227,1.205,107,-0.2,804248000.0,2025-05-14 11:55:01.214,0,8.000000000000002,7.800000000000001,7.6
GBBPOWER,2025-05-15,7.9,7.4,7.9,7.3,202415,1.52,141,-0.3,783887000.0,2025-05-15 09:21:17.609,0,8.077627600197932,7.666666666666667,7.255705733135401
GBBPOWER,2025-05-17,7.5,7.8,7.8,7.4,57592,0.442,52,0.4,753.346,2025-05-17 10:11:42.183,0,8.074165738677394,7.7,7.325834261322606
GBBPOWER,2025-05-18,7.8,7.6,7.9,7.5,74001,0.564,91,-0.2,794.068,2025-05-18 11:07:36.814,0,8.024093010681705,7.68,7.335906989318294
GBBPOWER,2025-05-19,7.9,7.4,7.9,7.3,99661,0.743,86,-0.2,773.707,2025-05-19 11:06:10.034,0,8.010456949966159,7.633333333333333,7.256209716700508
GBBPOWER,2025-05-20,7.4,7.5,7.6,7.4,117405,0.878,80,0.1,753.346,2025-05-20 11:06:57.730,0,7.975688875447815,7.614285714285714,7.252882553123613
GBBPOWER,2025-05-21,7.7,7.4,7.7,7.4,71991,0.536,61,-0.1,763.527,2025-05-21 11:59:42.662,0,7.95407195746538,7.5875,7.220928042534621
GBBPOWER,2025-05-22,7.5,7.4,7.5,7.4,29103,0.216,36,,753.346,2025-05-22 11:09:45.301,0,7.931815038336777,7.566666666666666,7.201518294996556
GBBPOWER,2025-05-24,7.3,7.4,7.6,7.3,54172,0.4,43,,753.346,2025-05-24 12:00:04.315,0,7.910555127546398,7.55,7.189444872453602
GBBPOWER,2025-05-25,7.5,7.4,7.7,7.4,180029,1.36,100,0.2,753.346,2025-05-25 11:58:04.693,0,7.890792521629417,7.536363636363637,7.181934751097857
GBBPOWER,2025-05-26,7.6,7.4,7.6,7.3,48968,0.363,61,,753.346,2025-05-26 11:06:44.104,0,7.872610893576902,7.5249999999999995,7.177389106423097
GBBPOWER,2025-05-27,7.4,7.4,7.5,7.3,54365,0.403,33,,753.346,2025-05-27 11:05:13.091,0,7.855937594171978,7.515384615384615,7.174831636597252
GBBPOWER,2025-05-28,7.5,7.1,7.6,7.0,254681,1.823,127,-0.3,753.346,2025-05-28 11:57:10.836,0,7.877465977165773,7.485714285714286,7.093962594262798
GBBPOWER,2025-05-29,7.3,7.2,7.3,7.0,46540,0.334,62,0.1,722.805,2025-05-29 11:56:24.206,0,7.871086690349416,7.466666666666667,7.062246642983918
GBBPOWER,2025-06-01,7.3,7.1,7.4,7.1,76208,0.543,31,-0.1,732.986,2025-06-01 11:07:52.997,0,7.873684588047996,7.4437500000000005,7.013815411952005
GBBPOWER,2025-06-02,7.1,7.1,7.3,7.0,70989,0.503,37,,722.805,2025-06-02 11:06:11.415,0,7.870897725690154,7.423529411764706,6.976161097839259
GBBPOWER,2025-06-03,7.2,7.0,7.2,7.0,71368,0.504,57,-0.1,722.805,2025-06-03 11:06:45.572,0,7.876095228569523,7.3999999999999995,6.923904771430476
GBBPOWER,2025-06-04,7.3,7.1,7.3,7.0,9409,0.067,25,0.1,712.625,2025-06-04 11:07:01.865,0,7.783585784094627,7.355555555555556,6.927525327016485
