symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GEMINISEA,2025-05-13,118.8,113.6,118.8,113.0,27718,3.209,362,-3.7,1347240000.0,2025-05-13 16:28:28.378,0,113.6,113.6,113.6
GEMINISEA,2025-05-14,116.0,109.9,116.0,109.6,22499,2.513,293,-3.4,1304743000.0,2025-05-14 11:46:33.960,0,115.44999999999999,111.75,108.05000000000001
GEMINISEA,2025-05-15,113.4,105.5,113.4,105.0,22672,2.444,386,-3.9,1262247000.0,2025-05-15 09:12:39.216,0,116.28851602231414,109.66666666666667,103.0448173110192
GEMINISEA,2025-05-17,109.9,107.1,109.9,105.0,23765,2.553,316,1.6,1211.712,2025-05-17 09:19:25.901,0,115.17540649063133,109.025,102.87459350936868
GEMINISEA,2025-05-18,109.8,107.9,111.5,107.5,25321,2.763,302,0.8,1230.088,2025-05-18 10:57:40.764,0,114.37422640372635,108.8,103.22577359627364
GEMINISEA,2025-05-19,107.9,107.2,108.7,105.2,37474,4.007,435,-0.7,1239.277,2025-05-19 10:57:37.163,0,113.75976189933859,108.53333333333335,103.3069047673281
GEMINISEA,2025-05-20,107.2,108.4,109.6,106.5,14758,1.589,229,1.2,1231.237,2025-05-20 10:57:12.314,0,113.35391801605479,108.51428571428572,103.67465341251665
GEMINISEA,2025-05-21,109.5,112.1,114.9,108.8,50412,5.626,676,3.7,1245.019,2025-05-21 11:05:22.428,0,114.07321178995647,108.9625,103.85178821004354
GEMINISEA,2025-05-22,112.2,112.2,115.0,112.0,28455,3.23,371,0.1,1287.515,2025-05-22 10:57:30.308,0,114.5527121315288,109.32222222222222,104.09173231291564
GEMINISEA,2025-05-24,110.5,112.3,116.8,110.5,38259,4.338,429,0.1,1288.664,2025-05-24 11:04:55.230,0,114.89393591163184,109.62,104.34606408836817
GEMINISEA,2025-05-25,112.4,108.9,112.5,108.3,31628,3.488,394,-3.5,1289.812,2025-05-25 11:05:49.986,0,114.60005732973161,109.55454545454545,104.50903357935928
GEMINISEA,2025-05-26,109.2,108.8,112.0,108.1,19983,2.189,291,-0.1,1250.762,2025-05-26 10:58:08.389,0,114.34034919104607,109.49166666666667,104.64298414228728
GEMINISEA,2025-05-27,111.0,108.0,111.5,107.7,22114,2.396,257,-0.8,1249.613,2025-05-27 10:57:11.295,0,114.10273035588291,109.37692307692308,104.65111579796324
GEMINISEA,2025-05-28,108.3,104.1,108.3,103.0,32086,3.382,336,-4.9,1240.425,2025-05-28 11:05:10.689,0,114.30336820197451,109.0,103.69663179802549
GEMINISEA,2025-05-29,108.0,107.2,109.0,102.1,32390,3.438,391,3.1,1195.632,2025-05-29 11:05:10.690,0,114.08164076678376,108.88000000000001,103.67835923321626
GEMINISEA,2025-06-01,108.5,105.9,109.1,105.3,20856,2.237,319,-1.3,1231.237,2025-06-01 10:57:50.650,0,113.93277125878488,108.69375,103.4547287412151
GEMINISEA,2025-06-02,107.8,108.4,109.0,106.0,30222,3.26,326,2.5,1216.306,2025-06-02 10:57:29.075,0,113.76094726869974,108.67647058823529,103.59199390777084
GEMINISEA,2025-06-03,108.5,112.9,115.0,108.5,84497,9.562,924,4.5,1245.019,2025-06-03 10:57:19.024,0,114.21766424594728,108.91111111111111,103.60455797627495
GEMINISEA,2025-06-04,115.0,111.9,115.0,111.5,18647,2.1,254,-1.0,1296.704,2025-06-04 10:57:52.372,0,113.83895034377346,108.81666666666666,103.79438298955986
