symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GENEXIL,2025-05-13,21.2,20.5,21.4,20.5,218907,4.554,314,-0.7,2553540000.0,2025-05-13 16:33:15.303,0,20.5,20.5,20.5
GENEXIL,2025-05-14,20.3,20.5,21.0,20.3,94889,1.948,156,,2469225000.0,2025-05-14 11:51:19.048,0,20.5,20.5,20.5
GENEXIL,2025-05-15,20.8,20.3,21.0,20.1,278394,5.685,267,-0.2,2469225000.0,2025-05-15 09:17:32.329,0,20.621895141649745,20.433333333333334,20.244771525016922
GENEXIL,2025-05-17,20.8,20.6,20.8,19.8,65761,1.339,150,0.3,2445.135,2025-05-17 09:49:53.224,0,20.692944947177036,20.475,20.257055052822967
GENEXIL,2025-05-18,20.7,20.3,21.0,20.2,104472,2.145,176,-0.3,2481.27,2025-05-18 11:03:49.753,0,20.680000000000003,20.44,20.2
GENEXIL,2025-05-19,20.0,20.4,20.9,20.0,144495,2.971,157,0.1,2445.135,2025-05-19 11:02:31.025,0,20.65444165269036,20.433333333333334,20.212225013976308
GENEXIL,2025-05-20,20.8,20.9,21.2,20.4,177180,3.671,175,0.8,2457.18,2025-05-20 11:02:43.392,0,20.885449644663773,20.5,20.114550355336227
GENEXIL,2025-05-21,20.9,20.9,21.2,20.7,138605,2.895,170,,2517.405,2025-05-21 11:36:22.410,0,20.997213595499957,20.55,20.102786404500044
GENEXIL,2025-05-22,21.0,21.5,22.3,21.0,484998,10.537,564,0.6,2517.405,2025-05-22 11:02:54.813,0,21.38652818681771,20.655555555555555,19.9245829242934
GENEXIL,2025-05-24,21.5,20.9,21.8,20.8,158990,3.364,231,-0.5,2589.675,2025-05-24 11:35:57.660,0,21.388801805866773,20.68,19.971198194133226
GENEXIL,2025-05-25,20.7,20.9,21.3,20.7,158076,3.312,182,,2517.405,2025-05-25 11:35:17.669,0,21.38755165095233,20.7,20.01244834904767
GENEXIL,2025-05-26,20.7,20.9,21.3,20.7,139920,2.932,230,,2517.405,2025-05-26 11:02:57.899,0,21.384166146483356,20.716666666666665,20.049167186849974
GENEXIL,2025-05-27,20.8,20.7,21.3,20.6,182841,3.802,220,-0.2,2517.405,2025-05-27 11:01:51.529,0,21.356758879559255,20.715384615384615,20.074010351209974
GENEXIL,2025-05-28,21.0,20.3,21.3,20.1,260599,5.34,277,-0.4,2493.315,2025-05-28 11:34:23.245,0,21.33974417955769,20.685714285714287,20.031684391870883
GENEXIL,2025-05-29,20.4,21.2,21.5,20.4,387752,8.2,551,0.9,2445.135,2025-05-29 11:33:37.839,0,21.401957965469038,20.720000000000002,20.038042034530967
GENEXIL,2025-06-01,21.4,21.4,21.7,21.1,195332,4.196,278,0.2,2553.54,2025-06-01 11:03:39.110,0,21.500317728168685,20.7625,20.024682271831313
GENEXIL,2025-06-02,21.4,21.3,21.7,21.3,129982,2.781,195,-0.1,2577.63,2025-06-02 11:02:24.647,0,21.553283096701254,20.794117647058822,20.03495219741639
GENEXIL,2025-06-03,21.4,21.1,21.4,21.0,135680,2.871,151,-0.2,2565.585,2025-06-03 11:02:14.672,0,21.562077566609595,20.811111111111114,20.060144655612632
GENEXIL,2025-06-04,21.1,21.7,21.9,21.0,178725,3.839,247,0.6,2541.495,2025-06-04 11:02:39.374,0,21.714585350389456,20.87777777777778,20.040970205166104
