symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GENNEXT,2025-05-13,2.9,2.9,2.9,2.8,160738,0.464,51,,1435426000.0,2025-05-13 16:38:39.645,0,2.9,2.9,2.9
GENNEXT,2025-05-14,2.9,2.8,2.9,2.8,292101,0.821,105,-0.1,1435426000.0,2025-05-14 11:57:23.707,0,2.9499999999999993,2.8499999999999996,2.75
GENNEXT,2025-05-15,2.8,2.8,2.9,2.8,332572,0.932,70,,1385929000.0,2025-05-15 09:23:44.130,0,2.9276142374915395,2.8333333333333335,2.7390524291751275
GENNEXT,2025-05-17,2.8,2.8,2.9,2.7,183564,0.514,67,,1385.929,2025-05-17 10:25:53.053,0,2.9116025403784436,2.8249999999999997,2.738397459621556
GENNEXT,2025-05-18,2.8,2.8,2.9,2.8,119316,0.336,60,,1385.929,2025-05-18 11:10:14.000,0,2.8999999999999995,2.82,2.74
GENNEXT,2025-05-19,2.8,2.7,2.9,2.7,673722,1.872,103,-0.1,1385.929,2025-05-19 11:08:46.248,0,2.9154700538379252,2.8000000000000003,2.6845299461620753
GENNEXT,2025-05-20,2.8,2.7,2.8,2.7,135500,0.37,54,,1336.431,2025-05-20 11:09:28.744,0,2.913489598714273,2.7857142857142856,2.657938972714298
GENNEXT,2025-05-21,2.8,2.7,2.8,2.7,211350,0.576,52,,1336.431,2025-05-21 12:13:37.484,0,2.907287565553229,2.775,2.642712434446771
GENNEXT,2025-05-22,2.7,2.7,2.8,2.7,222119,0.606,40,0.1,1336.431,2025-05-22 11:11:56.183,0,2.8999999999999995,2.7666666666666666,2.6333333333333337
GENNEXT,2025-05-24,2.7,2.7,2.8,2.7,115816,0.315,31,,1336.431,2025-05-24 12:14:05.208,0,2.892664991614216,2.7600000000000002,2.6273350083857845
GENNEXT,2025-05-25,2.7,2.7,2.8,2.7,272088,0.735,64,0.1,1336.431,2025-05-25 12:12:02.387,0,2.8856564100168716,2.7545454545454544,2.6234344990740373
GENNEXT,2025-05-26,2.7,2.7,2.8,2.7,70252,0.191,28,,1336.431,2025-05-26 11:09:26.945,0,2.8790994448735803,2.75,2.6209005551264197
GENNEXT,2025-05-27,2.7,2.7,2.8,2.7,288850,0.781,51,,1336.431,2025-05-27 11:07:50.229,0,2.873018634634389,2.746153846153846,2.6192890576733032
GENNEXT,2025-05-28,2.7,2.7,2.9,2.7,768206,2.133,114,,1336.431,2025-05-28 12:11:06.747,0,2.8673971126725903,2.742857142857143,2.6183171730416954
GENNEXT,2025-05-29,2.8,2.8,2.8,2.7,80388,0.223,25,0.1,1336.431,2025-05-29 12:10:27.592,0,2.870314913273276,2.746666666666667,2.623018420060058
GENNEXT,2025-06-01,2.7,2.7,2.8,2.6,420640,1.129,104,-0.1,1385.929,2025-06-01 11:10:23.337,0,2.8655849293101117,2.74375,2.621915070689888
GENNEXT,2025-06-02,2.7,2.7,2.8,2.6,343114,0.926,95,,1336.431,2025-06-02 11:08:39.963,0,2.86115340031983,2.7411764705882353,2.6211995408566406
GENNEXT,2025-06-03,2.7,2.7,2.8,2.7,109321,0.296,38,,1336.431,2025-06-03 11:09:18.509,0,2.857001620141496,2.738888888888889,2.620776157636282
GENNEXT,2025-06-04,2.7,2.8,2.8,2.7,100290,0.281,41,0.1,1336.431,2025-06-04 11:09:37.329,0,2.8276142374915394,2.7333333333333334,2.6390524291751274
