symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GHAIL,2025-05-13,11.5,10.9,11.5,10.7,418394,4.591,318,-0.5,2460549000.0,2025-05-13 16:35:26.258,0,10.9,10.9,10.9
GHAIL,2025-05-14,10.3,10.3,11.0,10.2,753490,7.873,335,-0.6,2352630000.0,2025-05-14 11:53:41.168,0,11.200000000000003,10.600000000000001,10.0
GHAIL,2025-05-17,10.3,10.6,10.7,10.1,321528,3.367,229,0.4,2201.544,2025-05-17 10:04:52.431,0,11.089897948556636,10.6,10.110102051443363
GHAIL,2025-05-18,10.8,10.5,11.0,10.4,678388,7.268,323,-0.1,2287.879,2025-05-18 11:06:31.600,0,11.00801270189222,10.575,10.141987298107779
GHAIL,2025-05-19,10.7,11.1,11.2,10.5,775446,8.397,355,0.6,2266.295,2025-05-19 11:04:51.713,0,11.251314274283427,10.68,10.108685725716573
GHAIL,2025-05-20,11.1,11.4,11.7,11.0,713286,8.121,464,0.4,2395.798,2025-05-20 11:05:19.220,0,11.548331477354786,10.799999999999999,10.051668522645212
GHAIL,2025-05-21,11.4,11.5,11.6,11.3,465552,5.317,276,0.1,2460.549,2025-05-21 11:50:55.242,0,11.748528137423856,10.9,10.051471862576145
GHAIL,2025-05-22,11.5,11.2,11.7,11.2,729494,8.334,354,-0.3,2482.133,2025-05-22 11:08:13.877,0,11.755653408597677,10.9375,10.119346591402323
GHAIL,2025-05-24,11.2,11.2,11.6,11.1,475217,5.37,297,,2417.381,2025-05-24 11:52:07.897,0,11.755477304413281,10.966666666666667,10.177856028920052
GHAIL,2025-05-25,11.3,11.3,11.6,11.2,515790,5.849,248,0.1,2417.381,2025-05-25 11:50:36.670,0,11.774596669241483,11.0,10.225403330758517
GHAIL,2025-05-26,11.4,11.4,11.6,11.3,561720,6.413,289,0.1,2438.965,2025-05-26 11:05:23.646,0,11.809892632224823,11.036363636363637,10.26283464050245
GHAIL,2025-05-27,11.5,11.7,12.0,11.5,1305987,15.289,706,0.3,2460.549,2025-05-27 11:03:52.683,0,11.918138417881162,11.091666666666667,10.265194915452172
GHAIL,2025-05-28,11.7,11.4,11.8,11.1,267034,3.034,242,-0.3,2525.3,2025-05-28 11:48:08.856,0,11.926257474037195,11.115384615384615,10.304511756732035
GHAIL,2025-05-29,11.4,11.2,11.5,11.2,375823,4.245,277,-0.2,2460.549,2025-05-29 11:48:31.675,0,11.90401976713156,11.12142857142857,10.33883737572558
GHAIL,2025-06-01,11.2,11.2,11.4,11.1,353823,3.977,192,,2417.381,2025-06-01 11:06:26.600,0,11.883737043550846,11.126666666666667,10.369596289782487
GHAIL,2025-06-02,11.3,11.2,11.4,11.1,293393,3.285,166,,2417.381,2025-06-02 11:05:06.371,0,11.865139467154284,11.13125,10.397360532845715
GHAIL,2025-06-03,11.3,11.0,11.3,11.0,363613,4.037,226,-0.2,2417.381,2025-06-03 11:05:15.435,0,11.838180825811172,11.123529411764705,10.408877997718239
GHAIL,2025-06-04,11.2,11.1,11.2,11.0,252157,2.81,141,0.1,2374.214,2025-06-04 11:05:37.946,0,11.8168222048039,11.122222222222222,10.427622239640543
