symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GHCL,2025-05-13,19.6,18.4,19.9,18.0,116048,2.184,177,-1.2,1411200000.0,2025-05-13 16:33:53.664,0,18.4,18.4,18.4
GHCL,2025-05-14,18.0,17.9,18.8,17.8,79155,1.423,162,-0.2,1324800000.0,2025-05-14 11:51:52.050,0,18.65,18.15,17.65
GHCL,2025-05-15,18.5,17.4,18.5,17.3,145219,2.591,164,-0.6,1288800000.0,2025-05-15 09:18:15.821,0,18.716496580927725,17.9,17.083503419072272
GHCL,2025-05-17,17.4,18.5,18.7,17.4,44617,0.816,185,1.3,1252.8,2025-05-17 09:52:28.717,0,18.92749643873921,18.049999999999997,17.172503561260783
GHCL,2025-05-18,18.7,18.4,19.5,18.1,57487,1.073,165,-0.1,1332.0,2025-05-18 11:04:22.045,0,18.953306666239985,18.119999999999997,17.28669333376001
GHCL,2025-05-19,18.0,18.3,19.5,18.0,37204,0.682,72,-0.1,1324.8,2025-05-19 11:02:55.478,0,18.922442015083764,18.15,17.377557984916233
GHCL,2025-05-20,18.3,18.5,18.9,18.3,17530,0.325,40,0.2,1317.6,2025-05-20 11:03:28.825,0,18.955928946018457,18.2,17.444071053981542
GHCL,2025-05-21,18.0,19.8,20.0,17.9,101767,1.962,250,1.3,1332.0,2025-05-21 11:38:03.744,0,19.672792206135785,18.4,17.127207793864212
GHCL,2025-05-22,19.8,19.7,20.5,19.5,72256,1.434,201,-0.1,1425.6,2025-05-22 11:03:28.954,0,19.996220708538765,18.544444444444444,17.092668180350124
GHCL,2025-05-24,19.2,19.3,19.9,19.1,44389,0.862,174,-0.3,1418.4,2025-05-24 11:38:21.271,0,20.06996551683135,18.619999999999997,17.170034483168646
GHCL,2025-05-25,19.1,19.4,20.0,18.9,38033,0.728,121,0.1,1389.6,2025-05-25 11:36:59.933,0,20.14431773757901,18.69090909090909,17.237500444239174
GHCL,2025-05-26,20.4,19.5,20.4,19.3,22521,0.441,70,0.1,1396.8,2025-05-26 11:03:25.275,0,20.21997244367791,18.758333333333333,17.296694222988755
GHCL,2025-05-27,19.1,19.1,20.4,19.1,17313,0.333,83,-0.4,1404.0,2025-05-27 11:02:09.504,0,20.200668738338937,18.784615384615385,17.368562030891834
GHCL,2025-05-28,19.7,18.3,19.7,17.9,148683,2.698,226,-0.8,1375.2,2025-05-28 11:37:54.121,0,20.137186257964558,18.75,17.362813742035442
GHCL,2025-05-29,19.2,18.4,19.9,17.7,30224,0.569,123,0.1,1317.6,2025-05-29 11:37:25.638,0,20.07814322543078,18.726666666666667,17.375190107902554
GHCL,2025-06-01,18.5,18.6,19.4,18.5,10045,0.189,57,0.5,1324.8,2025-06-01 11:04:14.884,0,20.028747614501647,18.71875,17.408752385498353
GHCL,2025-06-02,18.6,19.2,19.4,18.6,39435,0.755,147,0.6,1339.2,2025-06-02 11:02:59.885,0,20.037963926997197,18.74705882352941,17.456153720061625
GHCL,2025-06-03,19.3,18.5,19.8,18.2,61337,1.164,245,-0.7,1382.4,2025-06-03 11:02:58.542,0,19.992962908512748,18.733333333333334,17.47370375815392
GHCL,2025-06-04,18.5,19.1,19.3,18.2,22327,0.422,115,0.6,1332.0,2025-06-04 11:03:26.081,0,20.031508714302486,18.772222222222226,17.512935730141965
