symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GIB,2025-05-13,3.3,3.2,3.4,3.1,2420515,7.862,453,,3317797000.0,2025-05-13 16:38:36.350,0,3.2,3.2,3.2
GIB,2025-05-14,3.2,3.1,3.3,3.1,923097,2.912,153,,3317797000.0,2025-05-14 11:57:12.021,0,3.250000000000001,3.1500000000000004,3.05
GIB,2025-05-15,3.0,3.2,3.2,3.0,658088,2.048,227,0.1,3214116000.0,2025-05-15 09:23:26.413,0,3.260947570824873,3.1666666666666665,3.07238576250846
GIB,2025-05-17,3.2,3.2,3.2,3.1,673468,2.109,146,,3317.797,2025-05-17 10:24:43.313,0,3.261602540378444,3.1750000000000003,3.0883974596215564
GIB,2025-05-18,3.2,3.1,3.3,3.1,315428,0.995,109,,3317.797,2025-05-18 11:10:06.724,0,3.2579795897113275,3.16,3.062020410288673
GIB,2025-05-19,3.1,3.0,3.2,3.0,934046,2.859,172,-0.1,3214.116,2025-05-19 11:08:38.402,0,3.2824045318333193,3.1333333333333333,2.9842621348333473
GIB,2025-05-20,3.0,3.1,3.2,3.0,288925,0.901,82,0.1,3110.435,2025-05-20 11:09:21.902,0,3.268542271016182,3.128571428571429,2.988600586126676
GIB,2025-05-21,3.1,3.1,3.2,3.1,296948,0.926,57,,3214.116,2025-05-21 12:12:42.952,0,3.2572875655532294,3.125,2.9927124344467706
GIB,2025-05-22,3.1,3.2,3.2,3.1,266849,0.837,68,0.1,3214.116,2025-05-22 11:11:49.650,0,3.266666666666667,3.1333333333333337,3.0000000000000004
GIB,2025-05-24,3.1,3.1,3.2,3.1,345317,1.074,84,-0.1,3317.797,2025-05-24 12:13:19.177,0,3.258062484748657,3.13,3.001937515251343
GIB,2025-05-25,3.1,3.1,3.2,3.1,547265,1.698,153,0.1,3214.116,2025-05-25 12:11:15.024,0,3.2505878178750045,3.127272727272727,3.0039576366704495
GIB,2025-05-26,3.1,3.1,3.2,3.0,327527,1.014,140,,3214.116,2025-05-26 11:09:09.203,0,3.244023807142381,3.125,3.005976192857619
GIB,2025-05-27,3.2,3.4,3.4,3.1,3839739,12.779,557,0.3,3214.116,2025-05-27 11:07:32.104,0,3.3320468611322243,3.146153846153846,2.960260831175468
GIB,2025-05-28,3.5,3.2,3.7,3.1,1598534,5.354,408,-0.2,3525.16,2025-05-28 12:09:55.139,0,3.331265393434993,3.15,2.9687346065650067
GIB,2025-05-29,3.2,3.2,3.2,3.1,469158,1.484,101,,3317.797,2025-05-29 12:09:19.449,0,3.330219988818955,3.1533333333333338,2.9764466778477123
GIB,2025-06-01,3.1,3.1,3.2,3.1,433968,1.349,181,-0.1,3317.797,2025-06-01 11:10:19.067,0,3.323205080756888,3.15,2.976794919243112
GIB,2025-06-02,3.1,3.2,3.3,3.1,1282840,4.11,152,0.1,3214.116,2025-06-02 11:08:23.761,0,3.3226141776688936,3.152941176470588,2.9832681752722827
GIB,2025-06-03,3.2,3.2,3.3,3.1,299697,0.957,110,,3317.797,2025-06-03 11:09:11.207,0,3.3218514394121756,3.155555555555556,2.989259671698936
GIB,2025-06-04,3.1,3.1,3.2,3.1,157327,0.496,49,,3317.797,2025-06-04 11:09:25.342,0,3.3166666666666673,3.1500000000000004,2.9833333333333334
