symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GLDNJMF,2025-05-13,8.5,8.0,8.6,7.9,1591914,13.081,487,-0.5,850000000.0,2025-05-13 16:36:25.202,0,8.0,8.0,8.0
GLDNJMF,2025-05-14,8.0,8.1,8.2,7.9,1213258,9.773,323,0.1,800000000.0,2025-05-14 11:54:53.249,0,8.149999999999999,8.05,7.950000000000002
GLDNJMF,2025-05-15,8.3,8.0,8.3,7.9,1154708,9.289,286,-0.1,810000000.0,2025-05-15 09:21:06.056,0,8.127614237491539,8.033333333333333,7.939052429175128
GLDNJMF,2025-05-17,8.0,8.1,8.2,7.9,801836,6.451,232,0.1,800.0,2025-05-17 10:11:18.598,0,8.15,8.05,7.950000000000002
GLDNJMF,2025-05-18,8.2,7.9,8.4,7.9,894203,7.201,249,-0.2,810.0,2025-05-18 11:07:31.015,0,8.169666295470957,8.02,7.870333704529042
GLDNJMF,2025-05-19,7.9,7.8,8.1,7.7,666433,5.222,211,-0.1,790.0,2025-05-19 11:05:59.117,0,8.19677080791443,7.983333333333333,7.769895858752237
GLDNJMF,2025-05-20,7.8,7.9,8.0,7.8,597139,4.706,156,0.1,780.0,2025-05-20 11:06:49.903,0,8.177460072883656,7.971428571428571,7.765397069973485
GLDNJMF,2025-05-21,8.0,7.9,8.2,7.8,1096893,8.761,318,,790.0,2025-05-21 11:58:27.368,0,8.160931348329846,7.9625,7.764068651670155
GLDNJMF,2025-05-22,7.8,7.8,8.0,7.7,689839,5.39,181,-0.1,790.0,2025-05-22 11:09:32.963,0,8.157592512147234,7.944444444444445,7.731296376741656
GLDNJMF,2025-05-24,7.9,7.7,7.9,7.6,896104,6.891,435,-0.1,780.0,2025-05-24 11:58:56.041,0,8.169799919935937,7.92,7.670200080064062
GLDNJMF,2025-05-25,7.7,7.7,7.8,7.6,389080,2.992,152,,770.0,2025-05-25 11:57:43.324,0,8.169679944985297,7.9,7.630320055014702
GLDNJMF,2025-05-26,7.8,7.7,7.8,7.7,573479,4.423,145,,770.0,2025-05-26 11:06:42.248,0,8.164204992439213,7.883333333333333,7.602461674227453
GLDNJMF,2025-05-27,7.8,7.7,7.9,7.7,423991,3.279,167,,770.0,2025-05-27 11:05:07.157,0,8.156227047787349,7.869230769230769,7.582234490674189
GLDNJMF,2025-05-28,7.8,7.6,7.8,7.5,479468,3.64,238,-0.1,770.0,2025-05-28 11:56:47.950,0,8.15937725468154,7.8500000000000005,7.540622745318461
GLDNJMF,2025-05-29,7.7,7.6,7.7,7.5,565887,4.291,168,,760.0,2025-05-29 11:56:03.463,0,8.157198874706431,7.833333333333333,7.509467791960235
GLDNJMF,2025-06-01,7.5,7.6,7.8,7.5,357287,2.722,123,,760.0,2025-06-01 11:07:44.485,0,8.152057290649335,7.81875,7.485442709350664
GLDNJMF,2025-06-02,7.7,7.6,7.7,7.6,248188,1.89,81,,760.0,2025-06-02 11:06:07.420,0,8.145228355337787,7.805882352941175,7.466536350544564
GLDNJMF,2025-06-03,7.7,7.5,7.7,7.5,561447,4.227,164,-0.1,760.0,2025-06-03 11:06:28.706,0,8.147211455479935,7.788888888888888,7.43056632229784
GLDNJMF,2025-06-04,7.4,7.5,7.6,7.4,334534,2.512,117,,750.0,2025-06-04 11:06:55.159,0,8.127103757600015,7.76111111111111,7.395118464622207
