symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GLOBALINS,2025-05-13,31.0,30.9,31.7,30.5,669697,20.665,417,-0.3,1257105000.0,2025-05-13 16:31:25.919,0,30.9,30.9,30.9
GLOBALINS,2025-05-14,30.5,30.4,30.9,30.1,220031,6.723,210,-0.5,1253049000.0,2025-05-14 11:49:36.137,0,31.15,30.65,30.15
GLOBALINS,2025-05-15,30.0,30.4,30.7,30.0,80906,2.455,125,,1232774000.0,2025-05-15 09:15:49.868,0,31.038071187457696,30.566666666666663,30.09526214587563
GLOBALINS,2025-05-17,30.4,30.5,30.6,30.1,70644,2.149,80,,1232.774,2025-05-17 09:38:26.096,0,30.962310562561765,30.549999999999997,30.13768943743823
GLOBALINS,2025-05-18,30.9,29.5,32.9,29.2,1473056,45.161,1805,-1.0,1236.829,2025-05-18 11:01:48.152,0,31.257387595294375,30.339999999999996,29.422612404705617
GLOBALINS,2025-05-19,29.6,30.0,30.6,29.6,63401,1.9,129,0.5,1196.277,2025-05-19 11:00:41.578,0,31.15829364989378,30.28333333333333,29.408373016772885
GLOBALINS,2025-05-20,29.9,29.0,30.0,28.0,462929,13.339,625,-1.0,1216.553,2025-05-20 11:00:46.415,0,31.309486313629524,30.099999999999998,28.890513686370472
GLOBALINS,2025-05-21,28.0,29.0,29.5,28.0,439842,12.791,277,,1176.001,2025-05-21 11:25:47.496,0,31.307630105231457,29.9625,28.61736989476854
GLOBALINS,2025-05-22,29.0,30.1,30.2,28.8,1210699,35.459,639,1.1,1176.001,2025-05-22 11:01:16.173,0,31.248919968540008,29.977777777777778,28.706635587015548
GLOBALINS,2025-05-24,30.6,28.9,31.2,28.7,539644,15.903,709,-1.2,1220.608,2025-05-24 11:25:45.563,0,31.238356678647783,29.869999999999997,28.501643321352212
GLOBALINS,2025-05-25,29.0,28.4,29.0,28.3,195165,5.598,170,-0.5,1171.946,2025-05-25 11:25:28.315,0,31.290882509076297,29.736363636363638,28.18184476365098
GLOBALINS,2025-05-26,28.4,28.2,28.8,28.1,170145,4.835,230,-0.2,1151.67,2025-05-26 11:01:23.216,0,31.32192280835029,29.608333333333334,27.894743858316378
GLOBALINS,2025-05-27,28.9,28.1,28.9,27.7,187989,5.273,178,-0.1,1143.56,2025-05-27 11:00:11.944,0,31.324433886250823,29.49230769230769,27.660181498364558
GLOBALINS,2025-05-28,27.9,27.9,28.3,27.4,671150,18.767,308,-0.2,1139.505,2025-05-28 11:25:03.955,0,31.325258829448803,29.37857142857143,27.431884027694057
GLOBALINS,2025-05-29,27.6,27.8,28.4,27.6,107139,2.99,156,-0.1,1131.394,2025-05-29 11:24:35.946,0,31.312243717718964,29.273333333333333,27.234422948947703
GLOBALINS,2025-06-01,28.3,27.7,28.3,27.4,196201,5.466,393,-0.1,1127.339,2025-06-01 11:01:52.492,0,31.291010396949886,29.175,27.058989603050115
GLOBALINS,2025-06-02,27.8,27.7,28.1,27.4,127996,3.562,186,,1123.284,2025-06-02 11:00:46.591,0,31.255241744273555,29.08823529411765,26.921228843961742
GLOBALINS,2025-06-03,27.9,28.3,28.6,27.7,170535,4.805,192,0.6,1123.284,2025-06-03 11:00:50.779,0,31.181131622944243,29.04444444444444,26.90775726594464
GLOBALINS,2025-06-04,28.0,28.5,28.8,27.9,176033,4.973,174,0.2,1147.615,2025-06-04 11:01:14.262,0,30.859202928350502,28.91111111111111,26.96301929387172
