symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GP,2025-05-13,298.1,297.0,299.4,296.7,112214,33.428,979,-1.1,402524437000.0,2025-05-13 16:27:34.575,0,297.0,297.0,297.0
GP,2025-05-14,295.4,296.9,298.0,295.3,79614,23.676,371,-0.1,401039107000.0,2025-05-14 11:45:45.194,0,297.05,296.95,296.84999999999997
GP,2025-05-15,295.4,294.9,297.5,294.0,49980,14.769,697,-2.0,400904077000.0,2025-05-15 09:11:30.801,0,298.20114908380623,296.26666666666665,294.3321842495271
GP,2025-05-17,294.9,294.7,296.0,292.8,27806,8.171,435,-0.2,398203.476,2025-05-17 09:12:57.570,0,298.03080611373105,295.875,293.71919388626895
GP,2025-05-18,296.0,296.2,297.0,294.0,55084,16.28,608,1.5,397933.416,2025-05-18 10:56:39.390,0,297.8856618411224,295.93999999999994,293.9943381588775
GP,2025-05-19,297.0,294.1,297.0,293.8,43662,12.851,559,-2.1,399958.867,2025-05-19 10:56:21.460,0,297.87733769062754,295.6333333333333,293.3893289760391
GP,2025-05-20,294.0,294.5,295.0,293.3,41506,12.211,520,0.4,397123.236,2025-05-20 10:56:17.026,0,297.69523299683317,295.4714285714286,293.247624146024
GP,2025-05-21,294.3,288.4,295.8,285.2,65573,19.05,1129,-6.1,397663.356,2025-05-21 10:59:07.113,0,299.70652090247734,294.5875,289.4684790975226
GP,2025-05-24,285.0,274.5,285.0,274.1,68647,18.894,1113,-7.4,380649.576,2025-05-24 10:59:17.493,0,305.87233068413354,292.35555555555555,278.83878042697756
GP,2025-05-25,273.6,272.3,275.9,270.0,44338,12.071,816,-2.2,370657.356,2025-05-25 10:59:32.280,0,307.9350504690775,290.35,272.76494953092254
GP,2025-05-26,270.1,271.2,272.7,270.0,61270,16.611,861,-1.1,367686.696,2025-05-26 10:57:01.676,0,308.6678146146065,288.60909090909087,268.5503672035752
GP,2025-05-27,270.0,273.6,275.0,270.0,66709,18.208,694,2.4,366201.366,2025-05-27 10:56:09.520,0,308.2785720721454,287.35833333333335,266.4380945945213
GP,2025-05-28,274.7,273.2,274.7,272.2,27890,7.618,482,-0.4,369442.086,2025-05-28 10:58:33.171,0,307.7384050380978,286.2692307692308,264.8000565003637
GP,2025-05-29,275.5,283.4,295.0,271.1,72954,20.38,870,10.2,368901.966,2025-05-29 10:58:53.329,0,306.80521931262246,286.06428571428575,265.32335211594904
GP,2025-06-01,286.0,287.1,287.7,282.0,62011,17.728,739,3.7,382675.026,2025-06-01 10:56:36.390,0,306.177639812287,286.1333333333333,266.08902685437965
GP,2025-06-02,288.5,287.2,288.5,284.1,39986,11.437,610,0.1,387671.136,2025-06-02 10:56:16.962,0,305.614685163556,286.2,266.785314836444
GP,2025-06-03,288.2,284.4,288.3,284.0,38164,10.883,489,-2.8,387806.166,2025-06-03 10:56:21.387,0,304.9481664352991,286.09411764705885,267.24006885881863
GP,2025-06-04,284.6,286.2,286.8,284.0,44456,12.705,495,1.8,384025.326,2025-06-04 10:56:52.949,0,304.4229061256366,286.1,267.77709387436346
