symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GPHISPAT,2025-05-13,18.8,18.3,18.8,18.2,266554,4.924,406,-0.4,9048621000.0,2025-05-13 16:33:54.985,0,18.3,18.3,18.3
GPHISPAT,2025-05-14,18.5,18.1,18.5,18.1,308183,5.616,304,-0.2,8855067000.0,2025-05-14 11:51:57.996,0,18.400000000000006,18.200000000000003,18.0
GPHISPAT,2025-05-15,18.1,17.4,18.4,17.3,648611,11.456,649,-0.7,8758291000.0,2025-05-15 09:18:13.197,0,18.705055793519353,17.933333333333334,17.161610873147314
GPHISPAT,2025-05-17,17.6,17.6,17.7,17.0,355684,6.2,345,0.2,8419.572,2025-05-17 09:54:23.589,0,18.578010988928057,17.85,17.121989011071946
GPHISPAT,2025-05-18,17.7,17.2,17.9,17.1,490543,8.548,439,-0.4,8516.349,2025-05-18 11:04:51.882,0,18.553306666239987,17.72,16.88669333376001
GPHISPAT,2025-05-19,17.4,17.2,17.4,17.0,225576,3.878,284,0.1,8322.795,2025-05-19 11:03:14.837,0,18.487083231657717,17.633333333333333,16.77958343500895
GPHISPAT,2025-05-20,17.2,17.6,17.7,17.2,190426,3.33,198,0.4,8322.795,2025-05-20 11:03:49.074,0,18.419334428748463,17.62857142857143,16.837808428394396
GPHISPAT,2025-05-21,17.7,17.7,17.8,17.6,132087,2.334,197,0.1,8516.349,2025-05-21 11:41:42.301,0,18.37869835401868,17.6375,16.896301645981318
GPHISPAT,2025-05-22,17.7,17.6,17.9,17.5,217110,3.835,235,-0.1,8564.737,2025-05-22 11:04:10.267,0,18.332539232113437,17.633333333333333,16.93412743455323
GPHISPAT,2025-05-24,17.5,17.3,17.7,17.3,169413,2.946,274,-0.3,8516.349,2025-05-24 11:42:21.451,0,18.292820323027556,17.6,16.907179676972447
GPHISPAT,2025-05-25,17.4,17.2,17.5,17.2,190562,3.304,203,-0.1,8371.184,2025-05-25 11:41:28.488,0,18.26310487496987,17.563636363636363,16.864167852302856
GPHISPAT,2025-05-27,17.3,17.4,17.5,17.2,451604,7.825,377,0.2,8322.795,2025-05-27 11:02:44.122,0,18.22577116442378,17.55,16.874228835576222
GPHISPAT,2025-05-28,17.6,17.1,18.0,17.0,477034,8.312,515,-0.3,8419.572,2025-05-28 11:40:46.649,0,18.207521346412435,17.515384615384615,16.823247884356796
GPHISPAT,2025-05-29,17.2,17.1,17.3,16.8,331750,5.64,451,,8274.407,2025-05-29 11:39:56.061,0,18.186151466978934,17.485714285714288,16.78527710444964
GPHISPAT,2025-06-01,17.4,17.1,17.4,17.0,240325,4.108,273,,8274.407,2025-06-01 11:05:01.590,0,18.16351498444122,17.459999999999997,16.756485015558773
GPHISPAT,2025-06-02,17.4,17.0,17.4,17.0,226721,3.87,307,-0.1,8274.407,2025-06-02 11:03:36.590,0,18.147904554161208,17.43125,16.71459544583879
GPHISPAT,2025-06-03,17.1,16.8,17.2,16.8,175529,2.965,300,-0.2,8226.019,2025-06-03 11:03:48.769,0,18.150177365320456,17.394117647058824,16.638057928797192
GPHISPAT,2025-06-04,16.7,17.0,17.1,16.7,267491,4.517,284,0.2,8129.242,2025-06-04 11:04:16.768,0,18.128839123832588,17.37222222222222,16.615605320611852
