symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GQBALLPEN,2025-05-13,161.0,156.9,161.0,156.7,16060,2.52,90,-2.1,1419566000.0,2025-05-13 16:28:03.644,0,156.9,156.9,156.9
GQBALLPEN,2025-05-14,158.9,156.5,158.9,155.1,19733,3.088,114,-0.4,1400817000.0,2025-05-14 11:46:11.864,0,157.09999999999997,156.7,156.3
GQBALLPEN,2025-05-15,159.9,156.6,160.0,155.8,6912,1.08,64,0.1,1397246000.0,2025-05-15 09:11:57.594,0,157.00660130090617,156.66666666666666,156.32673203242715
GQBALLPEN,2025-05-17,158.9,157.1,158.9,156.0,3737,0.586,39,0.6,1398.139,2025-05-17 09:15:59.067,0,157.2519696007085,156.775,156.29803039929152
GQBALLPEN,2025-05-18,157.2,157.4,157.5,156.1,26148,4.11,81,0.3,1402.603,2025-05-18 10:57:08.570,0,157.55726706900623,156.9,156.24273293099378
GQBALLPEN,2025-05-19,158.0,158.3,158.9,157.7,8662,1.369,51,0.6,1405.282,2025-05-19 10:56:53.962,0,158.33703133901787,157.13333333333333,155.92963532764878
GQBALLPEN,2025-05-20,158.8,161.3,161.7,158.8,26595,4.28,330,3.0,1413.317,2025-05-20 10:56:40.028,0,160.85031871534034,157.72857142857143,154.60682414180252
GQBALLPEN,2025-05-21,161.3,157.8,162.3,155.0,23065,3.703,180,-1.8,1440.101,2025-05-21 11:01:56.822,0,160.65800937337997,157.7375,154.81699062662005
GQBALLPEN,2025-05-22,160.0,157.0,162.0,156.8,7937,1.251,68,-0.9,1408.853,2025-05-22 10:56:49.296,0,160.44778463102136,157.65555555555557,154.86332648008977
GQBALLPEN,2025-05-24,158.0,155.7,158.0,155.1,14413,2.251,110,-1.5,1401.71,2025-05-24 11:02:05.379,0,160.3571710339571,157.45999999999998,154.56282896604287
GQBALLPEN,2025-05-25,157.0,161.1,161.9,154.2,41681,6.706,211,5.4,1390.104,2025-05-25 11:02:17.258,0,161.25653724643828,157.79090909090908,154.32528093537988
GQBALLPEN,2025-05-26,161.9,158.9,161.9,155.6,18322,2.888,111,-2.2,1438.315,2025-05-26 10:57:28.696,0,161.25758222094603,157.88333333333333,154.50908444572062
GQBALLPEN,2025-05-27,158.9,159.3,160.5,157.1,13425,2.137,129,-1.8,1418.674,2025-05-27 10:56:39.192,0,161.32093553476912,157.9923076923077,154.66367984984626
GQBALLPEN,2025-05-28,161.0,159.6,161.0,156.0,34538,5.497,124,0.3,1422.245,2025-05-28 11:01:27.476,0,161.41985800225467,158.10714285714286,154.79442771203105
GQBALLPEN,2025-05-29,161.9,157.5,161.9,157.4,1061,0.167,12,-2.2,1424.923,2025-05-29 11:01:46.336,0,161.28135517758375,158.06666666666666,154.85197815574958
GQBALLPEN,2025-06-01,158.0,160.1,161.0,156.5,35574,5.646,231,0.1,1406.174,2025-06-01 10:57:11.987,0,161.45830873741,158.19375,154.92919126259
GQBALLPEN,2025-06-02,160.9,160.3,160.9,158.6,19956,3.188,136,0.2,1429.387,2025-06-02 10:56:49.124,0,161.63621180466146,158.31764705882352,154.9990823129856
GQBALLPEN,2025-06-03,160.6,161.5,161.8,160.6,12043,1.942,166,0.5,1431.173,2025-06-03 10:56:51.004,0,162.03373013648408,158.49444444444444,154.9551587524048
GQBALLPEN,2025-06-04,163.8,160.4,163.8,158.5,3589,0.576,41,-1.1,1441.887,2025-06-04 10:57:21.662,0,162.2409705251435,158.6888888888889,155.1368072526343
