symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GREENDELMF,2025-05-13,4.4,4.2,4.4,4.1,605093,2.521,72,-0.2,660000000.0,2025-05-13 16:37:42.270,0,4.2,4.2,4.2
GREENDELMF,2025-05-14,4.2,4.1,4.3,4.1,505263,2.099,69,-0.1,630000000.0,2025-05-14 11:56:37.837,0,4.250000000000002,4.15,4.049999999999999
GREENDELMF,2025-05-15,4.1,4.0,4.1,3.9,479870,1.949,81,-0.1,615000000.0,2025-05-15 09:22:49.781,0,4.263299316185547,4.1000000000000005,3.9367006838144545
GREENDELMF,2025-05-17,4.0,4.1,4.1,4.0,232589,0.943,19,0.1,600.0,2025-05-17 10:20:19.418,0,4.24142135623731,4.1,3.9585786437626895
GREENDELMF,2025-05-18,4.1,4.0,4.2,4.0,337644,1.357,54,-0.1,615.0,2025-05-18 11:09:22.292,0,4.229666295470959,4.08,3.930333704529042
GREENDELMF,2025-05-19,4.1,3.9,4.1,3.8,509759,1.999,93,-0.1,600.0,2025-05-19 11:07:56.063,0,4.241485421551268,4.05,3.8585145784487316
GREENDELMF,2025-05-20,4.0,3.9,4.0,3.8,19469,0.076,35,0.1,585.0,2025-05-20 11:08:36.920,0,4.234602930026514,4.0285714285714285,3.822539927116343
GREENDELMF,2025-05-21,4.2,4.1,4.2,4.0,1219599,5.047,104,0.2,585.0,2025-05-21 12:08:27.271,0,4.235931348329844,4.0375,3.839068651670155
GREENDELMF,2025-05-22,4.1,4.0,4.2,4.0,479205,1.927,29,-0.1,615.0,2025-05-22 11:11:17.454,0,4.221895141649746,4.033333333333333,3.8447715250169203
GREENDELMF,2025-05-24,4.0,3.9,4.0,3.9,39356,0.154,23,-0.1,600.0,2025-05-24 12:09:20.154,0,4.215959179422654,4.02,3.8240408205773453
GREENDELMF,2025-05-25,3.8,4.0,4.0,3.8,32588,0.128,33,0.1,585.0,2025-05-25 12:07:22.556,0,4.205375093472491,4.0181818181818185,3.830988542891146
GREENDELMF,2025-05-26,3.9,3.9,4.0,3.9,69215,0.27,12,-0.1,600.0,2025-05-26 11:08:30.578,0,4.199092052370994,4.008333333333334,3.817574614295674
GREENDELMF,2025-05-27,4.0,4.0,4.0,3.9,76110,0.302,16,0.1,585.0,2025-05-27 11:06:59.368,0,4.1910211582740455,4.007692307692308,3.8243634571105694
GREENDELMF,2025-05-28,4.0,3.8,4.1,3.8,404090,1.565,38,-0.2,600.0,2025-05-28 12:06:26.316,0,4.199383318497157,3.992857142857143,3.786330967217129
GREENDELMF,2025-05-29,3.9,3.9,4.0,3.8,73057,0.283,21,,570.0,2025-05-29 12:05:47.433,0,4.191497219943162,3.9866666666666664,3.78183611339017
GREENDELMF,2025-06-01,3.9,3.9,4.0,3.8,49930,0.194,22,0.1,585.0,2025-06-01 11:09:30.001,0,4.183965934252836,3.9812499999999997,3.7785340657471638
GREENDELMF,2025-06-02,3.9,3.8,4.0,3.8,274811,1.06,38,-0.1,585.0,2025-06-02 11:07:53.206,0,4.184951378332808,3.9705882352941178,3.7562250922554283
GREENDELMF,2025-06-03,3.9,3.9,3.9,3.9,8800,0.034,4,0.1,570.0,2025-06-03 11:08:34.208,0,4.1774851773445585,3.966666666666667,3.7558481559887746
GREENDELMF,2025-06-04,3.9,3.8,3.9,3.8,49670,0.191,30,,585.0,2025-06-04 11:08:47.853,0,4.135607228156503,3.9444444444444446,3.753281660732386
