symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
GREENDELT,2025-05-13,41.3,41.6,42.3,41.2,21539,0.898,78,1.1,4067641000.0,2025-05-13 16:30:42.117,0,41.6,41.6,41.6
GREENDELT,2025-05-14,41.8,41.6,41.8,41.1,7058,0.294,27,0.1,4167828999.9999995,2025-05-14 11:48:38.929,0,41.6,41.6,41.6
GREENDELT,2025-05-15,42.8,40.8,42.8,40.5,19118,0.784,106,-0.3,4167828999.9999995,2025-05-15 09:15:01.473,0,42.087580566598994,41.333333333333336,40.57908610006768
GREENDELT,2025-05-17,40.6,40.9,41.1,40.6,7555,0.308,32,0.3,4087.678,2025-05-17 09:33:22.456,0,41.97832595866598,41.225,40.471674041334026
GREENDELT,2025-05-18,41.8,40.6,41.8,40.4,33265,1.361,118,0.1,4097.697,2025-05-18 11:00:42.533,0,41.93904707853613,41.1,40.260952921463875
GREENDELT,2025-05-19,40.6,40.2,40.7,40.1,7492,0.301,41,-0.3,4067.641,2025-05-19 10:59:55.591,0,41.96816828995342,40.949999999999996,39.93183171004657
GREENDELT,2025-05-20,40.3,40.2,41.0,40.2,1360,0.055,10,,4027.565,2025-05-20 10:59:50.888,0,41.92178329077139,40.84285714285714,39.763930994942896
GREENDELT,2025-05-21,41.2,40.5,41.2,40.3,8751,0.355,44,0.3,4027.565,2025-05-21 11:20:55.073,0,41.83440804327886,40.8,39.76559195672113
GREENDELT,2025-05-22,40.9,40.5,40.9,40.5,5647,0.229,17,,4057.622,2025-05-22 11:00:29.662,0,41.759977628383425,40.766666666666666,39.77335570494991
GREENDELT,2025-05-24,40.2,38.0,40.6,37.0,48956,1.894,218,-2.5,4057.622,2025-05-24 11:20:58.191,0,42.39882162603005,40.489999999999995,38.58117837396994
GREENDELT,2025-05-25,41.0,38.0,41.0,38.0,14035,0.539,85,,3807.151,2025-05-25 11:21:00.393,0,42.579232069081165,40.26363636363636,37.94804065819155
GREENDELT,2025-05-26,38.0,38.1,38.5,38.0,11069,0.422,40,0.1,3807.151,2025-05-26 11:00:40.380,0,42.60237195065456,40.083333333333336,37.564294716012114
GREENDELT,2025-05-27,38.2,38.1,38.9,38.0,2885,0.11,21,-0.1,3817.17,2025-05-27 10:59:23.276,0,42.57173014608264,39.93076923076923,37.289808315455815
GREENDELT,2025-05-28,38.9,37.4,38.9,37.3,9513,0.358,48,-0.8,3817.17,2025-05-28 11:20:22.752,0,42.609320598623796,39.75,36.890679401376204
GREENDELT,2025-05-29,37.4,37.6,37.8,37.4,18690,0.702,47,0.1,3747.038,2025-05-29 11:20:14.998,0,42.5699681288125,39.60666666666667,36.64336520452084
GREENDELT,2025-06-01,37.7,37.6,38.0,37.4,7557,0.284,44,0.3,3767.076,2025-06-01 11:00:53.390,0,42.51045678561238,39.48125,36.45204321438763
GREENDELT,2025-06-02,37.7,38.4,38.9,37.3,6483,0.249,19,0.8,3767.076,2025-06-02 10:59:53.909,0,42.40013342316703,39.41764705882353,36.43516069448004
GREENDELT,2025-06-03,38.4,37.9,38.4,37.6,4413,0.168,25,-0.6,3847.227,2025-06-03 11:00:09.940,0,42.314011854147765,39.333333333333336,36.35265481251891
GREENDELT,2025-06-04,38.0,38.2,38.5,37.9,3437,0.131,20,0.6,3797.133,2025-06-04 11:00:27.423,0,41.95254559981003,39.144444444444446,36.33634328907886
