symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
HEIDELBCEM,2025-05-13,212.0,204.8,212.0,204.2,11525,2.364,112,-0.1,11577584000.0,2025-05-13 16:27:45.712,0,204.8,204.8,204.8
HEIDELBCEM,2025-05-14,211.9,200.6,211.9,200.0,6947,1.422,142,-4.2,11571933000.0,2025-05-14 11:45:59.580,0,206.89999999999998,202.7,198.5
HEIDELBCEM,2025-05-15,207.9,198.2,207.9,193.0,9832,1.953,214,1.3,11334618000.0,2025-05-15 09:11:42.033,0,206.65527267879435,201.20000000000002,195.7447273212057
HEIDELBCEM,2025-05-17,205.9,203.3,205.9,193.0,2576,0.516,75,5.1,11199.01,2025-05-17 09:14:05.193,0,206.78736110920588,201.725,196.6626388907941
HEIDELBCEM,2025-05-18,209.0,196.2,209.0,195.0,6021,1.205,184,-7.1,11487.178,2025-05-18 10:56:57.093,0,206.94759037865128,200.62,194.29240962134872
HEIDELBCEM,2025-05-19,196.2,198.5,201.1,195.1,4607,0.912,129,4.9,11086.002,2025-05-19 10:56:33.892,0,206.2551741787453,200.26666666666665,194.278159154588
HEIDELBCEM,2025-05-21,215.0,210.1,215.0,183.0,21952,4.513,465,11.6,11215.961,2025-05-21 10:59:55.817,0,210.5088259166165,201.67142857142858,192.83403122624065
HEIDELBCEM,2025-05-22,212.0,203.9,214.8,203.0,11784,2.444,202,-6.2,11871.402,2025-05-22 10:56:24.639,0,210.34702328209227,201.95,193.5529767179077
HEIDELBCEM,2025-05-24,205.9,197.8,206.0,197.1,9961,1.995,208,-6.1,11521.08,2025-05-24 11:00:32.087,0,209.8243256604588,201.4888888888889,193.153452117319
HEIDELBCEM,2025-05-25,196.6,196.8,201.5,196.5,10473,2.063,164,-1.0,11176.408,2025-05-25 11:00:43.487,0,209.41323537141668,201.02,192.62676462858335
HEIDELBCEM,2025-05-26,202.0,198.4,202.0,195.1,9649,1.912,153,2.2,11119.905,2025-05-26 10:57:15.307,0,208.92499968284577,200.78181818181818,192.6386366807906
HEIDELBCEM,2025-05-27,201.9,206.2,208.0,200.0,28192,5.766,509,7.8,11210.31,2025-05-27 10:56:14.689,0,209.5853124733669,201.23333333333335,192.88135419329979
HEIDELBCEM,2025-05-28,207.0,224.2,224.2,206.1,35254,7.7,452,18.0,11651.038,2025-05-28 10:59:19.385,0,217.6356782187597,203.0,188.3643217812403
HEIDELBCEM,2025-05-29,235.0,228.1,243.8,225.0,66818,15.766,847,4.8,12668.103,2025-05-29 10:59:19.963,0,223.9252476716682,204.79285714285714,185.6604666140461
HEIDELBCEM,2025-06-01,228.0,219.8,230.7,218.8,26799,5.917,321,-6.5,12888.467,2025-06-01 10:56:43.458,0,225.73571255169367,205.79333333333335,185.85095411497304
HEIDELBCEM,2025-06-02,218.1,211.7,220.0,210.3,35953,7.669,604,-4.8,12419.487,2025-06-02 10:56:24.681,0,225.68221759529322,206.1625,186.64278240470676
HEIDELBCEM,2025-06-03,212.1,208.7,218.7,208.2,14972,3.136,243,-3.0,11961.808,2025-06-03 10:56:26.146,0,225.28628413440157,206.31176470588235,187.33724527736314
HEIDELBCEM,2025-06-04,212.0,215.8,216.7,212.0,12959,2.785,265,7.1,11792.297,2025-06-04 10:56:56.569,0,225.78420656182314,206.83888888888887,187.8935712159546
