symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
HWAWELLTEX,2025-05-13,41.5,41.5,41.5,40.7,19,0.001,2,0.2,2268000000.0,2025-05-13 16:30:45.150,0,41.5,41.5,41.5
HWAWELLTEX,2025-05-14,40.3,40.2,40.3,40.2,605,0.024,4,-1.3,2324000000.0,2025-05-14 11:48:46.346,0,42.15,40.85,39.550000000000004
HWAWELLTEX,2025-05-15,39.8,39.8,40.7,39.5,45330,1.804,16,-0.7,2251200000.0,2025-05-15 09:15:09.110,0,41.951436070471814,40.5,39.048563929528186
HWAWELLTEX,2025-05-17,40.6,39.4,40.6,38.7,127,0.005,5,-0.4,2228.8,2025-05-17 09:34:09.614,0,41.80218102955875,40.225,38.64781897044125
HWAWELLTEX,2025-05-18,40.6,39.9,40.6,39.8,502,0.02,6,0.4,2206.4,2025-05-18 11:00:51.576,0,41.59443368616329,40.160000000000004,38.725566313836715
HWAWELLTEX,2025-05-19,39.8,39.7,40.3,39.4,2599,0.103,16,0.4,2234.4,2025-05-19 10:59:56.844,0,41.4369293669498,40.083333333333336,38.729737299716874
HWAWELLTEX,2025-05-20,39.3,40.0,40.1,39.2,21000,0.84,27,0.4,2223.2,2025-05-20 10:59:52.246,0,41.32597133714858,40.07142857142857,38.81688580570856
HWAWELLTEX,2025-05-21,39.8,40.1,40.3,39.8,200,0.008,3,0.3,2240.0,2025-05-21 11:20:57.035,0,41.24866945943055,40.075,38.901330540569454
HWAWELLTEX,2025-05-22,39.1,38.9,41.0,38.6,4256,0.166,22,0.2,2245.6,2025-05-22 11:00:32.702,0,41.2748115152974,39.94444444444444,38.614077373591485
HWAWELLTEX,2025-05-24,38.6,39.6,40.0,38.6,1986,0.079,5,0.6,2178.4,2025-05-24 11:20:09.702,0,41.18890578229986,39.910000000000004,38.631094217700145
HWAWELLTEX,2025-05-25,39.0,39.3,40.0,39.0,681,0.027,9,0.4,2217.6,2025-05-25 11:19:30.987,0,41.12337064162676,39.85454545454545,38.58572026746415
HWAWELLTEX,2025-05-26,39.1,39.7,40.0,39.1,325,0.013,13,0.2,2200.8,2025-05-26 11:00:27.324,0,41.05947435080878,39.84166666666667,38.62385898252456
HWAWELLTEX,2025-05-27,40.9,39.8,40.9,39.7,11,,3,,2223.2,2025-05-27 10:59:13.260,0,41.00870401573764,39.83846153846154,38.66821906118543
HWAWELLTEX,2025-05-28,38.6,39.4,39.6,38.6,115,0.005,3,-0.3,2228.8,2025-05-28 11:19:08.920,0,40.95720940357593,39.80714285714286,38.65707631070978
HWAWELLTEX,2025-05-29,40.9,40.3,40.9,39.0,879,0.035,12,-0.4,2206.4,2025-05-29 11:19:26.063,0,40.97795137564544,39.84,38.70204862435457
HWAWELLTEX,2025-06-02,40.0,40.1,40.4,40.0,310,0.012,7,0.3,2223.2,2025-06-02 10:59:48.477,0,40.96523320546346,39.85625,38.74726679453654
HWAWELLTEX,2025-06-03,40.1,40.0,40.1,39.9,170,0.007,6,-0.2,2245.6,2025-06-03 10:59:58.377,0,40.94270222954874,39.86470588235294,38.786709535157144
HWAWELLTEX,2025-06-04,40.1,40.1,40.2,40.0,1410,0.057,19,,2240.0,2025-06-04 11:00:21.475,0,40.93093294320647,39.87777777777777,38.824622612349074
