symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
IBNSINA,2025-05-13,290.0,289.1,291.0,288.8,6426,1.86,134,-2.3,9095020000.0,2025-05-13 16:27:39.787,0,289.1,289.1,289.1
IBNSINA,2025-05-14,289.0,287.8,290.0,287.3,10276,2.96,182,-1.3,9032533000.0,2025-05-14 11:45:47.507,0,289.7500000000001,288.45000000000005,287.15
IBNSINA,2025-05-15,291.9,286.8,291.9,286.4,9292,2.664,159,0.1,8991916000.0,2025-05-15 09:11:33.896,0,289.78325958557684,287.90000000000003,286.0167404144232
IBNSINA,2025-05-17,285.0,288.3,290.0,284.2,35475,10.17,188,-0.9,8960.672,2025-05-17 09:13:19.501,0,289.66733320005335,288.0,286.33266679994665
IBNSINA,2025-05-18,289.8,283.4,293.7,281.0,14487,4.135,184,-4.9,9007.538,2025-05-18 10:56:44.833,0,291.05069263479317,287.08000000000004,283.1093073652069
IBNSINA,2025-05-19,285.0,286.4,290.0,285.0,2548,0.728,52,3.0,8854.444,2025-05-19 10:56:24.933,0,290.62666059501623,286.96666666666664,283.30667273831705
IBNSINA,2025-05-20,286.4,284.7,290.2,282.1,13676,3.896,206,-1.4,8948.175,2025-05-20 10:56:20.166,0,290.38429635082764,286.64285714285717,282.9014179348867
IBNSINA,2025-05-21,285.0,285.2,288.7,285.0,3911,1.115,85,0.5,8895.061,2025-05-21 10:59:31.963,0,290.0900852850071,286.4625,282.83491471499286
IBNSINA,2025-05-22,285.8,285.7,288.0,285.0,3270,0.934,60,0.5,8910.682,2025-05-22 10:56:05.965,0,289.83131416534445,286.3777777777778,282.92424139021114
IBNSINA,2025-05-24,285.7,281.0,285.7,280.0,4759,1.339,76,-5.7,8926.304,2025-05-24 10:58:54.318,0,290.438434516224,285.84000000000003,281.24156548377607
IBNSINA,2025-05-25,278.1,281.4,282.7,278.1,5265,1.478,103,1.5,8779.459,2025-05-25 10:59:11.359,0,290.5098402835215,285.43636363636364,280.3628869892058
IBNSINA,2025-05-26,285.0,280.9,285.0,280.0,2306,0.65,50,-0.5,8791.957,2025-05-26 10:57:00.347,0,290.52487296600367,285.05833333333334,279.591793700663
IBNSINA,2025-05-27,285.0,280.9,285.0,280.0,2174,0.611,57,,8776.335,2025-05-27 10:56:07.681,0,290.4389546137819,284.73846153846154,279.03796846314117
IBNSINA,2025-05-28,280.1,280.0,281.0,280.0,11715,3.282,168,-0.9,8776.335,2025-05-28 10:58:31.066,0,290.41094240293717,284.4,278.3890575970628
IBNSINA,2025-05-29,282.6,283.9,285.0,279.0,5617,1.579,107,5.0,8748.216,2025-05-29 10:58:32.239,0,290.17914366781594,284.3666666666667,278.5541896655174
IBNSINA,2025-06-01,284.0,287.9,289.0,284.0,4060,1.164,129,4.0,8870.066,2025-06-01 10:56:32.670,0,290.46962334110736,284.5875,278.7053766588926
IBNSINA,2025-06-02,287.8,291.6,292.0,287.1,3114,0.901,82,4.1,8995.04,2025-06-02 10:56:14.146,0,291.5919737292452,285.0,278.4080262707548
IBNSINA,2025-06-03,289.0,290.9,291.7,288.5,7303,2.119,101,0.1,9110.642,2025-06-03 10:56:20.118,0,292.2808923654382,285.3277777777778,278.37466319011736
IBNSINA,2025-06-04,290.9,291.6,293.0,289.2,4140,1.206,124,2.1,9088.771,2025-06-04 10:56:51.742,0,292.80484688310236,285.46666666666664,278.1284864502309
