symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
IBP,2025-05-13,9.6,9.2,9.7,9.1,430637,4.013,256,-0.3,1103949000.0,2025-05-13 16:35:58.344,0,9.2,9.2,9.2
IBP,2025-05-14,9.2,9.0,9.3,9.0,121684,1.108,140,-0.2,1069088000.0,2025-05-14 11:54:30.375,0,9.299999999999999,9.1,8.9
IBP,2025-05-15,9.2,8.7,9.2,8.6,546723,4.819,261,-0.3,1045847000.0,2025-05-15 09:20:42.332,0,9.377627600197933,8.966666666666667,8.555705733135401
IBP,2025-05-17,8.9,9.1,9.2,8.5,473372,4.212,265,0.4,1010.985,2025-05-17 10:08:18.348,0,9.374165738677394,9.0,8.625834261322606
IBP,2025-05-18,9.2,9.0,9.4,8.9,531719,4.815,264,-0.1,1057.467,2025-05-18 11:07:03.287,0,9.334664010613631,9.0,8.665335989386369
IBP,2025-05-19,8.5,9.0,9.2,8.5,626181,5.624,279,,1045.847,2025-05-19 11:05:33.435,0,9.30550504633039,9.0,8.69449495366961
IBP,2025-05-20,9.0,9.4,9.7,9.0,1098219,10.306,574,0.4,1045.847,2025-05-20 11:06:07.153,0,9.455096807919546,9.057142857142857,8.659188906366168
IBP,2025-05-21,9.0,9.2,9.6,9.0,567187,5.259,270,-0.2,1092.329,2025-05-21 11:55:40.358,0,9.45905728739343,9.075,8.690942712606569
IBP,2025-05-22,9.3,9.2,9.5,9.1,377641,3.492,214,,1069.088,2025-05-22 11:08:46.232,0,9.459407377789624,9.088888888888889,8.718370399988153
IBP,2025-05-24,9.3,9.1,9.3,9.1,297414,2.73,155,-0.1,1069.088,2025-05-24 11:56:05.559,0,9.441567916624939,9.09,8.738432083375061
IBP,2025-05-25,9.2,9.1,9.4,9.1,525121,4.817,222,,1057.467,2025-05-25 11:55:02.577,0,9.426165252992469,9.090909090909092,8.755652928825715
IBP,2025-05-26,9.1,9.4,9.6,9.1,753837,7.076,346,0.4,1057.467,2025-05-26 11:06:05.203,0,9.48029040382119,9.116666666666665,8.75304292951214
IBP,2025-05-27,9.4,9.2,9.5,9.1,366881,3.397,172,-0.2,1092.329,2025-05-27 11:04:36.577,0,9.47524686591568,9.123076923076923,8.770906980238165
IBP,2025-05-28,9.4,9.3,9.7,9.1,1018934,9.537,443,0.1,1069.088,2025-05-28 11:53:35.981,0,9.487096396464253,9.135714285714284,8.784332174964316
IBP,2025-05-29,9.3,9.3,9.4,9.1,606834,5.607,232,,1080.708,2025-05-29 11:53:04.058,0,9.495888022765568,9.146666666666667,8.797445310567765
IBP,2025-06-01,9.4,9.3,9.4,9.2,338067,3.144,158,,1080.708,2025-06-01 11:07:15.096,0,9.502434560603156,9.15625,8.810065439396844
IBP,2025-06-02,9.4,9.2,9.4,9.2,366853,3.405,141,-0.1,1080.708,2025-06-02 11:05:46.991,0,9.495302344613531,9.158823529411764,8.822344714209997
IBP,2025-06-03,9.2,9.1,9.3,9.1,304912,2.781,138,-0.1,1069.088,2025-06-03 11:06:03.038,0,9.483662734671855,9.155555555555557,8.827448376439259
IBP,2025-06-04,9.2,9.1,9.2,9.0,363843,3.313,151,,1057.467,2025-06-04 11:06:30.055,0,9.478295260059872,9.15,8.82170473994013
