symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ICB,2025-05-13,44.8,44.2,44.8,43.9,54188,2.405,156,-0.4,38419572000.0,2025-05-13 16:30:32.363,0,44.2,44.2,44.2
ICB,2025-05-14,44.1,43.2,44.2,42.9,70203,3.047,210,-1.0,38332846000.0,2025-05-14 11:48:32.586,0,44.7,43.7,42.7
ICB,2025-05-15,43.4,41.9,43.4,41.6,55020,2.328,239,-1.3,37465587000.0,2025-05-15 09:14:58.810,0,44.98325958557675,43.1,41.216740414423256
ICB,2025-05-17,41.9,42.3,42.5,41.0,90865,3.796,265,0.3,36338.15,2025-05-17 09:32:38.665,0,44.67200451466694,42.9,41.12799548533306
ICB,2025-05-18,42.9,41.8,42.9,41.5,54885,2.307,222,-0.8,36685.054,2025-05-18 11:00:35.166,0,44.49284307097995,42.68,40.86715692902005
ICB,2025-05-19,42.4,40.8,42.4,40.0,132905,5.432,425,-1.0,36251.425,2025-05-19 10:59:54.384,0,44.53512746230542,42.36666666666667,40.198205871027916
ICB,2025-05-20,41.2,41.3,41.7,40.5,69747,2.863,191,0.5,35384.166,2025-05-20 10:59:40.228,0,44.35619026445615,42.214285714285715,40.07238116411528
ICB,2025-05-21,41.5,41.6,42.3,40.9,90667,3.772,261,0.6,35817.795,2025-05-21 11:20:10.828,0,44.181851975565856,42.1375,40.09314802443415
ICB,2025-05-22,41.4,41.5,42.1,41.3,73519,3.071,251,-0.1,36077.973,2025-05-22 11:00:21.193,0,44.03530974136446,42.06666666666667,40.09802359196888
ICB,2025-05-24,41.6,40.9,41.8,40.7,85311,3.51,262,-0.6,35991.247,2025-05-24 11:19:18.481,0,43.94449241663137,41.95,39.955507583368636
ICB,2025-05-25,40.8,41.3,41.6,40.8,87954,3.625,254,0.7,35470.892,2025-05-25 11:18:44.768,0,43.828957866830706,41.89090909090909,39.952860314987475
ICB,2025-05-26,41.3,41.7,42.0,41.2,105555,4.391,353,0.4,35817.795,2025-05-26 11:00:18.554,0,43.73353885261156,41.875,40.01646114738844
ICB,2025-05-27,42.0,45.8,45.8,42.0,218554,9.865,396,4.1,36164.699,2025-05-27 10:58:39.832,0,44.927200093632315,42.176923076923075,39.426646060213834
ICB,2025-05-28,47.5,43.1,48.0,41.7,473546,21.23,1066,-2.7,39720.46,2025-05-28 11:17:33.704,0,44.93540164914991,42.24285714285714,39.55031263656437
ICB,2025-05-29,43.6,45.5,46.0,42.2,259638,11.572,767,2.4,37378.861,2025-05-29 11:15:52.727,0,45.52707243692309,42.46,39.39292756307691
ICB,2025-06-01,46.3,44.9,46.3,44.5,112689,5.091,387,-0.4,39460.283,2025-06-01 10:59:55.787,0,45.80849358572573,42.6125,39.41650641427427
ICB,2025-06-02,45.3,47.3,48.0,44.4,436647,20.361,949,2.4,38939.927,2025-06-02 10:59:15.612,0,46.69342206572059,42.88823529411765,39.08304852251471
ICB,2025-06-03,47.3,45.6,47.6,45.4,211037,9.751,533,-1.7,41021.349,2025-06-03 10:59:28.752,0,46.93996503038221,43.03888888888889,39.13781274739557
ICB,2025-06-04,45.5,46.3,46.6,45.3,154289,7.107,415,0.7,39547.009,2025-06-04 10:59:42.745,0,47.30617651162799,43.15555555555555,39.004934599483114
