symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ICB3RDNRB,2025-05-13,5.5,5.1,5.5,5.0,1563652,8.028,172,-0.4,550000000.0,2025-05-13 16:37:24.884,0,5.1,5.1,5.1
ICB3RDNRB,2025-05-14,5.1,5.0,5.3,5.0,876155,4.467,136,-0.1,510000000.0,2025-05-14 11:56:11.770,0,5.1499999999999995,5.05,4.95
ICB3RDNRB,2025-05-15,5.2,4.8,5.2,4.8,286394,1.391,62,-0.2,500000000.0,2025-05-15 09:22:23.132,0,5.2161104924515955,4.966666666666666,4.717222840881736
ICB3RDNRB,2025-05-17,5.0,4.9,5.0,4.7,435521,2.123,181,0.1,480.0,2025-05-17 10:18:30.395,0,5.173606797749979,4.95,4.726393202250021
ICB3RDNRB,2025-05-18,5.0,4.7,5.0,4.6,757678,3.615,135,-0.2,490.0,2025-05-18 11:09:01.590,0,5.18284271247462,4.9,4.617157287525381
ICB3RDNRB,2025-05-19,4.7,4.5,4.7,4.5,143160,0.655,37,-0.2,470.0,2025-05-19 11:07:34.325,0,5.227738652206641,4.833333333333333,4.438928014460025
ICB3RDNRB,2025-05-20,4.6,4.6,4.6,4.5,125284,0.572,26,0.1,450.0,2025-05-20 11:08:12.601,0,5.2,4.8,4.3999999999999995
ICB3RDNRB,2025-05-21,4.7,4.8,5.0,4.7,373946,1.817,65,0.2,460.0,2025-05-21 12:06:04.496,0,5.174165738677394,4.8,4.425834261322605
ICB3RDNRB,2025-05-22,4.8,4.7,4.8,4.6,96924,0.455,36,-0.1,480.0,2025-05-22 11:11:02.799,0,5.147211455479936,4.788888888888889,4.4305663222978415
ICB3RDNRB,2025-05-24,4.6,4.6,4.6,4.5,40270,0.185,10,-0.1,470.0,2025-05-24 12:07:03.805,0,5.12832945734338,4.7700000000000005,4.411670542656621
ICB3RDNRB,2025-05-25,4.6,4.7,4.7,4.6,83370,0.39,22,0.1,460.0,2025-05-25 12:05:19.712,0,5.107652507789537,4.763636363636364,4.41962021948319
ICB3RDNRB,2025-05-26,4.7,4.7,4.8,4.6,143500,0.674,29,,470.0,2025-05-26 11:08:04.976,0,5.089576781905865,4.758333333333334,4.427089884760803
ICB3RDNRB,2025-05-27,4.7,4.7,4.8,4.7,453662,2.133,28,,470.0,2025-05-27 11:06:34.252,0,5.07360937985887,4.753846153846154,4.434082927833438
ICB3RDNRB,2025-05-28,4.7,4.7,4.8,4.6,219602,1.031,34,-0.1,470.0,2025-05-28 12:04:04.935,0,5.059377254681539,4.75,4.440622745318461
ICB3RDNRB,2025-05-29,4.8,4.8,4.8,4.7,65292,0.312,24,0.1,470.0,2025-05-29 12:03:18.704,0,5.0532592501120535,4.753333333333333,4.4534074165546125
ICB3RDNRB,2025-06-01,4.9,4.9,5.0,4.8,151600,0.741,38,0.1,480.0,2025-06-01 11:08:58.911,0,5.061456518577536,4.7625,4.463543481422464
ICB3RDNRB,2025-06-02,5.0,4.9,5.0,4.8,22790,0.111,16,,490.0,2025-06-02 11:07:18.610,0,5.067748963301532,4.770588235294118,4.473427507286703
ICB3RDNRB,2025-06-03,4.9,4.8,4.9,4.7,4033,0.019,5,,490.0,2025-06-03 11:08:08.975,0,5.061324707361282,4.772222222222222,4.483119737083162
ICB3RDNRB,2025-06-04,4.9,4.8,4.9,4.7,1911,0.009,9,,480.0,2025-06-04 11:08:10.448,0,4.9979713803252395,4.755555555555556,4.513139730785873
