symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ICBAGRANI1,2025-05-13,7.4,7.1,7.4,7.0,26109,0.185,27,-0.4,726317000.0,2025-05-13 16:36:37.793,0,7.1,7.1,7.1
ICBAGRANI1,2025-05-14,7.3,7.1,7.3,7.0,23447,0.167,50,,696872000.0,2025-05-14 11:55:10.177,0,7.1,7.1,7.1
ICBAGRANI1,2025-05-15,7.2,6.9,7.2,6.8,24306,0.17,25,-0.3,696872000.0,2025-05-15 09:21:24.438,0,7.221895141649746,7.033333333333334,6.844771525016922
ICBAGRANI1,2025-05-17,6.9,6.9,7.0,6.8,11510,0.079,13,,677.242,2025-05-17 10:13:38.488,0,7.199999999999999,7.0,6.800000000000001
ICBAGRANI1,2025-05-18,7.0,6.9,7.0,6.9,3012,0.021,6,,677.242,2025-05-18 11:07:49.354,0,7.175959179422653,6.9799999999999995,6.784040820577346
ICBAGRANI1,2025-05-19,7.0,6.8,7.0,6.8,49443,0.337,26,-0.1,677.242,2025-05-19 11:06:21.203,0,7.173606797749979,6.95,6.726393202250021
ICBAGRANI1,2025-05-20,6.8,6.8,6.8,6.7,27000,0.184,18,,667.427,2025-05-20 11:07:12.686,0,7.160686811561027,6.928571428571429,6.69645604558183
ICBAGRANI1,2025-05-21,7.1,7.0,7.1,7.0,21600,0.152,16,0.2,667.427,2025-05-21 12:00:26.649,0,7.15970486043289,6.9375,6.71529513956711
ICBAGRANI1,2025-05-22,7.0,6.8,7.0,6.8,13800,0.094,12,-0.2,687.057,2025-05-22 11:10:00.751,0,7.148845311715235,6.922222222222222,6.695599132729209
ICBAGRANI1,2025-05-24,6.8,6.8,6.8,6.8,3500,0.024,5,,667.427,2025-05-24 12:01:14.243,0,7.13715633383201,6.909999999999999,6.682843666167988
ICBAGRANI1,2025-05-25,6.8,6.7,6.8,6.7,4700,0.032,7,-0.1,667.427,2025-05-25 12:00:02.719,0,7.138876030854288,6.890909090909091,6.6429421509638935
ICBAGRANI1,2025-05-26,6.7,6.7,6.7,6.7,62200,0.417,46,,657.612,2025-05-26 11:07:01.727,0,7.134807621135332,6.875,6.615192378864668
ICBAGRANI1,2025-05-27,6.7,6.7,6.7,6.7,35900,0.241,31,,657.612,2025-05-27 11:05:27.978,0,7.128007816549059,6.861538461538462,6.595069106527865
ICBAGRANI1,2025-05-28,6.7,6.6,6.7,6.6,39500,0.261,22,-0.1,657.612,2025-05-28 11:59:26.961,0,7.1328254732883485,6.8428571428571425,6.552888812425937
ICBAGRANI1,2025-05-29,6.7,6.7,6.7,6.6,21380,0.143,45,0.1,647.797,2025-05-29 11:57:54.181,0,7.12239311184905,6.833333333333333,6.544273554817616
ICBAGRANI1,2025-06-01,6.7,6.7,6.7,6.7,16800,0.113,20,,657.612,2025-06-01 11:08:05.687,0,7.112228132326901,6.825,6.537771867673099
ICBAGRANI1,2025-06-02,6.6,6.6,6.7,6.6,3520,0.023,6,,657.612,2025-06-02 11:06:35.823,0,7.10985551668988,6.811764705882353,6.513673895074826
ICBAGRANI1,2025-06-03,6.8,6.5,6.8,6.5,97020,0.636,51,-0.1,647.797,2025-06-03 11:06:58.594,0,7.117432041194413,6.794444444444444,6.471456847694475
ICBAGRANI1,2025-06-04,6.6,6.6,6.6,6.6,3200,0.021,7,0.1,637.982,2025-06-04 11:07:14.948,0,7.0648090636666385,6.7666666666666675,6.4685242696666965
