symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ICBEPMF1S1,2025-05-13,5.6,5.4,5.6,5.3,195357,1.062,37,-0.2,420000000.0,2025-05-13 16:37:18.471,0,5.4,5.4,5.4
ICBEPMF1S1,2025-05-14,5.4,5.3,5.4,5.2,74932,0.397,23,-0.1,405000000.0,2025-05-14 11:56:02.983,0,5.449999999999999,5.35,5.25
ICBEPMF1S1,2025-05-15,5.2,5.2,5.3,5.1,53315,0.279,23,-0.2,397500000.0,2025-05-15 09:22:18.291,0,5.4632993161855445,5.3,5.136700683814455
ICBEPMF1S1,2025-05-17,5.0,5.1,5.3,5.0,13250,0.067,11,,390.0,2025-05-17 10:17:46.975,0,5.473606797749979,5.25,5.026393202250021
ICBEPMF1S1,2025-05-18,5.4,5.2,5.5,5.1,71715,0.373,21,,382.5,2025-05-18 11:08:49.108,0,5.443960780543712,5.24,5.036039219456288
ICBEPMF1S1,2025-05-19,5.4,5.1,5.4,5.1,26458,0.135,11,-0.1,390.0,2025-05-19 11:07:14.793,0,5.430104141247762,5.216666666666667,5.003229192085572
ICBEPMF1S1,2025-05-20,5.1,5.2,5.3,5.1,67417,0.349,17,0.1,382.5,2025-05-20 11:07:58.179,0,5.412234378007872,5.214285714285714,5.016337050563557
ICBEPMF1S1,2025-05-21,5.3,5.3,5.5,5.3,133319,0.708,42,0.1,390.0,2025-05-21 12:05:12.233,0,5.41864916731037,5.225,5.031350832689629
ICBEPMF1S1,2025-05-22,5.5,5.3,5.6,5.2,31776,0.169,13,-0.1,397.5,2025-05-22 11:10:50.413,0,5.421895141649746,5.233333333333333,5.0447715250169205
ICBEPMF1S1,2025-05-24,5.3,5.2,5.3,5.2,56000,0.293,11,-0.1,397.5,2025-05-24 12:05:23.512,0,5.409999999999999,5.2299999999999995,5.05
ICBEPMF1S1,2025-05-25,5.1,5.1,5.2,5.1,35500,0.183,8,-0.1,390.0,2025-05-25 12:04:01.755,0,5.4053750934724905,5.218181818181818,5.030988542891145
ICBEPMF1S1,2025-05-26,5.2,5.1,5.2,5.0,62369,0.318,21,,382.5,2025-05-26 11:07:54.924,0,5.399092052370993,5.208333333333333,5.017574614295673
ICBEPMF1S1,2025-05-27,5.3,5.1,5.3,5.0,35128,0.178,14,,382.5,2025-05-27 11:06:16.681,0,5.392153784566104,5.199999999999999,5.0078462154338945
ICBEPMF1S1,2025-05-28,5.1,5.0,5.1,4.9,43532,0.218,24,-0.1,382.5,2025-05-28 12:03:19.915,0,5.397605671059876,5.185714285714285,4.9738229003686945
ICBEPMF1S1,2025-05-29,4.9,5.1,5.1,4.9,27752,0.139,24,0.1,375.0,2025-05-29 12:02:29.764,0,5.389125161884776,5.180000000000001,4.9708748381152255
ICBEPMF1S1,2025-06-01,5.2,5.0,5.2,5.0,92201,0.461,9,,382.5,2025-06-01 11:08:50.589,0,5.389189901106856,5.16875,4.9483100988931445
ICBEPMF1S1,2025-06-02,5.2,5.0,5.2,5.0,67453,0.339,11,0.1,375.0,2025-06-02 11:07:11.640,0,5.3869496403490045,5.158823529411765,4.930697418474526
ICBEPMF1S1,2025-06-03,5.2,5.2,5.2,5.0,201513,1.047,10,,375.0,2025-06-03 11:07:59.237,0,5.383610937716676,5.161111111111111,4.938611284505547
ICBEPMF1S1,2025-06-04,5.0,5.1,5.1,5.0,38505,0.196,4,-0.1,390.0,2025-06-04 11:08:04.634,0,5.335607228156503,5.144444444444444,4.953281660732385
