symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ICBSONALI1,2025-05-13,6.6,6.1,6.7,6.1,2564623,16.225,668,-0.6,670000000.0,2025-05-13 16:36:59.921,0,6.1,6.1,6.1
ICBSONALI1,2025-05-14,6.2,6.1,6.5,6.0,1951823,12.127,491,,610000000.0,2025-05-14 11:55:35.128,0,6.1,6.1,6.1
ICBSONALI1,2025-05-15,6.2,5.9,6.3,5.9,1306546,7.843,302,-0.2,610000000.0,2025-05-15 09:21:53.971,0,6.221895141649746,6.033333333333334,5.844771525016922
ICBSONALI1,2025-05-17,6.1,6.0,6.1,5.7,1045621,6.229,346,0.1,590.0,2025-05-17 10:16:01.429,0,6.19083123951777,6.025,5.8591687604822305
ICBSONALI1,2025-05-18,6.1,5.9,6.3,5.8,2048854,12.459,398,-0.1,600.0,2025-05-18 11:08:22.693,0,6.178885438199982,6.0,5.821114561800018
ICBSONALI1,2025-05-19,6.1,5.8,6.1,5.6,1114632,6.496,325,-0.1,590.0,2025-05-19 11:06:52.770,0,6.187774986023692,5.966666666666666,5.74555834730964
ICBSONALI1,2025-05-20,5.8,5.8,5.9,5.7,1119504,6.444,303,,580.0,2025-05-20 11:07:44.327,0,6.178463178606724,5.942857142857143,5.707251107107562
ICBSONALI1,2025-05-21,6.0,6.0,6.2,5.9,1607085,9.749,373,0.2,580.0,2025-05-21 12:03:13.389,0,6.173606797749979,5.95,5.726393202250021
ICBSONALI1,2025-05-22,6.1,5.9,6.1,5.8,770625,4.56,173,-0.1,600.0,2025-05-22 11:10:30.547,0,6.157592512147232,5.944444444444445,5.731296376741657
ICBSONALI1,2025-05-24,5.8,5.7,5.9,5.7,1035493,5.93,264,-0.2,590.0,2025-05-24 12:03:47.313,0,6.169799919935936,5.92,5.670200080064064
ICBSONALI1,2025-05-25,5.8,5.8,5.9,5.6,1273474,7.308,267,0.1,570.0,2025-05-25 12:02:02.623,0,6.157057849036106,5.909090909090909,5.661123969145712
ICBSONALI1,2025-05-26,5.8,5.8,5.9,5.7,738587,4.269,170,,580.0,2025-05-26 11:07:20.440,0,6.144948974278317,5.8999999999999995,5.655051025721682
ICBSONALI1,2025-05-27,5.8,5.6,5.9,5.5,1274806,7.22,303,-0.2,580.0,2025-05-27 11:05:59.230,0,6.161434492444723,5.876923076923077,5.592411661401432
ICBSONALI1,2025-05-28,5.8,5.5,5.8,5.5,1110336,6.148,223,-0.1,560.0,2025-05-28 12:01:45.166,0,6.185942171894425,5.8500000000000005,5.514057828105576
ICBSONALI1,2025-05-29,5.5,5.6,5.8,5.5,2158772,12.128,392,0.3,550.0,2025-05-29 12:00:11.862,0,6.181024128277475,5.833333333333333,5.485642538389191
ICBSONALI1,2025-06-01,5.7,5.5,5.7,5.5,907095,5.038,197,-0.1,560.0,2025-06-01 11:08:37.135,0,6.185829613076702,5.8125,5.439170386923298
ICBSONALI1,2025-06-02,5.6,5.6,5.7,5.5,642995,3.59,171,0.1,550.0,2025-06-02 11:06:59.419,0,6.1757345746510905,5.8,5.424265425348909
ICBSONALI1,2025-06-03,5.7,5.4,5.7,5.3,2066657,11.276,278,-0.2,560.0,2025-06-03 11:07:34.816,0,6.186328362463339,5.777777777777778,5.369227193092216
ICBSONALI1,2025-06-04,5.5,5.6,5.6,5.5,578803,3.224,163,0.2,540.0,2025-06-04 11:07:51.716,0,6.134418753155694,5.75,5.365581246844306
