symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ICICL,2025-05-13,22.5,21.9,22.6,21.8,220180,4.904,282,-0.3,1124491000.0,2025-05-13 16:32:55.300,0,21.9,21.9,21.9
ICICL,2025-05-14,21.7,21.0,21.8,20.9,176955,3.773,297,-0.9,1109296000.0,2025-05-14 11:51:15.538,0,22.349999999999998,21.45,20.55
ICICL,2025-05-15,20.5,20.8,21.2,20.5,96010,1.989,201,-0.2,1063708000.0000001,2025-05-15 09:17:30.812,0,22.190180006293822,21.233333333333334,20.276486660372846
ICICL,2025-05-17,20.5,20.9,21.0,20.3,71889,1.482,176,0.1,1053.578,2025-05-17 09:49:28.553,0,22.02749643873921,21.15,20.272503561260788
ICICL,2025-05-18,20.7,20.7,21.7,20.5,107863,2.29,225,-0.2,1058.643,2025-05-18 11:03:48.322,0,21.923481325796914,21.06,20.196518674203084
ICICL,2025-05-19,20.7,20.9,21.1,20.6,39360,0.821,70,,1048.512,2025-05-19 11:02:26.568,0,21.83055071620676,21.03333333333333,20.236115950459904
ICICL,2025-05-20,20.6,20.6,21.1,20.4,68474,1.411,168,-0.3,1058.643,2025-05-20 11:02:52.565,0,21.769385145358225,20.97142857142857,20.17347199749892
ICICL,2025-05-21,21.0,20.8,21.1,20.5,113579,2.358,156,0.2,1043.447,2025-05-21 11:36:46.937,0,21.704983443527073,20.95,20.195016556472925
ICICL,2025-05-22,20.8,20.6,21.0,20.5,71993,1.487,131,-0.2,1053.578,2025-05-22 11:03:13.098,0,21.656135760632896,20.91111111111111,20.166086461589327
ICICL,2025-05-24,20.5,20.1,21.1,20.1,59500,1.209,150,-0.5,1043.447,2025-05-24 11:36:46.431,0,21.688137518117,20.830000000000002,19.971862481883004
ICICL,2025-05-25,20.3,19.8,20.4,19.8,75597,1.509,217,-0.3,1018.121,2025-05-25 11:36:36.652,0,21.746395957260447,20.736363636363635,19.726331315466823
ICICL,2025-05-26,19.8,19.8,20.3,19.6,32234,0.638,121,0.2,1002.925,2025-05-26 11:03:16.481,0,21.75517222558486,20.658333333333335,19.56149444108181
ICICL,2025-05-27,20.1,19.9,20.2,19.8,46104,0.923,93,0.1,1002.925,2025-05-27 11:02:02.347,0,21.728647931751155,20.6,19.471352068248848
ICICL,2025-05-28,19.8,19.6,20.0,19.5,44472,0.876,113,-0.3,1007.99,2025-05-28 11:35:35.852,0,21.731967982208726,20.52857142857143,19.32517487493413
ICICL,2025-05-29,19.4,19.5,19.8,19.4,76902,1.5,113,,992.794,2025-05-29 11:36:41.784,0,21.73080027279401,20.459999999999997,19.189199727205985
ICICL,2025-06-01,19.6,19.7,20.0,19.5,21425,0.422,49,0.3,987.729,2025-06-01 11:04:04.416,0,21.696779953904134,20.4125,19.12822004609587
ICICL,2025-06-02,19.6,20.0,20.3,19.6,35218,0.7,82,0.3,997.859,2025-06-02 11:02:50.395,0,21.649201035950522,20.38823529411765,19.127269552284776
ICICL,2025-06-03,20.0,19.8,20.0,19.7,36981,0.734,59,-0.2,1013.055,2025-06-03 11:02:34.523,0,21.610275041199387,20.355555555555554,19.100836069911722
ICICL,2025-06-04,20.0,20.0,20.2,19.5,114583,2.26,128,0.2,1002.925,2025-06-04 11:03:14.948,0,21.263793755049704,20.25,19.236206244950296
