symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
IFIC,2025-05-13,6.8,6.5,6.8,6.4,4726963,31.3,634,-0.2,12877981000.0,2025-05-13 16:36:48.225,0,6.5,6.5,6.5
IFIC,2025-05-14,6.5,6.3,6.5,6.3,1814597,11.593,312,-0.2,12493563000.0,2025-05-14 11:55:30.128,0,6.600000000000001,6.4,6.199999999999999
IFIC,2025-05-15,6.3,6.2,6.4,6.2,4587598,28.633,579,-0.1,12109146000.0,2025-05-15 09:21:42.161,0,6.582777159118263,6.333333333333333,6.083889507548403
IFIC,2025-05-17,6.3,6.3,6.4,6.1,1201844,7.524,253,0.1,11916.937,2025-05-17 10:14:30.393,0,6.542944947177034,6.325,6.107055052822966
IFIC,2025-05-18,6.3,6.2,6.4,6.2,1309693,8.181,245,-0.1,12109.146,2025-05-18 11:08:12.208,0,6.519089023002067,6.3,6.080910976997933
IFIC,2025-05-19,6.2,6.2,6.3,6.1,2754323,17.034,315,,11916.937,2025-05-19 11:06:38.334,0,6.496770807914429,6.283333333333334,6.069895858752239
IFIC,2025-05-20,6.2,6.2,6.3,6.1,3141631,19.399,286,,11916.937,2025-05-20 11:07:26.708,0,6.477460072883656,6.271428571428571,6.0653970699734865
IFIC,2025-05-21,6.2,6.2,6.3,6.1,1315371,8.119,241,,11916.937,2025-05-21 12:02:27.380,0,6.4609313483298445,6.2625,6.064068651670156
IFIC,2025-05-22,6.2,6.1,6.3,6.1,1580228,9.756,207,-0.1,11916.937,2025-05-22 11:10:14.620,0,6.457592512147232,6.2444444444444445,6.031296376741657
IFIC,2025-05-24,6.1,6.0,6.2,5.9,4467126,26.908,457,-0.1,11724.729,2025-05-24 12:02:58.667,0,6.469799919935936,6.220000000000001,5.970200080064065
IFIC,2025-05-25,6.1,5.9,6.1,5.9,1511402,9.05,303,-0.1,11532.52,2025-05-25 12:01:38.195,0,6.491871733768124,6.1909090909090905,5.889946448050057
IFIC,2025-05-26,5.9,5.8,6.0,5.8,1992188,11.693,379,-0.1,11340.311,2025-05-26 11:07:18.796,0,6.518503046416239,6.158333333333334,5.798163620250429
IFIC,2025-05-27,5.8,5.9,6.2,5.7,12715294,75.141,1311,0.1,11148.103,2025-05-27 11:05:52.450,0,6.510883644212621,6.138461538461538,5.766039432710455
IFIC,2025-05-28,6.0,5.7,6.0,5.6,2975188,17.21,522,-0.2,11340.311,2025-05-28 12:00:38.374,0,6.531166345133023,6.107142857142857,5.68311936915269
IFIC,2025-05-29,5.7,5.7,5.8,5.4,9699564,54.002,911,,10955.894,2025-05-29 12:00:35.986,0,6.537238085319526,6.08,5.622761914680474
IFIC,2025-06-01,5.6,5.6,5.7,5.4,4238690,23.425,575,-0.1,10955.894,2025-06-01 11:08:31.164,0,6.55,6.05,5.55
IFIC,2025-06-02,5.6,5.7,5.8,5.6,3249339,18.515,416,0.1,10763.685,2025-06-02 11:06:56.485,0,6.541683318990052,6.029411764705882,5.517140210421712
IFIC,2025-06-03,5.7,5.6,5.7,5.5,2016177,11.301,346,-0.1,10955.894,2025-06-03 11:07:26.783,0,6.540852865353151,6.0055555555555555,5.47025824575796
IFIC,2025-06-04,5.6,5.7,5.7,5.6,937466,5.272,190,0.1,10763.685,2025-06-04 11:07:43.882,0,6.456148209109899,5.961111111111111,5.4660740131123235
