symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
IFIC1STMF,2025-05-13,4.6,4.2,4.6,4.1,4934671,20.976,464,-0.3,819756000.0,2025-05-13 16:37:45.672,0,4.2,4.2,4.2
IFIC1STMF,2025-05-14,4.2,4.1,4.4,4.0,4329919,18.042,322,,765105000.0,2025-05-14 11:56:34.293,0,4.250000000000002,4.15,4.049999999999999
IFIC1STMF,2025-05-15,4.1,4.0,4.2,3.9,1874715,7.536,247,-0.1,746889000.0,2025-05-15 09:22:51.157,0,4.263299316185547,4.1000000000000005,3.9367006838144545
IFIC1STMF,2025-05-17,3.9,4.1,4.1,3.8,2276962,9.151,244,0.1,728.672,2025-05-17 10:20:43.556,0,4.24142135623731,4.1,3.9585786437626895
IFIC1STMF,2025-05-18,4.2,3.8,4.2,3.8,2858877,11.267,230,-0.3,746.889,2025-05-18 11:09:33.274,0,4.311293199325012,4.04,3.7687068006749884
IFIC1STMF,2025-05-19,4.0,3.6,4.0,3.5,3289124,12.014,259,-0.2,692.238,2025-05-19 11:08:10.843,0,4.377627600197933,3.966666666666667,3.5557057331354014
IFIC1STMF,2025-05-20,3.6,3.6,3.7,3.5,1317485,4.727,201,,655.805,2025-05-20 11:08:47.230,0,4.373210811548829,3.914285714285714,3.4553606170225994
IFIC1STMF,2025-05-21,3.7,3.8,3.9,3.7,2885326,11.016,237,0.2,655.805,2025-05-21 12:09:15.675,0,4.335889894354068,3.9,3.4641101056459322
IFIC1STMF,2025-05-22,3.9,3.6,3.9,3.6,1437060,5.293,132,-0.2,692.238,2025-05-22 11:11:32.647,0,4.318821998875018,3.8666666666666663,3.4145113344583145
IFIC1STMF,2025-05-24,3.7,3.6,3.7,3.5,1501463,5.397,167,,655.805,2025-05-24 12:10:33.186,0,4.2978209256903845,3.84,3.3821790743096156
IFIC1STMF,2025-05-25,3.7,3.7,3.8,3.6,1630182,6.027,103,0.1,655.805,2025-05-25 12:08:08.346,0,4.271147476935772,3.8272727272727276,3.3833979776096834
IFIC1STMF,2025-05-26,3.7,3.7,3.8,3.7,1331085,4.93,139,,674.021,2025-05-26 11:08:41.320,0,4.24742826611067,3.8166666666666664,3.385905067222663
IFIC1STMF,2025-05-27,3.7,3.7,3.8,3.7,849935,3.149,86,,674.021,2025-05-27 11:07:07.819,0,4.226199092576476,3.8076923076923075,3.38918552280814
IFIC1STMF,2025-05-28,3.8,3.7,3.8,3.6,934946,3.453,90,,674.021,2025-05-28 12:07:33.412,0,4.2070801956792865,3.8000000000000003,3.392919804320714
IFIC1STMF,2025-05-29,3.7,3.7,3.8,3.6,731435,2.706,78,0.1,674.021,2025-05-29 12:05:46.035,0,4.189761833261827,3.7933333333333334,3.3969048334048395
IFIC1STMF,2025-06-01,3.7,3.7,3.8,3.7,639524,2.399,80,,674.021,2025-06-01 11:09:38.216,0,4.173990620843508,3.7875,3.401009379156492
IFIC1STMF,2025-06-02,3.7,3.7,3.8,3.7,633917,2.357,76,0.1,674.021,2025-06-02 11:07:57.072,0,4.159558106867798,3.7823529411764705,3.405147775485143
IFIC1STMF,2025-06-03,3.8,3.8,3.8,3.7,1052597,3.909,80,0.1,674.021,2025-06-03 11:08:37.041,0,4.15,3.783333333333333,3.416666666666666
IFIC1STMF,2025-06-04,3.8,3.8,3.8,3.7,153334,0.581,54,,692.238,2025-06-04 11:08:50.607,0,4.067624760536305,3.761111111111111,3.454597461685917
