symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
IFILISLMF1,2025-05-13,5.0,4.8,5.0,4.5,953646,4.495,204,-0.1,490000000.0,2025-05-13 16:37:30.661,0,4.8,4.8,4.8
IFILISLMF1,2025-05-14,4.6,4.7,4.9,4.6,411339,1.925,112,-0.1,480000000.0,2025-05-14 11:56:23.795,0,4.85,4.75,4.65
IFILISLMF1,2025-05-15,4.7,4.6,4.8,4.5,472272,2.147,99,-0.1,470000000.0,2025-05-15 09:22:30.147,0,4.863299316185546,4.7,4.536700683814455
IFILISLMF1,2025-05-17,4.5,4.6,4.6,4.4,329021,1.481,55,,460.0,2025-05-17 10:19:32.862,0,4.840831239517771,4.675,4.509168760482229
IFILISLMF1,2025-05-18,4.6,4.4,4.7,4.4,421837,1.891,74,-0.2,460.0,2025-05-18 11:09:12.580,0,4.8853299832284325,4.62,4.354670016771568
IFILISLMF1,2025-05-19,4.4,4.3,4.5,4.3,514307,2.221,111,-0.1,440.0,2025-05-19 11:07:49.862,0,4.9066013009061855,4.566666666666666,4.226732032427147
IFILISLMF1,2025-05-20,4.4,4.4,4.4,4.3,195966,0.853,40,0.1,430.0,2025-05-20 11:08:17.861,0,4.8784954321277345,4.542857142857143,4.207218853586551
IFILISLMF1,2025-05-21,4.5,4.5,4.7,4.4,637127,2.892,98,0.2,440.0,2025-05-21 12:07:15.987,0,4.852738005322962,4.5375,4.222261994677037
IFILISLMF1,2025-05-22,4.5,4.5,4.6,4.4,285208,1.283,47,,450.0,2025-05-22 11:11:05.722,0,4.831475730333305,4.533333333333333,4.235190936333361
IFILISLMF1,2025-05-24,4.4,4.3,4.4,4.3,77002,0.334,56,-0.2,450.0,2025-05-24 12:08:34.340,0,4.82559467676119,4.51,4.19440532323881
IFILISLMF1,2025-05-25,4.3,4.3,4.4,4.2,273246,1.157,84,,430.0,2025-05-25 12:06:36.364,0,4.815137354547764,4.490909090909091,4.166680827270419
IFILISLMF1,2025-05-26,4.3,4.3,4.4,4.2,46046,0.198,23,,430.0,2025-05-26 11:08:21.764,0,4.802871926215101,4.4750000000000005,4.1471280737849
IFILISLMF1,2025-05-27,4.2,4.2,4.3,4.2,95141,0.405,29,-0.1,430.0,2025-05-27 11:06:51.581,0,4.80127968586573,4.453846153846154,4.106412621826578
IFILISLMF1,2025-05-28,4.2,4.2,4.3,4.2,202608,0.852,40,0.1,420.0,2025-05-28 12:04:29.561,0,4.795135589297403,4.435714285714286,4.076292982131169
IFILISLMF1,2025-05-29,4.3,4.4,4.5,4.3,168594,0.732,44,0.2,420.0,2025-05-29 12:04:06.623,0,4.781024128277474,4.433333333333334,4.085642538389193
IFILISLMF1,2025-06-01,4.4,4.4,4.5,4.4,149310,0.657,32,,440.0,2025-06-01 11:09:07.156,0,4.768286719067819,4.43125,4.094213280932181
IFILISLMF1,2025-06-02,4.5,4.5,4.5,4.4,197858,0.877,29,0.1,440.0,2025-06-02 11:07:23.080,0,4.763864471618093,4.435294117647059,4.106723763676025
IFILISLMF1,2025-06-03,4.5,4.4,4.5,4.3,181959,0.802,37,-0.1,450.0,2025-06-03 11:08:17.764,0,4.753055434887514,4.433333333333334,4.113611231779153
IFILISLMF1,2025-06-04,4.4,4.5,4.6,4.4,154565,0.69,34,0.1,440.0,2025-06-04 11:08:17.265,0,4.685408591609951,4.416666666666667,4.147924741723383
