symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ILFSL,2025-05-13,3.2,3.2,3.3,3.1,18241,0.058,11,,731974000.0,2025-05-13 16:38:28.904,0,3.2,3.2,3.2
ILFSL,2025-05-14,3.3,3.1,3.3,3.1,38651,0.12,35,0.1,709793000.0,2025-05-14 11:57:08.685,0,3.250000000000001,3.1500000000000004,3.05
ILFSL,2025-05-15,3.1,3.0,3.2,3.0,207852,0.637,46,-0.1,687612000.0,2025-05-15 09:23:34.511,0,3.2632993161855457,3.1,2.9367006838144545
ILFSL,2025-05-17,3.0,3.3,3.3,3.0,107574,0.349,53,0.3,665.431,2025-05-17 10:24:20.900,0,3.373606797749979,3.15,2.9263932022500208
ILFSL,2025-05-18,3.4,3.6,3.6,3.4,2299533,8.262,186,0.3,731.974,2025-05-18 11:09:49.690,0,3.65182520563948,3.2399999999999998,2.8281747943605193
ILFSL,2025-05-19,3.7,3.7,3.8,3.5,308136,1.137,67,0.2,798.517,2025-05-19 11:07:59.923,0,3.8254779174157916,3.3166666666666664,2.8078554159175413
ILFSL,2025-05-20,3.7,3.7,3.7,3.5,35640,0.129,34,-0.1,820.698,2025-05-20 11:08:43.770,0,3.9135333131717225,3.3714285714285714,2.8293238296854204
ILFSL,2025-05-21,3.4,3.5,3.6,3.4,31509,0.111,29,-0.2,820.698,2025-05-21 12:11:08.889,0,3.901674095030079,3.3875,2.8733259049699216
ILFSL,2025-05-22,3.4,3.4,3.6,3.3,87303,0.298,27,-0.1,776.336,2025-05-22 11:11:43.524,0,3.8737205384282545,3.388888888888889,2.904057239349523
ILFSL,2025-05-24,3.3,3.3,3.5,3.2,127128,0.412,42,-0.2,754.155,2025-05-24 12:12:54.959,0,3.8430334761116094,3.38,2.9169665238883904
ILFSL,2025-05-25,3.4,3.2,3.4,3.2,126893,0.408,56,-0.1,731.974,2025-05-25 12:10:53.555,0,3.817089596848725,3.3636363636363638,2.9101831304240027
ILFSL,2025-05-26,3.2,3.2,3.2,3.1,91970,0.29,35,-0.1,709.793,2025-05-26 11:09:10.601,0,3.793471156521669,3.35,2.906528843478331
ILFSL,2025-05-27,3.1,3.1,3.4,3.0,1319821,4.118,213,0.1,709.793,2025-05-27 11:07:36.867,0,3.777188250109136,3.3307692307692305,2.884350211429325
ILFSL,2025-05-28,3.4,3.1,3.4,3.0,327671,1.013,92,0.1,687.612,2025-05-28 12:09:34.288,0,3.7605856957660944,3.314285714285714,2.8679857328053338
ILFSL,2025-05-29,3.2,3.1,3.2,3.1,130635,0.408,26,,687.612,2025-05-29 12:09:42.987,0,3.7442221666388718,3.3,2.855777833361128
ILFSL,2025-06-01,3.1,3.1,3.2,3.0,506803,1.572,61,0.1,687.612,2025-06-01 11:10:12.055,0,3.7283798022137105,3.2875,2.8466201977862897
ILFSL,2025-06-02,3.2,3.2,3.2,3.1,72786,0.23,31,0.1,687.612,2025-06-02 11:08:20.928,0,3.7120466439470516,3.282352941176471,2.85265923840589
ILFSL,2025-06-03,3.1,3.2,3.2,3.1,4110,0.013,14,,709.793,2025-06-03 11:09:07.931,0,3.6970658280914046,3.2777777777777777,2.8584897274641508
ILFSL,2025-06-04,3.1,3.2,3.2,3.1,67134,0.214,44,,709.793,2025-06-04 11:09:24.119,0,3.6970658280914046,3.2777777777777777,2.8584897274641508
