symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
INTECH,2025-05-13,18.5,17.8,18.5,17.6,22891,0.41,261,-0.4,570046000.0,2025-05-13 16:34:00.824,0,17.8,17.8,17.8
INTECH,2025-05-14,17.8,17.2,18.1,17.1,30754,0.535,181,-0.4,557518000.0,2025-05-14 11:52:10.307,0,18.1,17.5,16.9
INTECH,2025-05-15,17.5,16.8,17.7,16.4,59939,1.0,284,-0.4,538725000.0,2025-05-15 09:18:28.264,0,18.088588533729194,17.266666666666666,16.444744799604138
INTECH,2025-05-17,16.9,18.0,18.1,16.2,101466,1.78,492,1.2,526.197,2025-05-17 09:53:13.598,0,18.403939201416947,17.45,16.496060798583052
INTECH,2025-05-18,17.9,17.5,18.5,17.3,87266,1.556,185,-0.5,563.782,2025-05-18 11:04:46.524,0,18.314166260162505,17.46,16.605833739837497
INTECH,2025-05-19,17.8,17.6,18.0,17.0,127792,2.245,527,0.1,548.121,2025-05-19 11:03:10.159,0,18.270028248080397,17.483333333333334,16.69663841858627
INTECH,2025-05-20,17.6,17.9,18.1,17.6,43542,0.778,346,0.5,551.254,2025-05-20 11:03:34.667,0,18.32740172672834,17.54285714285714,16.758312558985942
INTECH,2025-05-21,17.9,18.2,18.9,17.9,151989,2.786,716,0.3,560.65,2025-05-21 11:40:06.063,0,18.4779361054616,17.625,16.7720638945384
INTECH,2025-05-22,18.5,18.2,18.7,18.1,101763,1.868,414,,570.046,2025-05-22 11:03:59.463,0,18.57052597443899,17.688888888888886,16.807251803338783
INTECH,2025-05-24,18.1,17.9,18.4,17.9,77327,1.394,172,-0.3,570.046,2025-05-24 11:41:34.981,0,18.555931439302263,17.71,16.86406856069774
INTECH,2025-05-25,18.1,17.9,18.2,17.8,64482,1.156,105,,560.65,2025-05-25 11:39:49.117,0,18.541201064930885,17.727272727272727,16.91334438961457
INTECH,2025-05-26,18.0,17.8,18.1,17.7,117600,2.105,113,-0.1,560.65,2025-05-26 11:03:56.705,0,18.51364666071464,17.733333333333334,16.953020005952027
INTECH,2025-05-27,18.1,17.8,18.5,17.7,129163,2.338,641,0.2,557.518,2025-05-27 11:02:31.463,0,18.48900374877849,17.73846153846154,16.98791932814459
INTECH,2025-05-28,17.8,17.4,18.4,17.1,41677,0.727,456,-0.4,557.518,2025-05-28 11:39:32.404,0,18.45824094664523,17.714285714285715,16.9703304819262
INTECH,2025-05-29,17.5,17.7,18.1,17.3,93027,1.653,385,0.3,544.989,2025-05-29 11:39:04.540,0,18.43209770517032,17.71333333333333,16.99456896149634
INTECH,2025-06-01,18.1,17.9,18.4,17.5,53492,0.953,356,0.2,554.386,2025-06-01 11:04:37.308,0,18.42678344238091,17.725,17.023216557619094
INTECH,2025-06-02,18.2,17.9,18.5,17.6,33424,0.597,338,0.1,560.65,2025-06-02 11:03:20.082,0,18.42108666549598,17.735294117647058,17.049501569798135
INTECH,2025-06-03,17.9,17.8,18.2,17.7,38943,0.695,57,,560.65,2025-06-03 11:03:11.252,0,18.406018357879027,17.73888888888889,17.071759419898754
INTECH,2025-06-04,17.9,18.0,18.1,17.8,9726,0.175,208,0.2,557.518,2025-06-04 11:03:54.491,0,18.427413381096716,17.75,17.072586618903284
