symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ISLAMIBANK,2025-05-13,36.8,35.6,36.9,35.0,232280,8.383,493,-0.9,58764659000.0,2025-05-13 16:31:06.424,0,35.6,35.6,35.6
ISLAMIBANK,2025-05-14,35.5,35.0,36.0,34.3,178325,6.265,347,-0.8,57315668000.0,2025-05-14 11:49:12.209,0,35.89999999999999,35.3,34.7
ISLAMIBANK,2025-05-15,35.3,34.1,35.3,33.9,218969,7.481,440,-0.9,56349673000.0,2025-05-15 09:15:36.108,0,36.13288280059379,34.9,33.667117199406206
ISLAMIBANK,2025-05-17,34.9,34.5,34.9,34.2,72572,2.5,185,0.4,54900.682,2025-05-17 09:36:54.012,0,35.92249721603218,34.8,33.67750278396782
ISLAMIBANK,2025-05-18,34.6,34.0,34.8,33.9,174298,5.961,381,-0.5,55544.678,2025-05-18 11:01:22.697,0,35.83063008529098,34.64,33.449369914709024
ISLAMIBANK,2025-05-19,34.4,34.0,34.4,33.8,176022,5.985,372,,54739.683,2025-05-19 11:00:21.262,0,35.720299587650985,34.53333333333333,33.34636707901568
ISLAMIBANK,2025-05-20,34.0,34.1,34.4,33.8,171322,5.831,275,0.1,54739.683,2025-05-20 11:00:26.333,0,35.61142499104343,34.471428571428575,33.33143215181372
ISLAMIBANK,2025-05-21,34.2,33.8,34.3,33.7,129867,4.404,319,-0.3,54900.682,2025-05-21 11:24:17.041,0,35.54265150521479,34.3875,33.232348494785214
ISLAMIBANK,2025-05-22,34.0,33.7,34.1,33.6,130391,4.407,311,-0.1,54417.685,2025-05-22 11:00:59.101,0,35.48279345124124,34.31111111111111,33.13942877098098
ISLAMIBANK,2025-05-24,34.2,33.6,34.2,33.5,126319,4.264,386,-0.1,54256.686,2025-05-24 11:23:44.295,0,35.43063008529097,34.239999999999995,33.04936991470902
ISLAMIBANK,2025-05-25,33.9,33.7,33.9,33.2,112191,3.765,194,0.1,54095.686,2025-05-25 11:23:05.925,0,35.367821987831434,34.190909090909095,33.013996193986756
ISLAMIBANK,2025-05-26,33.6,33.5,33.9,33.3,147491,4.93,296,-0.2,54256.686,2025-05-26 11:01:01.358,0,35.323104553171646,34.13333333333333,32.94356211349502
ISLAMIBANK,2025-05-27,32.7,34.0,34.9,32.7,308269,10.526,516,0.5,53934.687,2025-05-27 10:59:47.046,0,35.26837861971906,34.12307692307692,32.97777522643479
ISLAMIBANK,2025-05-28,34.0,33.1,34.1,33.0,201276,6.738,397,-0.9,54739.683,2025-05-28 11:23:00.726,0,35.27299398433282,34.05,32.82700601566717
ISLAMIBANK,2025-05-29,32.7,32.7,33.4,32.6,329981,10.801,508,-0.4,53290.691,2025-05-29 11:22:54.591,0,35.32,33.96,32.6
ISLAMIBANK,2025-06-01,32.7,33.1,33.8,32.7,103828,3.434,270,0.4,52646.695,2025-06-01 11:01:25.310,0,35.28731616423689,33.90625,32.52518383576311
ISLAMIBANK,2025-06-02,33.1,33.5,33.6,33.1,185760,6.202,270,0.4,53290.691,2025-06-02 11:00:23.387,0,35.23575439740818,33.88235294117647,32.52895148494476
ISLAMIBANK,2025-06-03,33.3,33.4,33.7,33.2,97571,3.259,218,-0.1,53934.687,2025-06-03 11:00:24.572,0,35.18925920783321,33.855555555555554,32.5218519032779
ISLAMIBANK,2025-06-04,33.7,33.6,33.7,33.4,60587,2.033,146,0.2,53773.688,2025-06-04 11:00:54.413,0,34.777718038894456,33.74444444444444,32.711170849994424
