symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ISLAMICFIN,2025-05-13,9.5,9.3,9.6,9.2,381833,3.563,158,-0.1,1319071000.0,2025-05-13 16:35:55.361,0,9.3,9.3,9.3
ISLAMICFIN,2025-05-14,9.3,9.0,9.5,8.9,141588,1.289,137,-0.3,1305038000.0,2025-05-14 11:54:32.045,0,9.450000000000001,9.15,8.85
ISLAMICFIN,2025-05-15,9.1,8.9,9.3,8.8,100291,0.896,112,-0.1,1262940000.0,2025-05-15 09:20:40.994,0,9.406601300906187,9.066666666666668,8.72673203242715
ISLAMICFIN,2025-05-17,9.1,9.1,9.3,8.6,242578,2.164,141,0.2,1248.907,2025-05-17 10:08:40.327,0,9.37080398915498,9.075,8.779196010845018
ISLAMICFIN,2025-05-18,9.3,9.1,9.6,9.0,284525,2.602,171,,1276.973,2025-05-18 11:07:01.854,0,9.345329983228432,9.08,8.814670016771569
ISLAMICFIN,2025-05-19,9.3,8.9,9.4,8.8,245114,2.215,158,-0.2,1276.973,2025-05-19 11:05:39.507,0,9.326887462097268,9.049999999999999,8.77311253790273
ISLAMICFIN,2025-05-20,9.2,9.0,9.2,8.9,206362,1.855,125,0.2,1248.907,2025-05-20 11:06:10.130,0,9.301582432518211,9.042857142857143,8.784131853196074
ISLAMICFIN,2025-05-21,9.1,9.0,9.2,9.0,107171,0.974,117,,1262.94,2025-05-21 11:56:26.244,0,9.281169858620224,9.0375,8.793830141379775
ISLAMICFIN,2025-05-22,9.2,8.9,9.2,8.9,78898,0.707,85,,1262.94,2025-05-22 11:09:00.153,0,9.267674689270828,9.022222222222222,8.776769755173616
ISLAMICFIN,2025-05-24,8.9,8.7,9.0,8.7,102118,0.904,93,-0.2,1248.907,2025-05-24 11:56:53.051,0,9.29265491900843,8.99,8.68734508099157
ISLAMICFIN,2025-05-25,8.8,8.8,8.9,8.6,150975,1.322,103,0.1,1220.842,2025-05-25 11:55:24.865,0,9.28128295906322,8.972727272727273,8.664171586391324
ISLAMICFIN,2025-05-26,8.8,8.7,9.0,8.5,300790,2.615,173,-0.1,1234.875,2025-05-26 11:06:16.896,0,9.28166247903554,8.950000000000001,8.618337520964461
ISLAMICFIN,2025-05-27,8.8,8.7,9.1,8.6,274160,2.432,199,,1220.842,2025-05-27 11:04:50.169,0,9.276152989548365,8.930769230769231,8.585385471990097
ISLAMICFIN,2025-05-28,8.5,7.9,8.6,7.9,740352,5.975,384,-0.6,1220.842,2025-05-28 11:55:10.236,0,9.483763205698894,8.857142857142858,8.230522508586821
ISLAMICFIN,2025-05-29,7.9,7.6,7.9,7.5,377651,2.879,280,-0.2,1108.581,2025-05-29 11:55:40.656,0,9.64501115352966,8.773333333333333,7.9016555131370065
ISLAMICFIN,2025-06-01,7.8,7.4,7.8,7.3,232514,1.726,162,-0.2,1066.483,2025-06-01 11:07:50.143,0,9.761918447347213,8.6875,7.613081552652787
ISLAMICFIN,2025-06-02,7.5,7.2,7.6,7.2,334904,2.451,217,-0.2,1038.417,2025-06-02 11:06:10.082,0,9.855575799478187,8.6,7.3444242005218126
ISLAMICFIN,2025-06-03,7.3,7.1,7.4,7.0,235306,1.678,210,-0.1,1010.352,2025-06-03 11:06:35.496,0,9.91706343584,8.516666666666667,7.116269897493336
ISLAMICFIN,2025-06-04,7.1,7.2,7.3,7.0,102649,0.736,88,0.1,996.319,2025-06-04 11:07:00.657,0,9.868181036369679,8.399999999999999,6.9318189636303185
