symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ISLAMIINS,2025-05-13,40.5,38.7,40.5,38.6,17447,0.682,104,-1.2,1642492000.0,2025-05-13 16:30:53.465,0,38.7,38.7,38.7
ISLAMIINS,2025-05-14,38.1,38.0,39.0,37.5,14369,0.55,72,-0.7,1593094000.0,2025-05-14 11:48:54.265,0,39.050000000000004,38.35,37.65
ISLAMIINS,2025-05-15,38.0,37.7,38.0,37.1,17962,0.674,104,-0.2,1564278000.0,2025-05-15 09:15:19.535,0,38.97132033933177,38.13333333333333,37.2953463273349
ISLAMIINS,2025-05-17,38.8,37.1,38.8,36.3,13629,0.511,76,-0.5,1551.929,2025-05-17 09:35:01.177,0,39.02717186218029,37.875,36.72282813781971
ISLAMIINS,2025-05-18,38.8,37.2,38.8,37.1,14697,0.552,79,0.9,1527.229,2025-05-18 11:00:55.989,0,38.90344316577992,37.74,36.576556834220085
ISLAMIINS,2025-05-20,37.7,37.3,37.7,37.3,10838,0.405,44,-0.1,1539.579,2025-05-20 11:00:05.468,0,38.77822213336887,37.666666666666664,36.55511119996446
ISLAMIINS,2025-05-21,37.8,37.7,38.3,37.5,12795,0.483,63,0.4,1535.463,2025-05-21 11:21:44.950,0,38.700793344837244,37.67142857142857,36.6420637980199
ISLAMIINS,2025-05-22,37.4,37.7,38.1,37.4,10212,0.385,24,0.3,1551.929,2025-05-22 11:00:41.640,0,38.63806801421291,37.675000000000004,36.711931985787096
ISLAMIINS,2025-05-24,38.0,37.4,38.0,37.4,20281,0.76,37,-0.3,1551.929,2025-05-24 11:21:19.657,0,38.56873930413713,37.644444444444446,36.72014958475176
ISLAMIINS,2025-05-25,37.4,36.9,37.4,36.6,24393,0.902,67,-0.4,1539.579,2025-05-25 11:21:25.222,0,38.554073168011406,37.57,36.585926831988594
ISLAMIINS,2025-05-26,37.0,37.0,37.0,36.9,7250,0.268,9,,1518.996,2025-05-26 11:00:43.747,0,38.51204729954301,37.518181818181816,36.52431633682062
ISLAMIINS,2025-05-27,37.8,37.0,37.8,36.9,7260,0.269,31,,1523.113,2025-05-27 10:59:31.953,0,38.46873034571759,37.475,36.481269654282414
ISLAMIINS,2025-05-28,36.3,36.4,37.6,36.3,5340,0.194,11,-0.6,1523.113,2025-05-28 11:20:54.443,0,38.505754284475216,37.392307692307696,36.278861100140176
ISLAMIINS,2025-05-29,35.7,35.8,37.5,35.7,2251,0.081,6,1.1,1498.414,2025-05-29 11:20:13.658,0,38.62908153627903,37.278571428571425,35.92806132086382
ISLAMIINS,2025-06-01,37.0,36.4,37.0,35.7,32892,1.201,108,0.6,1473.715,2025-06-01 11:01:00.728,0,38.59637204272682,37.22,35.84362795727318
ISLAMIINS,2025-06-02,36.4,36.7,37.5,36.4,15305,0.562,26,0.6,1498.414,2025-06-02 10:59:58.130,0,38.543735599001884,37.1875,35.831264400998116
ISLAMIINS,2025-06-03,37.7,36.9,37.7,36.7,21956,0.81,47,0.5,1510.763,2025-06-03 11:00:12.579,0,38.49326770094637,37.17058823529412,35.84790876964187
ISLAMIINS,2025-06-04,36.8,36.8,37.5,36.7,19640,0.725,72,0.6,1518.996,2025-06-04 11:00:31.530,0,38.446576689251785,37.150000000000006,35.85342331074823
