symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ISNLTD,2025-05-13,41.0,42.2,42.5,40.5,309339,12.879,591,1.1,448812000.0,2025-05-13 16:30:39.393,0,42.2,42.2,42.2
ISNLTD,2025-05-14,42.2,40.9,43.2,40.6,61010,2.542,200,-1.3,460824000.0,2025-05-14 11:48:42.601,0,42.849999999999994,41.55,40.25
ISNLTD,2025-05-15,40.1,39.9,41.5,39.6,82387,3.293,229,-1.0,446628000.0,2025-05-15 09:15:07.817,0,42.88325958557674,41.0,39.11674041442326
ISNLTD,2025-05-17,40.0,40.5,41.1,39.1,40933,1.646,80,0.6,435.708,2025-05-17 09:33:26.237,0,42.56245370306862,40.875,39.18754629693138
ISNLTD,2025-05-18,40.5,40.9,42.5,40.1,82281,3.378,249,0.4,442.26,2025-05-18 11:00:47.416,0,42.38943698112906,40.88,39.370563018870946
ISNLTD,2025-05-19,40.9,41.1,41.9,40.4,37130,1.517,70,0.2,446.628,2025-05-19 10:59:46.394,0,42.30431055309991,40.916666666666664,39.52902278023342
ISNLTD,2025-05-20,41.1,40.8,41.8,40.5,50115,2.043,94,-0.3,448.812,2025-05-20 10:59:48.227,0,42.187300608693576,40.9,39.61269939130642
ISNLTD,2025-05-21,40.8,43.5,43.8,40.6,412733,17.715,596,2.7,445.536,2025-05-21 11:19:14.767,0,43.3244046775217,41.225,39.125595322478304
ISNLTD,2025-05-22,43.5,43.5,44.5,42.4,126737,5.481,292,,475.02,2025-05-22 11:00:06.437,0,43.91959454727594,41.47777777777778,39.03596100827962
ISNLTD,2025-05-24,43.7,43.9,44.7,42.8,267887,11.74,402,0.4,475.02,2025-05-24 11:18:30.958,0,44.454666341621945,41.72,38.98533365837805
ISNLTD,2025-05-25,43.9,40.6,44.4,40.3,346730,14.357,484,-3.3,479.388,2025-05-25 11:19:28.289,0,44.303926247664236,41.61818181818182,38.9324373886994
ISNLTD,2025-05-26,40.7,40.9,41.6,40.7,24813,1.017,86,0.3,443.352,2025-05-26 11:00:23.337,0,44.16020231970105,41.55833333333333,38.95646434696561
ISNLTD,2025-05-27,40.9,40.0,41.3,39.9,51915,2.079,131,-0.9,446.628,2025-05-27 10:59:12.039,0,44.07260242779378,41.43846153846154,38.804320649129295
ISNLTD,2025-05-28,41.0,39.5,41.3,39.0,42203,1.675,129,-0.5,436.8,2025-05-28 11:19:30.897,0,44.027636339397176,41.300000000000004,38.57236366060283
ISNLTD,2025-05-29,38.4,40.0,40.9,38.4,17826,0.715,79,0.3,431.34,2025-05-29 11:19:01.197,0,43.92711707973286,41.21333333333334,38.49954958693382
ISNLTD,2025-06-01,40.5,39.4,40.5,39.2,24999,0.988,88,-0.6,436.8,2025-06-01 11:00:38.353,0,43.870379035439015,41.1,38.32962096456099
ISNLTD,2025-06-02,39.1,39.7,40.1,39.1,11418,0.453,74,0.3,430.248,2025-06-02 10:59:50.098,0,43.78487994650597,41.01764705882353,38.25041417114109
ISNLTD,2025-06-03,39.7,38.9,39.8,38.6,41026,1.605,124,-0.8,433.524,2025-06-03 11:00:06.131,0,43.75890421898555,40.900000000000006,38.04109578101446
ISNLTD,2025-06-04,39.5,39.5,39.8,38.9,9948,0.392,43,0.6,424.788,2025-06-04 11:00:25.000,0,43.60365263010993,40.75,37.89634736989007
