symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
ITC,2025-05-13,36.3,35.9,36.5,35.6,97223,3.5,220,-0.3,4655054000.0,2025-05-13 16:31:05.114,0,35.9,35.9,35.9
ITC,2025-05-14,35.7,35.7,36.0,35.6,126319,4.504,256,-0.2,4616477000.0,2025-05-14 11:49:11.086,0,35.999999999999986,35.8,35.60000000000001
ITC,2025-05-15,35.8,34.9,35.8,34.6,341565,11.988,557,-0.8,4590758000.0,2025-05-15 09:15:32.058,0,36.364098759787716,35.5,34.635901240212284
ITC,2025-05-17,34.9,35.9,36.2,34.5,141168,4.996,243,1.0,4487.884,2025-05-17 09:36:07.828,0,36.42462112512353,35.6,34.77537887487647
ITC,2025-05-18,36.1,35.3,36.1,35.2,86889,3.087,245,-0.6,4616.477,2025-05-18 11:01:17.761,0,36.31562877718661,35.54,34.76437122281339
ITC,2025-05-19,35.4,35.1,35.4,34.7,205761,7.199,332,-0.4,4539.321,2025-05-19 11:00:15.911,0,36.246979994047976,35.46666666666667,34.68635333928536
ITC,2025-05-20,35.3,35.2,35.3,34.7,137809,4.826,233,0.1,4513.603,2025-05-20 11:00:17.857,0,36.17471799184003,35.42857142857143,34.68242486530283
ITC,2025-05-21,35.5,35.5,35.6,35.2,85973,3.045,248,0.2,4526.462,2025-05-21 11:23:29.435,0,36.13705342898166,35.4375,34.73794657101834
ITC,2025-05-22,35.6,35.1,35.6,35.0,183374,6.456,341,-0.4,4565.04,2025-05-22 11:00:54.584,0,36.09282032302755,35.400000000000006,34.70717967697246
ITC,2025-05-24,35.4,34.6,35.4,34.5,117871,4.085,265,-0.5,4513.603,2025-05-24 11:23:17.879,0,36.13387959797503,35.32,34.50612040202497
ITC,2025-05-25,34.7,34.6,34.8,34.2,108381,3.73,251,,4449.306,2025-05-25 11:22:18.658,0,36.13406448163257,35.25454545454546,34.375026427458344
ITC,2025-05-26,34.7,34.7,35.4,34.6,255636,8.913,397,0.1,4449.306,2025-05-26 11:00:50.585,0,36.104467003918,35.208333333333336,34.31219966274867
ITC,2025-05-27,34.7,34.4,35.0,34.2,132780,4.578,427,-0.3,4462.165,2025-05-27 10:59:44.706,0,36.10889155982535,35.146153846153844,34.183416132482336
ITC,2025-05-29,34.0,34.3,34.5,33.7,110372,3.772,241,0.3,4372.151,2025-05-29 11:21:49.691,0,36.1107080636944,35.08571428571428,34.06072050773416
ITC,2025-06-01,34.4,34.6,34.6,34.4,47737,1.647,130,0.3,4410.728,2025-06-01 11:01:14.282,0,36.07278852552614,35.05333333333333,34.03387814114051
ITC,2025-06-02,34.7,34.8,34.9,34.4,101992,3.537,265,0.2,4449.306,2025-06-02 11:00:17.769,0,36.03217331320389,35.0375,34.04282668679611
ITC,2025-06-03,34.7,34.4,34.7,34.3,118074,4.066,198,-0.4,4475.025,2025-06-03 11:00:22.038,0,36.010532765717294,35.0,33.989467234282706
ITC,2025-06-04,34.3,34.6,34.6,34.3,19115,0.66,88,0.2,4423.588,2025-06-04 11:00:48.037,0,35.97678963524396,34.97777777777778,33.9787659203116
