symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
JANATAINS,2025-05-13,24.2,23.8,24.5,23.7,112391,2.728,116,-0.6,1137477000.0,2025-05-13 16:32:33.895,0,23.8,23.8,23.8
JANATAINS,2025-05-14,24.0,23.6,24.1,23.5,43649,1.035,87,-0.2,1109506000.0,2025-05-14 11:50:39.836,0,23.900000000000006,23.700000000000003,23.5
JANATAINS,2025-05-15,23.1,22.9,24.1,22.7,90852,2.102,108,-0.7,1100183000.0,2025-05-15 09:16:56.894,0,24.205055793519353,23.433333333333334,22.661610873147314
JANATAINS,2025-05-17,22.5,23.0,23.2,22.5,134930,3.092,142,0.1,1067.55,2025-05-17 09:45:38.983,0,24.091485485837797,23.325,22.5585145141622
JANATAINS,2025-05-18,23.8,22.9,23.8,22.8,174322,4.025,96,-0.2,1072.212,2025-05-18 11:03:03.706,0,24.005245058788365,23.240000000000002,22.47475494121164
JANATAINS,2025-05-19,23.1,22.6,23.1,22.3,52167,1.178,110,-0.3,1067.55,2025-05-19 11:01:54.186,0,23.97923850269664,23.133333333333336,22.287428163970034
JANATAINS,2025-05-20,22.6,22.5,22.8,22.4,27693,0.624,57,-0.2,1053.565,2025-05-20 11:02:13.376,0,23.942743757029923,23.042857142857144,22.142970528684366
JANATAINS,2025-05-21,22.9,22.9,23.2,22.7,24172,0.554,35,0.7,1048.903,2025-05-21 11:32:31.709,0,23.87205371730487,23.025,22.177946282695128
JANATAINS,2025-05-22,22.7,22.8,23.0,22.4,41751,0.951,71,-0.1,1067.55,2025-05-22 11:02:33.754,0,23.811035004039763,23.0,22.188964995960237
JANATAINS,2025-05-24,22.4,22.4,22.7,22.4,7359,0.165,22,-0.4,1062.888,2025-05-24 11:33:08.469,0,23.789470423263815,22.94,22.090529576736188
JANATAINS,2025-05-25,22.3,22.1,22.3,22.0,19976,0.442,52,-0.1,1044.241,2025-05-25 11:32:07.339,0,23.806640180355632,22.863636363636363,21.920632546917094
JANATAINS,2025-05-26,22.1,21.9,22.1,21.8,19660,0.432,62,-0.2,1030.256,2025-05-26 11:02:43.638,0,23.831612346234422,22.78333333333333,21.73505432043224
JANATAINS,2025-05-27,22.2,22.0,22.2,21.9,116448,2.563,91,,1020.932,2025-05-27 11:01:30.853,0,23.81332416717086,22.72307692307692,21.63282967898298
JANATAINS,2025-05-28,21.8,21.5,22.2,21.5,14088,0.305,58,-0.5,1025.594,2025-05-28 11:33:11.859,0,23.86070907953912,22.635714285714283,21.410719491889445
JANATAINS,2025-05-29,21.5,21.6,21.9,21.5,20820,0.45,35,,1002.285,2025-05-29 11:33:16.056,0,23.858005334699012,22.566666666666666,21.27532799863432
JANATAINS,2025-06-01,22.0,21.7,22.0,21.6,16690,0.363,54,0.1,1006.947,2025-06-01 11:03:37.524,0,23.831353668910996,22.5125,21.193646331089003
JANATAINS,2025-06-02,22.2,21.9,22.2,21.4,23500,0.511,52,0.5,1011.609,2025-06-02 11:02:02.162,0,23.78801105970558,22.476470588235294,21.16493011676501
JANATAINS,2025-06-03,22.0,21.8,22.0,21.7,11815,0.258,24,-0.1,1020.932,2025-06-03 11:02:05.031,0,23.75061190993815,22.438888888888886,21.127165867839622
JANATAINS,2025-06-04,21.9,22.0,22.0,21.9,17490,0.385,92,0.2,1016.27,2025-06-04 11:02:28.791,0,23.48419600711601,22.33888888888889,21.193581770661766
