symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
JHRML,2025-05-13,48.6,47.1,48.6,46.7,90566,4.284,355,-0.7,5989059000.0,2025-05-13 16:30:17.793,0,47.1,47.1,47.1
JHRML,2025-05-14,47.6,46.6,47.6,46.5,61266,2.871,288,-0.5,5901353000.0,2025-05-14 11:48:10.113,0,47.35,46.85,46.35
JHRML,2025-05-15,46.0,45.8,47.8,45.6,62635,2.884,243,-0.4,5838706000.0,2025-05-15 09:14:33.375,0,47.57082522694727,46.5,45.42917477305273
JHRML,2025-05-17,46.6,46.8,47.2,45.5,51942,2.407,231,1.4,5738.471,2025-05-17 09:29:35.069,0,47.53806801421292,46.575,45.61193198578709
JHRML,2025-05-18,47.8,46.2,47.9,46.0,80976,3.787,243,-0.6,5863.765,2025-05-18 10:59:57.726,0,47.41214034007931,46.5,45.58785965992069
JHRML,2025-05-19,46.8,45.6,47.0,45.0,68958,3.147,296,-0.6,5788.588,2025-05-19 10:59:20.553,0,47.419267662156365,46.35,45.28073233784364
JHRML,2025-05-20,46.6,45.9,46.6,45.0,66036,3.008,254,0.5,5713.412,2025-05-20 10:59:08.081,0,47.32455194072559,46.285714285714285,45.24687663070298
JHRML,2025-05-21,46.3,46.4,46.8,46.0,105512,4.891,309,0.5,5751.0,2025-05-21 11:17:19.287,0,47.274679434480895,46.3,45.3253205655191
JHRML,2025-05-22,46.7,47.2,47.8,46.4,128358,6.047,398,0.8,5813.647,2025-05-22 10:59:41.293,0,47.47909427041592,46.400000000000006,45.32090572958409
JHRML,2025-05-24,47.4,45.9,47.4,45.7,92880,4.312,315,-1.3,5913.882,2025-05-24 11:16:48.916,0,47.41677082824757,46.35,45.28322917175243
JHRML,2025-05-25,46.7,45.7,46.7,45.0,153882,6.959,264,-0.5,5751.0,2025-05-25 11:16:32.135,0,47.37452104914555,46.29090909090909,45.20729713267263
JHRML,2025-05-26,46.4,45.6,46.4,45.4,37302,1.701,153,-0.1,5725.941,2025-05-26 10:59:53.569,0,47.338874930118465,46.23333333333333,45.12779173654819
JHRML,2025-05-27,46.2,45.1,46.2,45.0,70379,3.187,229,-0.5,5713.412,2025-05-27 10:58:41.803,0,47.36804490164091,46.146153846153844,44.92426279066678
JHRML,2025-05-28,45.0,44.9,45.8,44.4,47973,2.156,200,-0.2,5650.765,2025-05-28 11:16:17.635,0,47.3981750517373,46.05714285714286,44.71611066254842
JHRML,2025-05-29,45.3,45.5,45.6,44.5,91994,4.161,190,0.6,5625.706,2025-05-29 11:16:14.508,0,47.34504087987251,46.019999999999996,44.69495912012748
JHRML,2025-06-01,45.5,45.7,46.2,45.4,27991,1.278,205,0.2,5700.882,2025-06-01 10:59:44.638,0,47.292284798332005,46.0,44.707715201667995
JHRML,2025-06-02,45.7,45.7,46.6,45.6,53047,2.437,241,,5725.941,2025-06-02 10:59:22.498,0,47.243977093501606,45.98235294117647,44.72072878885134
JHRML,2025-06-03,46.3,45.6,46.3,45.3,33938,1.541,88,-0.1,5725.941,2025-06-03 10:59:27.511,0,47.19963871164489,45.96111111111111,44.72258351057733
JHRML,2025-06-04,45.8,45.4,45.8,45.0,68920,3.13,179,-0.2,5713.412,2025-06-04 10:59:54.449,0,46.99803751656515,45.86666666666667,44.735295816768186
