symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
JMISMDL,2025-05-13,126.6,120.4,126.6,118.3,8074,0.983,110,-4.9,3766017000.0,2025-05-13 16:28:27.021,0,120.4,120.4,120.4
JMISMDL,2025-05-14,120.4,118.8,121.7,112.0,5295,0.622,97,,3618742000.0,2025-05-14 11:46:28.103,0,121.19999999999999,119.6,118.0
JMISMDL,2025-05-15,118.8,117.1,121.0,116.0,3937,0.462,87,-0.8,3570653000.0,2025-05-15 09:12:32.922,0,121.4615177241877,118.76666666666667,116.07181560914563
JMISMDL,2025-05-17,124.9,123.4,124.9,118.0,6211,0.76,55,6.1,3519.558,2025-05-17 09:17:54.514,0,124.56692847855285,119.925,115.28307152144714
JMISMDL,2025-05-18,123.5,120.1,123.6,119.7,4760,0.58,62,-3.3,3708.91,2025-05-18 10:57:35.031,0,124.1142267631895,119.96,115.80577323681048
JMISMDL,2025-05-19,118.7,120.8,122.4,118.6,3761,0.453,49,0.7,3609.726,2025-05-19 10:57:21.713,0,123.94360941477323,120.10000000000001,116.25639058522678
JMISMDL,2025-05-20,119.4,121.3,122.8,118.2,1480,0.179,40,1.2,3630.765,2025-05-20 10:57:02.960,0,123.92767846241061,120.27142857142857,116.61517868044653
JMISMDL,2025-05-21,121.3,119.6,121.9,116.4,4995,0.598,43,-1.7,3645.793,2025-05-21 11:04:33.960,0,123.6363222627442,120.1875,116.7386777372558
JMISMDL,2025-05-22,128.7,124.1,128.7,122.0,4907,0.606,81,4.5,3594.698,2025-05-22 10:57:14.800,0,124.69901592727771,120.6222222222222,116.5454285171667
JMISMDL,2025-05-24,119.1,121.3,123.3,119.1,3367,0.408,43,-1.1,3729.95,2025-05-24 11:03:44.006,0,124.57890730154372,120.69000000000001,116.8010926984563
JMISMDL,2025-05-25,121.0,121.6,123.8,121.0,2261,0.275,32,0.3,3645.793,2025-05-25 11:04:18.901,0,124.51738738264953,120.77272727272727,117.028067162805
JMISMDL,2025-05-26,130.0,121.6,130.0,121.4,6293,0.773,59,0.8,3654.81,2025-05-26 10:57:53.854,0,124.45595159671237,120.84166666666665,117.22738173662094
JMISMDL,2025-05-27,121.6,122.0,122.9,121.6,2204,0.269,48,0.1,3654.81,2025-05-27 10:56:55.851,0,124.45770698763828,120.93076923076923,117.40383147390018
JMISMDL,2025-05-28,119.4,118.7,119.4,117.5,1732,0.206,32,-3.0,3666.832,2025-05-28 11:03:38.542,0,124.35904900956905,120.77142857142857,117.1838081332881
JMISMDL,2025-05-29,122.0,123.2,124.0,122.0,4546,0.56,65,4.5,3567.647,2025-05-29 11:03:39.019,0,124.60496633363292,120.93333333333334,117.26170033303376
JMISMDL,2025-06-01,123.2,124.5,126.0,121.2,2490,0.31,34,1.3,3702.899,2025-06-01 10:57:32.549,0,125.10844480162606,121.15625,117.20405519837394
JMISMDL,2025-06-02,126.0,125.0,126.0,121.3,1167,0.146,32,-1.3,3741.972,2025-06-02 10:57:11.131,0,125.62179535407918,121.38235294117646,117.14291052827375
JMISMDL,2025-06-03,126.8,121.8,126.8,120.3,654,0.08,10,-3.0,3757.0,2025-06-03 10:57:06.841,0,125.52999341474572,121.40555555555557,117.28111769636541
JMISMDL,2025-06-04,120.7,123.2,125.8,120.7,632,0.078,16,1.4,3660.821,2025-06-04 10:57:39.058,0,125.73304851816734,121.5611111111111,117.38917370405487
