symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
JUTESPINN,2025-05-14,202.0,202.6,207.0,201.1,488,0.099,22,-0.7,349690000.0,2025-05-14 11:45:53.787,0,202.6,202.6,202.6
JUTESPINN,2025-05-15,205.0,203.1,209.0,198.4,231,0.047,9,0.5,344420000.0,2025-05-15 09:11:39.347,0,203.35,202.85,202.35
JUTESPINN,2025-05-17,205.0,205.0,205.0,205.0,1030,0.211,22,1.9,345.27,2025-05-17 09:14:03.881,0,205.63440832256947,203.5666666666667,201.4989250107639
JUTESPINN,2025-05-18,199.1,197.0,199.1,197.0,780,0.154,34,-7.9,348.5,2025-05-18 10:56:54.743,0,207.88717242286737,201.925,195.96282757713266
JUTESPINN,2025-05-21,198.0,198.8,200.0,192.1,1029,0.204,39,3.0,334.9,2025-05-21 11:00:40.173,0,207.18965194217793,201.3,195.4103480578221
JUTESPINN,2025-05-22,200.0,195.3,200.0,190.0,884,0.173,28,0.2,337.96,2025-05-22 10:56:28.649,0,207.2933301557031,200.29999999999998,193.30666984429686
JUTESPINN,2025-05-24,208.9,208.9,208.9,208.9,20,0.004,1,13.6,332.01,2025-05-24 10:59:42.446,0,210.36855480652238,201.52857142857144,192.6885880506205
JUTESPINN,2025-05-25,210.0,207.1,210.0,199.5,305,0.063,10,-1.9,355.13,2025-05-25 10:59:57.373,0,211.27803816406401,202.225,193.17196183593597
JUTESPINN,2025-05-26,206.9,197.5,207.0,195.2,510,0.101,23,-1.1,352.07,2025-05-26 10:57:11.187,0,210.7372070415096,201.7,192.66279295849037
JUTESPINN,2025-05-27,193.6,192.0,193.6,190.5,915,0.176,47,-4.6,335.75,2025-05-27 10:56:23.800,0,211.09225844109284,200.73,190.36774155890714
JUTESPINN,2025-05-28,200.0,196.0,202.8,191.4,45,0.009,4,10.8,326.4,2025-05-28 10:59:41.935,0,210.5474830612648,200.3,190.0525169387352
JUTESPINN,2025-05-29,195.0,198.4,205.4,195.0,41,0.008,7,3.9,333.2,2025-05-29 11:00:05.996,0,210.00893860756074,200.14166666666665,190.27439472577257
JUTESPINN,2025-06-01,201.0,201.3,203.9,190.3,861,0.174,91,5.5,337.28,2025-06-01 10:56:46.264,0,209.73101525685786,200.23076923076923,190.7305232046806
JUTESPINN,2025-06-02,202.0,201.6,209.0,200.0,422,0.086,54,7.7,342.21,2025-06-02 10:56:26.008,0,209.5103635261115,200.32857142857142,191.14677933103135
JUTESPINN,2025-06-03,192.0,203.7,210.9,192.0,126,0.026,23,2.1,342.72,2025-06-03 10:56:27.677,0,209.58184126961802,200.55333333333334,191.52482539704866
JUTESPINN,2025-06-04,205.8,209.1,210.0,196.7,1020,0.212,33,-7.0,346.29,2025-06-04 10:57:05.381,0,210.7590756213763,201.0875,191.4159243786237
