symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KARNAPHULI,2025-05-13,26.5,26.0,26.7,25.6,221665,5.816,318,-0.2,1175754000.0,2025-05-13 16:32:06.449,0,26.0,26.0,26.0
KARNAPHULI,2025-05-14,25.5,25.4,26.1,25.3,241879,6.197,279,-0.6,1166779000.0,2025-05-14 11:50:17.576,0,26.3,25.7,25.099999999999998
KARNAPHULI,2025-05-15,25.4,24.6,25.8,24.4,279080,6.943,363,-0.8,1139853000.0,2025-05-15 09:16:31.254,0,26.48031003560568,25.333333333333332,24.186356631060985
KARNAPHULI,2025-05-17,25.5,24.9,25.5,24.6,76930,1.916,162,0.5,1103.952,2025-05-17 09:42:48.668,0,26.286838029079764,25.225,24.16316197092024
KARNAPHULI,2025-05-18,25.1,25.5,26.2,25.1,457718,11.732,637,0.6,1117.415,2025-05-18 11:02:24.847,0,26.254884608556317,25.28,24.305115391443685
KARNAPHULI,2025-05-19,25.6,25.4,25.9,24.7,151147,3.828,179,-0.1,1144.341,2025-05-19 11:01:07.365,0,26.194427190999917,25.3,24.405572809000084
KARNAPHULI,2025-05-20,25.6,25.3,25.7,25.0,162176,4.117,214,-0.1,1139.853,2025-05-20 11:01:26.301,0,26.128078671210826,25.3,24.471921328789175
KARNAPHULI,2025-05-21,25.4,25.3,25.6,25.2,135671,3.446,159,-0.1,1135.366,2025-05-21 11:29:37.373,0,26.074596669241483,25.3,24.525403330758518
KARNAPHULI,2025-05-22,25.3,24.9,25.5,24.7,214449,5.357,192,-0.2,1135.366,2025-05-22 11:01:55.134,0,26.027917653199236,25.255555555555556,24.483193457911877
KARNAPHULI,2025-05-24,25.1,24.6,25.1,24.5,40429,0.996,106,-0.4,1117.415,2025-05-24 11:29:49.320,0,26.02162491545167,25.19,24.35837508454833
KARNAPHULI,2025-05-25,24.9,24.1,24.9,24.0,226452,5.497,217,-0.5,1103.952,2025-05-25 11:29:50.363,0,26.101595789795436,25.09090909090909,24.080222392022744
KARNAPHULI,2025-05-26,24.2,24.5,24.8,24.1,154514,3.772,173,0.7,1081.514,2025-05-26 11:01:58.543,0,26.062967579990232,25.041666666666668,24.020365753343103
KARNAPHULI,2025-05-27,24.5,24.2,24.6,24.2,209892,5.113,231,-0.3,1099.465,2025-05-27 11:00:55.393,0,26.055822362602257,24.976923076923075,23.898023791243894
KARNAPHULI,2025-05-29,23.3,23.4,23.5,23.0,130798,3.044,219,-0.8,1086.002,2025-05-29 11:29:43.465,0,26.18360836053187,24.864285714285717,23.544963068039564
KARNAPHULI,2025-06-01,23.4,23.5,23.7,23.4,41793,0.982,84,0.1,1050.101,2025-06-01 11:02:48.683,0,26.2182631663087,24.773333333333333,23.328403500357968
KARNAPHULI,2025-06-02,23.5,23.7,23.8,23.3,70817,1.673,177,0.2,1054.589,2025-06-02 11:01:46.174,0,26.198678809022393,24.70625,23.213821190977608
KARNAPHULI,2025-06-03,23.7,23.5,23.8,23.3,34225,0.805,78,-0.2,1063.564,2025-06-03 11:01:35.970,0,26.190461861912212,24.63529411764706,23.08012637338191
KARNAPHULI,2025-06-04,23.8,23.6,23.8,23.3,36406,0.854,161,0.1,1054.589,2025-06-04 11:02:00.458,0,26.161802967750816,24.577777777777776,22.993752587804735
