symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KAY&QUE,2025-05-13,201.9,196.3,201.9,195.5,18584,3.678,331,-2.1,1387421000.0,2025-05-13 16:27:53.889,0,196.3,196.3,196.3
KAY&QUE,2025-05-15,193.1,192.7,196.0,191.8,18778,3.625,287,-1.6,1358749000.0,2025-05-15 09:11:48.880,0,198.10000000000002,194.5,190.89999999999998
KAY&QUE,2025-05-17,193.1,192.2,193.5,188.0,20294,3.864,384,-0.5,1347.561,2025-05-17 09:14:50.045,0,197.38603400848075,193.73333333333335,190.08063265818595
KAY&QUE,2025-05-18,194.8,191.6,198.0,190.9,9337,1.807,195,-0.6,1344.064,2025-05-18 10:57:00.895,0,196.86333181680283,193.2,189.53666818319715
KAY&QUE,2025-05-19,192.5,190.2,193.4,189.2,14434,2.764,293,-1.4,1339.868,2025-05-19 10:56:40.718,0,196.6615268065101,192.6,188.5384731934899
KAY&QUE,2025-05-20,192.9,190.3,192.9,189.0,11886,2.256,246,0.1,1330.078,2025-05-20 10:56:31.766,0,196.30146232319046,192.21666666666667,188.13187101014287
KAY&QUE,2025-05-21,192.0,194.9,195.9,191.3,12205,2.369,232,4.6,1330.777,2025-05-21 11:01:02.513,0,196.822389303294,192.6,188.377610696706
KAY&QUE,2025-05-22,193.2,194.0,195.9,193.0,14142,2.745,238,-0.9,1362.945,2025-05-22 10:56:36.753,0,196.83178444090885,192.775,188.71821555909116
KAY&QUE,2025-05-24,193.0,190.9,194.7,190.8,7898,1.516,178,-3.1,1356.652,2025-05-24 11:00:55.225,0,196.56888827194763,192.56666666666666,188.5644450613857
KAY&QUE,2025-05-25,188.0,190.7,193.4,188.0,11556,2.207,227,-0.4,1334.973,2025-05-25 11:01:05.970,0,196.33858560599617,192.38,188.42141439400382
KAY&QUE,2025-05-26,192.5,190.5,193.0,190.3,6243,1.194,152,-0.2,1333.574,2025-05-26 10:57:19.359,0,196.13518500832404,192.20909090909092,188.2829968098578
KAY&QUE,2025-05-27,192.0,189.2,192.6,188.6,8501,1.615,151,-1.7,1332.176,2025-05-27 10:56:27.208,0,196.06885506285735,191.95833333333334,187.84781160380933
KAY&QUE,2025-05-28,191.0,186.5,191.6,185.0,5258,0.986,188,-4.2,1323.085,2025-05-28 11:00:31.989,0,196.4434282279358,191.53846153846155,186.63349484898728
KAY&QUE,2025-05-29,188.8,185.9,189.9,182.1,13861,2.573,288,-0.6,1304.204,2025-05-29 11:00:57.043,0,196.68322705804604,191.1357142857143,185.58820151338256
KAY&QUE,2025-06-01,187.0,187.7,190.2,186.1,5790,1.089,121,1.8,1300.008,2025-06-01 10:56:59.488,0,196.53349130899875,190.90666666666667,185.27984202433458
KAY&QUE,2025-06-02,190.8,188.5,190.8,186.5,7339,1.388,146,0.8,1312.595,2025-06-02 10:56:34.689,0,196.3275912882357,190.75625,185.18490871176428
KAY&QUE,2025-06-03,190.9,188.3,190.9,187.1,5157,0.974,121,-0.2,1318.19,2025-06-03 10:56:38.780,0,196.1389732782158,190.61176470588236,185.08455613354894
KAY&QUE,2025-06-04,190.5,192.1,192.9,189.9,7396,1.415,166,3.8,1316.791,2025-06-04 10:57:07.869,0,196.10902238930663,190.69444444444446,185.27986649958228
