symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KBPPWBIL,2025-05-13,124.0,125.3,128.6,122.3,482235,61.122,2800,1.8,12112865000.0,2025-05-13 16:28:20.580,0,125.3,125.3,125.3
KBPPWBIL,2025-05-14,125.3,119.6,125.3,117.2,280108,33.846,1318,-5.7,12289409000.0,2025-05-14 11:46:29.234,0,128.14999999999998,122.44999999999999,116.75
KBPPWBIL,2025-05-15,119.6,115.2,121.0,113.7,274955,32.107,1067,-4.4,11730353000.0,2025-05-15 09:12:34.600,0,128.30268773511236,120.03333333333335,111.76397893155432
KBPPWBIL,2025-05-17,116.9,115.8,116.9,114.3,150501,17.427,955,0.6,11298.802,2025-05-17 09:18:37.272,0,127.02034026626592,118.975,110.92965973373407
KBPPWBIL,2025-05-18,120.0,115.8,121.0,115.3,473786,55.277,1426,,11357.65,2025-05-18 10:57:37.904,0,125.97109428588062,118.34,110.70890571411938
KBPPWBIL,2025-05-19,119.0,116.3,120.0,114.8,193881,22.544,791,0.5,11357.65,2025-05-19 10:57:34.532,0,125.13021738799034,118.0,110.86978261200966
KBPPWBIL,2025-05-20,118.0,116.4,118.0,113.9,337604,39.169,1033,0.1,11406.69,2025-05-20 10:57:09.613,0,124.46702566266421,117.77142857142857,111.07583148019293
KBPPWBIL,2025-05-21,121.0,116.3,121.0,115.5,196709,23.025,1210,-0.1,11416.498,2025-05-21 11:04:56.474,0,123.92582588307039,117.5875,111.24917411692962
KBPPWBIL,2025-05-22,116.9,115.9,117.0,113.5,108697,12.552,999,-0.4,11406.69,2025-05-22 10:57:24.306,0,123.4692302275952,117.39999999999999,111.33076977240478
KBPPWBIL,2025-05-24,116.7,114.7,116.8,113.0,299570,34.638,669,-1.2,11367.458,2025-05-24 11:04:31.381,0,123.11133764303602,117.13,111.14866235696397
KBPPWBIL,2025-05-25,116.8,114.7,125.0,113.5,407776,46.991,1169,,11249.762,2025-05-25 11:05:04.616,0,122.78072041527155,116.9090909090909,111.03746140291027
KBPPWBIL,2025-05-26,116.0,119.1,121.4,114.8,358349,42.578,1302,4.4,11249.762,2025-05-26 10:57:55.213,0,122.84229465169769,117.09166666666665,111.34103868163562
KBPPWBIL,2025-05-27,119.3,117.9,121.4,117.0,247512,29.389,935,-1.2,11681.313,2025-05-27 10:57:05.400,0,122.69564002315785,117.15384615384616,111.61205228453447
KBPPWBIL,2025-05-28,115.8,117.0,118.8,112.5,458558,53.622,980,-0.9,11563.617,2025-05-28 11:03:59.936,0,122.48365124417325,117.14285714285714,111.80206304154103
KBPPWBIL,2025-05-29,118.9,114.9,118.9,114.5,118427,13.792,570,-2.1,11475.346,2025-05-29 11:04:23.134,0,122.27296294997207,116.99333333333334,111.71370371669461
KBPPWBIL,2025-06-01,112.6,114.5,117.8,112.6,115055,13.257,288,-0.4,11269.378,2025-06-01 10:57:39.670,0,122.09005890019331,116.8375,111.5849410998067
KBPPWBIL,2025-06-02,116.4,115.8,116.6,114.4,404352,46.85,560,1.3,11230.146,2025-06-02 10:57:22.413,0,121.89553732843876,116.7764705882353,111.65740384803183
KBPPWBIL,2025-06-03,116.4,115.4,116.4,114.0,170043,19.623,280,-0.4,11357.65,2025-06-03 10:57:15.498,0,121.71464521842438,116.69999999999999,111.6853547815756
KBPPWBIL,2025-06-04,113.6,115.4,115.9,113.6,265686,30.666,301,,11318.418,2025-06-04 10:57:47.501,0,118.95653998130558,116.15000000000002,113.34346001869446
