symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KDSALTD,2025-05-13,44.7,45.6,46.4,43.3,1461012,66.221,1259,0.5,3370841000.0,2025-05-13 16:30:24.629,0,45.6,45.6,45.6
KDSALTD,2025-05-14,45.4,44.4,46.0,44.1,722512,32.713,818,-1.2,3408211000.0,2025-05-14 11:48:27.905,0,46.2,45.0,43.8
KDSALTD,2025-05-15,44.0,42.9,44.8,42.2,474153,20.54,720,-1.5,3318522000.0,2025-05-15 09:14:54.616,0,46.509072203437455,44.300000000000004,42.09092779656255
KDSALTD,2025-05-17,42.1,42.5,43.5,41.5,609764,25.794,882,-0.4,3206.409,2025-05-17 09:32:16.093,0,46.317792535850614,43.85,41.38220746414939
KDSALTD,2025-05-18,42.6,41.0,43.3,40.6,563225,23.429,893,-1.5,3176.513,2025-05-18 11:00:36.784,0,46.453389355247786,43.28,40.106610644752216
KDSALTD,2025-05-19,41.0,39.7,41.2,39.5,599115,23.98,1091,-1.3,3064.401,2025-05-19 10:59:58.057,0,46.62188918824033,42.68333333333334,38.74477747842634
KDSALTD,2025-05-20,43.5,40.8,43.5,39.6,540670,21.937,1196,1.1,2967.237,2025-05-20 10:59:49.582,0,46.29158753227139,42.41428571428571,38.53698389630003
KDSALTD,2025-05-21,40.8,42.6,43.0,40.7,938745,39.12,1346,1.8,3049.452,2025-05-21 11:19:16.624,0,46.06646335060027,42.4375,38.80853664939973
KDSALTD,2025-05-22,43.0,41.4,43.1,41.2,462116,19.467,773,-1.2,3183.987,2025-05-22 11:00:22.592,0,45.80523213100677,42.32222222222222,38.83921231343768
KDSALTD,2025-05-24,41.4,40.8,42.0,40.7,437005,18.015,664,-0.6,3094.297,2025-05-24 11:19:19.875,0,45.59817735830572,42.17,38.741822641694284
KDSALTD,2025-05-25,41.6,41.5,41.7,40.3,341811,14.08,673,0.7,3049.452,2025-05-25 11:19:05.779,0,45.40035156334102,42.10909090909091,38.8178302548408
KDSALTD,2025-05-26,41.9,41.0,42.1,40.9,304896,12.627,661,-0.5,3101.771,2025-05-26 11:00:21.440,0,45.2268933807097,42.016666666666666,38.806439952623634
KDSALTD,2025-05-27,41.4,40.5,41.8,40.3,243379,9.989,511,-0.5,3064.401,2025-05-27 10:59:05.924,0,45.08844066059788,41.900000000000006,38.71155933940213
KDSALTD,2025-05-28,41.2,39.6,41.2,39.3,208759,8.305,440,-0.9,3027.03,2025-05-28 11:19:07.466,0,45.02865664593789,41.73571428571428,38.44277192549067
KDSALTD,2025-05-29,39.7,39.6,40.5,39.0,186981,7.44,487,,2959.763,2025-05-29 11:19:02.781,0,44.94830311296209,41.593333333333334,38.23836355370458
KDSALTD,2025-06-01,40.2,41.5,41.8,39.4,2001586,82.065,1109,1.9,2959.763,2025-06-01 11:00:19.194,0,44.83624975952288,41.5875,38.33875024047712
KDSALTD,2025-06-02,41.5,42.8,43.0,41.5,651814,27.685,963,1.3,3101.771,2025-06-02 10:59:39.779,0,44.86180656808381,41.65882352941177,38.45584049073973
KDSALTD,2025-06-03,42.6,40.7,42.9,40.1,883536,36.584,1125,-2.1,3198.935,2025-06-03 10:59:54.666,0,44.74913612004441,41.605555555555554,38.4619749910667
KDSALTD,2025-06-04,41.2,40.7,41.3,40.5,382388,15.544,651,,3041.978,2025-06-04 11:00:17.093,0,43.827771591182625,41.333333333333336,38.83889507548405
