symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
KEYACOSMET,2025-05-13,5.1,5.0,5.1,4.9,209226,1.044,91,-0.2,5621818000.0,2025-05-13 16:37:27.559,0,5.0,5.0,5.0
KEYACOSMET,2025-05-14,5.0,4.8,5.0,4.8,188679,0.912,96,-0.2,5511587000.0,2025-05-14 11:56:20.170,0,5.100000000000001,4.9,4.699999999999999
KEYACOSMET,2025-05-15,4.9,4.7,5.0,4.6,862103,4.156,244,-0.1,5291123000.0,2025-05-15 09:22:24.424,0,5.082777159118263,4.833333333333333,4.583889507548403
KEYACOSMET,2025-05-17,4.9,4.7,4.9,4.6,185710,0.873,121,,5180.891,2025-05-17 10:19:04.858,0,5.044948974278318,4.8,4.555051025721681
KEYACOSMET,2025-05-18,4.8,4.7,4.9,4.7,122039,0.58,70,,5180.891,2025-05-18 11:09:00.165,0,5.013238075793812,4.779999999999999,4.546761924206186
KEYACOSMET,2025-05-19,4.7,4.6,4.7,4.4,1586534,7.263,304,-0.2,5180.891,2025-05-19 11:07:38.436,0,5.001661147842359,4.75,4.498338852157641
KEYACOSMET,2025-05-20,4.6,4.7,4.7,4.6,274655,1.276,100,0.1,5070.66,2025-05-20 11:08:09.797,0,4.978463178606724,4.742857142857143,4.507251107107562
KEYACOSMET,2025-05-21,4.8,4.6,4.8,4.6,81800,0.378,102,-0.1,5180.891,2025-05-21 12:06:51.969,0,4.964791576165636,4.725,4.485208423834363
KEYACOSMET,2025-05-22,4.6,4.8,5.0,4.6,1591624,7.814,363,0.2,5070.66,2025-05-22 11:10:59.794,0,4.964273441009184,4.733333333333333,4.502393225657483
KEYACOSMET,2025-05-24,4.8,5.0,5.0,4.6,1120021,5.406,341,0.2,5291.123,2025-05-24 12:06:37.281,0,5.031293199325011,4.76,4.488706800674988
KEYACOSMET,2025-05-25,4.9,4.8,5.0,4.7,501063,2.441,162,-0.1,5511.587,2025-05-25 12:04:49.064,0,5.023324670128831,4.763636363636364,4.503948057143896
KEYACOSMET,2025-05-26,4.9,4.8,5.0,4.7,468396,2.279,134,,5291.123,2025-05-26 11:08:01.395,0,5.016110492451596,4.766666666666667,4.517222840881737
KEYACOSMET,2025-05-27,4.8,4.7,4.9,4.7,365254,1.73,186,-0.1,5291.123,2025-05-27 11:06:28.360,0,5.0038156268926715,4.7615384615384615,4.5192612961842515
KEYACOSMET,2025-05-28,4.8,4.6,4.8,4.6,356806,1.662,89,,5180.891,2025-05-28 12:03:42.178,0,4.997847879612822,4.75,4.502152120387178
KEYACOSMET,2025-05-29,4.7,4.7,4.8,4.6,280901,1.308,80,0.1,5070.66,2025-05-29 12:03:22.373,0,4.987406267803571,4.746666666666667,4.505927065529763
KEYACOSMET,2025-06-01,4.8,4.7,4.8,4.6,54673,0.255,63,,5180.891,2025-06-01 11:09:00.246,0,4.977937424939941,4.74375,4.50956257506006
KEYACOSMET,2025-06-02,4.7,4.7,4.8,4.7,167257,0.786,57,,5180.891,2025-06-02 11:07:19.942,0,4.969302581525475,4.741176470588235,4.513050359650996
KEYACOSMET,2025-06-03,4.7,4.6,4.8,4.6,217421,1.018,50,-0.1,5180.891,2025-06-03 11:08:10.640,0,4.964273441009184,4.733333333333333,4.502393225657483
KEYACOSMET,2025-06-04,4.7,4.6,4.8,4.6,136846,0.638,66,0.2,5070.66,2025-06-04 11:08:12.281,0,4.909872709111093,4.711111111111111,4.512349513111129
